runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;29;596.14;1167;1094.5;790;541;55.17;89.66;590.48;5737.52;5735.26;1186.62;6.02;1;0.03
NA;2;36;679.19;1319;1222.1;872.5;631;44.44;77.78;599.97;5308.79;5139.52;1279.17;5.61;6;0.14
NA;3;61;697.95;1349;1224.3;870;694;37.7;78.69;569.36;4909.62;4660.87;1267.31;5.27;9;0.13
NA;4;62;701.19;1347;1259.4;867.5;700.5;38.71;79.03;689.92;5861.23;5180.75;1391.11;5.63;14;0.18
NA;5;76;712.46;1392;1161.05;961.75;675.5;38.16;72.37;635.61;5310.26;4496.56;1348.07;5.15;10;0.12
NA;6;97;646.29;1331;1151.3;836;620;49.48;79.38;694.66;5483.89;4358.82;1340.95;5.06;19;0.16
NA;7;96;698.56;1326;1205.95;966.75;656.5;45.83;72.92;783.9;6207.69;4781.84;1482.46;5.35;32;0.25
NA;8;113;672.15;1551;1179.5;847.5;640;46.02;77.88;582.69;4517.67;3912.14;1254.84;4.75;20;0.15
NA;9;120;685.09;1352;1212.2;939.5;688.5;44.17;71.67;772.61;6193.04;4578.03;1457.7;5.21;23;0.16
NA;10;123;717.35;1387;1204.2;946;727;36.59;70.73;776.79;6220.77;4808.03;1494.14;5.37;26;0.17
NA;11;114;751.44;1584;1314.75;1025.25;753;36.84;64.91;897.99;6884.08;4836.29;1649.43;5.39;28;0.2
NA;12;105;715.5;1354;1200.3;989;690;40.95;66.67;936.5;7435.43;5433.14;1652;5.81;37;0.26
NA;13;110;778.45;1863;1232.9;1021.25;790.5;36.36;60.91;1019.79;8209.16;5834.94;1798.25;6.09;40;0.27
NA;14;112;700.51;1618;1404.15;952.75;660;44.64;71.43;987.65;7118;5026.17;1688.16;5.52;43;0.28
NA;15;100;736.33;1717;1217.7;975.25;735;39;68;1098.51;8471.48;5481.32;1834.84;5.85;58;0.37
NA;16;123;794.24;1522;1249.4;1022;866;26.02;57.72;918.7;6855.2;4660.05;1712.94;5.27;45;0.27
NA;17;120;785.58;1522;1370.9;1076.25;781.5;35;55.83;886.46;6644.81;4465.31;1672.03;5.14;43;0.26
NA;18;97;736.48;1697;1241.5;1039.5;756;41.24;57.73;925.68;6966.97;5042.83;1662.16;5.54;65;0.4
NA;19;102;752.93;1715;1289.5;1035;786;39.22;59.8;939.87;7161.73;4712.83;1692.8;5.31;51;0.33
NA;20;108;715.68;1552;1309.05;965.25;710;38.89;65.74;938.84;7063.75;5014.94;1654.52;5.51;47;0.3
