departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtA2;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;4194.0;3264.0;40533.88;16080.58;-13.26;1820;4771.63
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;247.0;1716.0;540.0;8648.12;8648.12;-8.05;2129;3706.72
1825.0;31124031991-2;drtA2;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;992.0;4601.0;1784.0;18444.76;13547.79;-11.48;3025;6088.2
1826.0;31157185231-3;drtA2;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;583.0;5264.0;2855.0;30863.42;12356.82;-10.65;3026;5371.56
1840.0;31072021661-2;drtA1;144846260_1;381593.01;3945744.56;1010971915_0;393121.61;3953804.06;271.0;3170.0;1059.0;18525.26;18525.26;-14.97;3040;6151.51
3032.0;31124023311-6;drtA2;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;344.0;3844.0;468.0;6601.88;6601.88;-6.62;4232;5627.09
4243.0;31124072731-4;drtA35;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;185.0;6706.0;2278.0;30028.8;15458.97;-12.82;5443;8351.89
4618.0;31123037701-7;drtA35;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;395.0;6039.0;1026.0;13218.5;11374.51;-9.96;5818;7820.11
5132.0;31124015231-4;drtA35;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;233.0;7092.0;1727.0;20095.77;15756.54;-13.03;6332;9678.17
7264.0;31132029211-2;drtA37;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;422.0;8427.0;741.0;11024.31;11024.31;-9.72;8464;10596.29
9838.0;31127119452-2;drtA38;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;388.0;11026.0;800.0;12723.47;12723.47;-10.91;11038;13367.32
12622.0;31157237961-2;drtA22;204077025_0;386771.67;3946889.09;107746659_5;378755.44;3948683.63;294.0;13727.0;811.0;12385.64;12385.64;-10.67;13822;16114.6
14104.0;31123075281-2;drtA16;263927513_1;372166;3944609.64;319185011_0_r;392216.81;3952526.84;157.0;15958.0;1697.0;25863.09;25769.46;-20.04;15304;20276.89
16208.0;31123033481-1;drtA35;58705987_2;375151.62;3944747.76;286703470_0;388328.01;3949449.87;272.0;17305.0;825.0;17289.68;17289.68;-14.1;17408;19863.56
16597.0;31082028811-1;drtA1;1060235876_0;394505.17;3950968.03;251308522_1;381978.89;3950605.88;693.0;18054.0;764.0;13198.58;13198.58;-11.24;17797;19937.68
20403.0;31157121751-1;drtA2;36238138_0;375651.41;3948670.87;209213591_0;383757.23;3961041.22;294.0;21834.0;1137.0;19191.54;19191.54;-15.43;21603;24933.74
20994.0;31205013351-1;drtA0;261623835_0;373526.27;3952935.1;115455927_0_r;380297.75;3950113.46;1013.0;22612.0;605.0;8394.59;8394.59;-7.88;22194;23888.88
23138.0;31124042353-1;drtA7;282318046_1;378442.93;3945521.47;109158383_2;372009.54;3948258.6;228.0;24466.0;1100.0;9734.05;9643.91;-8.75;24338;27465.29
24638.0;31124080131-1;drtA34;116433244_3_r;379359.14;3945581.25;642578383_0;383401.18;3940422.95;170.0;25493.0;685.0;9595.38;9595.38;-8.72;25838;27851.57
25208.0;31157260511-1;drtA22;770241800_0;377950.38;3949262.63;97685685_0;389472.37;3948215.62;275.0;27784.0;2301.0;20762.5;14369.54;-12.06;26408;29462.48
25227.0;31124027311-1;drtA22;154882436_10;378206.68;3944550.79;158180857_1;387779.33;3948302.12;1220.0;27475.0;1028.0;12284.6;12284.6;-10.6;26427;28712.29
25230.0;31107039771-1;drtA17;113974909_0;381694.17;3942555.05;216480479_0;381923.3;3950325.24;556.0;26495.0;709.0;10093.74;10010.16;-9.01;26430;28448.67
25258.0;31157185022-1;drtA28;775562350_0_r;374628.16;3948275.62;31300472_1;375528.48;3949705.77;550.0;26099.0;291.0;2802.27;2804.06;-3.96;26458;27315.42
25370.0;31093072254-1;drtA35;378131794_0;387030.46;3940906.73;182823065_0;382638.94;3946930.55;822.0;27039.0;847.0;10668.85;10668.85;-9.47;26570;29010.79
25822.0;31157169461-1;drtA32;101670117_0_r;377439.69;3951018.86;115461136_1;379798.48;3950678.54;322.0;26464.0;320.0;3606.09;3606.09;-4.52;27022;27932.48
27019.0;31157233704-1;drtA28;30799437_2;375866.25;3949357.28;32393329_0_r;376023.09;3949920.89;156.0;27312.0;137.0;840.57;840.57;-2.59;28219;28603.81
27033.0;31105003273-1;drtA35;133734873_1;380941.3;3946762.75;98444200_6;381166.81;3946456.61;444.0;27595.0;118.0;732.13;732.13;-2.51;28233;28576.84
27058.0;31144039921-1;drtA31;149672905_0;383043.12;3950251.38;195279740_0;379471.66;3951105.89;93.0;27485.0;334.0;4443.5;4443.5;-5.11;28258;29254.79
27620.0;31124017273-1;drtA19;42304455_6;376396.51;3946478.58;31665725_3;376171.03;3945843.21;387.0;28124.0;117.0;879.02;879.02;-2.62;28820;29154.26
28041.0;31144022501-1;drtA31;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;211.0;28905.0;653.0;4939.09;4884.76;-5.42;29241;30374.44
28247.0;31147080691-1;drtA13;784770963_0;378980.64;3950026.38;32122131_0;375745;3948996.9;258.0;29119.0;614.0;6710.29;6710.29;-6.7;29447;31112.58
28521.0;31137037111-1;drtA39;115483032_0_r;380463.49;3949306.16;21957625_1;388490.22;3949643.96;190.0;29311.0;600.0;9887.34;9887.34;-8.92;29721;31663.22
28823.0;31131008983-1;drtA12;294012535_0;384186.72;3945824.3;41857255_0;382628.42;3947387.8;195.0;29318.0;300.0;3168.9;3168.9;-4.22;30023;30894.25
28827.0;31155033622-1;drtA27;282545130_0;378129.31;3952355.26;216480483_3;381936.82;3950315.76;383.0;31363.0;2153.0;15740.74;5860.19;-6.1;30027;31264.22
29050.0;31093053471-1;drtA6;309829214_0;382326.21;3941022.21;137630421_1;383648.8;3947123.55;523.0;30317.0;744.0;12287.86;12287.86;-10.6;30250;32442.66
29124.0;31157252751-1;drtA27;101968994_0_r;378216.24;3948935.49;144776663_0;382084.17;3950559.24;622.0;31256.0;1510.0;10910.98;5487.19;-5.84;30324;31775.49
29428.0;31127120711-1;drtA19;116433202_1;375958.8;3944902.97;1118680560_3;383752.99;3947068.82;289.0;30667.0;950.0;11773.27;11773.27;-10.24;30628;32956.58
29435.0;31124068593-1;drtA40;131984424_0;377645.81;3946922.59;403381973_5;377987.02;3947028.92;609.0;30124.0;80.0;497.09;497.09;-2.35;30635;30860.84
29440.0;31124051432-1;drtA38;116429820_0;378804.83;3944645.74;116432479_0;378448.29;3944945.78;244.0;29807.0;123.0;711.01;711.01;-2.5;30640;30992.68
29708.0;31143045852-1;drtA0;201705623_0_r;380528.87;3950438.07;58206779_0;379592.63;3952032.71;153.0;30186.0;325.0;2750.03;2750.03;-3.93;30908;31854.5
30016.0;31157253071-1;drtA27;44220005_3;378519.25;3948848.35;178904689_0_r;380868.32;3949108.07;266.0;30571.0;289.0;3476.55;3476.55;-4.43;31216;32121.27
30023.0;31127135422-1;drtA7;61292196_0;372724.6;3948907.05;36961480_1;372638.41;3946751.82;474.0;30944.0;447.0;3069.39;3069.39;-4.15;31223;32512.71
30036.0;31123020821-1;drtA10;32208032_3;375899.92;3943012.14;154844882_0;379543.45;3945004.75;213.0;30594.0;345.0;4768.5;4768.5;-5.34;31236;32292.16
30050.0;32083034542-1;drtA7;109158383_2;372009.54;3948258.6;258998383_0_r;374396.62;3947806.22;135.0;31430.0;1245.0;7560.21;4338.66;-5.04;31250;32575.33
30069.0;31046012592-1;drtA31;199924336_0;385511.51;3950747.88;157660782_0_r;382184.74;3949949.16;249.0;30707.0;389.0;5182.17;5182.17;-5.63;31269;32472.34
30630.0;31123050221-1;drtA10;291824552_2;379349.24;3944836.78;776857042_0;389278.07;3952912.3;117.0;31736.0;989.0;15313.44;15313.44;-12.72;31830;34401.54
30631.0;31157185811-1;drtA13;37591392_4;374301.47;3949073.32;270493292_27;373439.52;3948239.39;349.0;31361.0;381.0;1844.07;1844.07;-3.29;31831;32551.04
30657.0;31143000091-1;drtA0;91655821_0;378244.15;3953984.36;44361577_0;380932.72;3951186.11;657.0;31987.0;673.0;6269.61;5392.84;-5.77;31857;33189.9
30935.0;31147069541-1;drtA0;168885634_0;379283.2;3951275;115461072_0;380242.94;3951220.37;812.0;31869.0;122.0;1662.47;1662.47;-3.16;32135;32494.88
31210.0;31035002051-1;drtA39;69963034_3;386470.33;3947299.32;41857248_1;382861.72;3947102.07;362.0;31984.0;412.0;6227.84;6227.84;-6.36;32410;33608.31
31593.0;31154056671-1;drtA25;229361380_0;375166.88;3952153.35;571867819_0;381447.42;3951015.45;417.0;34531.0;2521.0;27537.26;17861.82;-14.5;32793;36170.52
31815.0;31137040091-1;drtA24;201878169_0;380415.52;3949940.08;115482993_0;380635.68;3949599.72;139.0;32094.0;140.0;896.87;896.87;-2.63;33015;33427.57
31824.0;31105014571-1;drtA35;116951888_0;382661.51;3944642.61;258432967_0;382024.81;3946004.32;323.0;32367.0;220.0;2037.09;2037.09;-3.43;33024;33545.06
32119.0;31124012371-1;drtA5;30969999_17;372166.18;3944773.69;263927507_0_r;372193.26;3944565.16;763.0;32941.0;59.0;371;371;-2.35;33319;33485.59
32412.0;31144028502-1;drtA25;263009789_0_r;379450;3952304.11;215070867_0;380071.93;3948964.84;897.0;35145.0;1836.0;16572.14;6830.14;-6.78;33612;35378.94
32415.0;31157099031-1;drtA28;772283111_0_r;377071.08;3948436.38;34952020_4;387288.81;3951313.66;400.0;33716.0;901.0;12788.9;12788.9;-10.95;33615;36159.45
32436.0;31123058524-1;drtA38;286167377_0;377388.74;3943997.22;116432444_3;377608;3945381.89;353.0;33013.0;224.0;2044.67;2044.67;-3.43;33636;34288.17
32713.0;31132017731-1;drtA39;139696824_0;383357.66;3948519.34;220547106_0;383078.5;3947726.1;245.0;33117.0;159.0;1818.62;1818.62;-3.27;33913;34406.53
32958.0;31204078562-1;drtA25;79514316_0_r;378229.53;3954051.56;39683371_0;382418.65;3949421.5;846.0;34805.0;1001.0;9892.27;9845.34;-8.89;34158;36736.46
33958.0;32042026691-1;drtA13;109158383_2;372009.54;3948258.6;116837756_3;381480.75;3946256.22;360.0;35769.0;1451.0;16476.83;13685.56;-11.58;35158;38172.29
34031.0;61352001212-1;drtA38;685264174_0_r;372707.12;3942139.99;52251237_0;373409.21;3942215.38;1161.0;35350.0;158.0;982.32;982.32;-2.69;35231;35693.5
34248.0;61344034232-1;drtA38;47362605_0;374142.14;3941883.83;400569994_0;376012.43;3943475.35;614.0;35898.0;1036.0;7747.42;4540.09;-5.18;35448;36623.18
34252.0;31123028482-1;drtA13;60251604_3;377136.46;3944314.73;211402007_0;382743.73;3946723.53;1050.0;35953.0;651.0;7999.74;7095.8;-6.97;35452;36969.3
35175.0;31105008622-2;drtA35;195667608_2;382171.06;3945148.57;394842679_0;382305.74;3945213.13;221.0;35459.0;63.0;444.05;444.05;-2.35;36375;36556.77
35404.0;31046050651-2;drtA0;282647360_0_r;381465.58;3951258.54;27085402_0_r;381961.64;3951663.64;172.0;35762.0;186.0;1116.25;1116.25;-2.78;36604;37135.56
