departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3352.0;1339.0;15486.51;15486.51;-12.84;2901;6472.87
5529.0;31123028081-3;drtB1;158059312_3;381104.48;3945929.58;291824531_0;377442.37;3944416.43;229.0;6187.0;429.0;5253.57;5253.57;-5.68;6729;7932.73
21565.0;61337071761-1;drtB8;680507437_0_r;378467.16;3939072.29;195248019_1;352992.91;3928533.84;973.0;28081.0;5543.0;57484.35;34457.9;-26.12;22765;32045.13
22354.0;61375035592-1;drtB15;1026016077_0;365390.12;3941436.73;770599761_0_r;352891.97;3928637.85;938.0;26265.0;2973.0;26127.72;25977.22;-20.18;23554;31992.94
22824.0;32094014273-1;drtB13;1112106474_0_r;360179.48;3933965.03;41569510_0;349869.46;3942717.8;474.0;28476.0;5178.0;38389.78;16049.27;-13.23;24024;28104.15
23423.0;32094052651-1;drtB13;142377377_1;359734.98;3937366.05;252398984_0;354170.69;3939371.35;714.0;25293.0;1156.0;7483.03;7483.03;-7.24;24623;28009.69
23427.0;31124026835-1;drtB8;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;861.0;26404.0;2116.0;24827.19;24827.19;-19.38;24627;30900.96
24031.0;31124021113-1;drtB1;47097301_1;376114.78;3943319.74;390951625_4;381151.24;3945827.8;1104.0;25428.0;293.0;6318.32;6318.32;-6.42;25231;26110.94
24042.0;61373026963-1;drtB10;248212732_1;362252.79;3941539.24;153188586_0_r;361605.2;3940953.39;1082.0;25330.0;206.0;1242.05;1242.05;-2.87;25242;25842.88
24313.0;91534020601-1;drtB7;37708345_6;358360.75;3932790.03;49773827_0;355412.18;3931847.81;319.0;25243.0;611.0;3975.88;3975.88;-4.78;25513;27308.75
24619.0;32097082514-1;drtB0;1006871425_0_r;363039.14;3938878.06;222951341_0;362340.58;3934831.97;1033.0;26505.0;853.0;5270.77;5159.07;-5.61;25819;28243.44
