departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
4852.0;32097072604-2;drtC2;1111121313_0;359437.57;3934623.24;120693319_0;361573.22;3938518.7;188.0;5822.0;782.0;5768;5768;-6.04;6052;8302.55
19820.0;42157018041-1;drtC0;165141674_0_r;355235.57;3925423.45;313265399_0;356744.31;3926848.16;367.0;20553.0;366.0;3626.26;3626.26;-4.54;21020;22126.34
22720.0;91535010912-1;drtC6;1194917323_0;356999.67;3931327.41;310225190_0;360219.85;3919409.64;362.0;26095.0;3013.0;23841.86;15631.11;-12.94;23920;29277.15
23420.0;42141004881-1;drtC3;166124858_1;348304.16;3921367.86;41907366_1;347172.41;3922534.4;360.0;24082.0;302.0;2180.31;2180.31;-3.53;24620;25511.2
23426.0;32093013201-1;drtC2;144341446_0;360086.34;3934824.01;1069570414_1;347078.26;3921675.51;739.0;32515.0;8350.0;56477.64;27990.92;-21.59;24626;32216.69
23458.0;42132018621-1;drtC6;32079914_5;360650.79;3926596.81;37039232_0;356288.06;3923759.65;801.0;25189.0;930.0;6621.07;6621.07;-6.63;24658;27381.53
23744.0;42154015582-1;drtC0;760435749_0;356380.04;3926106.14;322488351_0;345683.39;3921244.54;229.0;29349.0;5376.0;37133.11;15922.45;-13.15;24944;29438.27
24024.0;42163009041-1;drtC0;760198977_0_r;356998.57;3930770.82;469633513_0;352516;3911433.45;818.0;31612.0;6770.0;49581.6;22552.65;-17.79;25224;31982.4
24644.0;42133033544-1;drtC2;27776607_1;359907.55;3931232.94;137310582_0;357471.36;3933156.31;519.0;26486.0;1323.0;9331.04;3949.39;-4.76;25844;27183.99
25207.0;42127031591-1;drtC0;663490045_0;352002.53;3923185.04;1069570414_1;347078.26;3921675.51;1145.0;27802.0;1450.0;6909.15;6909.15;-6.84;26407;29146.65
25228.0;91532010621-1;drtC2;29425069_6;358049.26;3934740.84;45735521_1;359045.33;3934743.66;420.0;25861.0;213.0;1330.11;1330.11;-2.93;26428;27046.63
25230.0;42155008631-1;drtC5;384498896_0_r;353694.38;3924591.85;314246438_0;347001.84;3923150.79;548.0;27604.0;1826.0;9279.49;9279.49;-8.5;26430;30880.31
26711.0;42117022051-1;drtC4;106352753_6;343643.37;3917019.3;106354564_2;343805.54;3916857.85;1044.0;27799.0;44.0;327.61;327.61;-2.35;27911;28035.9
27013.0;42155003371-1;drtC2;241782318_1;354431.92;3925570.12;313512826_0_r;350462.54;3930187.09;1104.0;31095.0;2978.0;17185.38;10124.43;-9.09;28213;31007.86
27024.0;42155010491-1;drtC1;848697060_0;353929.98;3924111.09;317592699_0_r;340641.52;3912661.17;856.0;32125.0;4245.0;32011.84;22993.24;-18.1;28224;35433.48
27030.0;42128034154-1;drtC3;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;939.0;28543.0;574.0;5865.48;5865.48;-6.11;28230;29822.73
27253.0;42033013603-1;drtC4;1110230214_0;343737.71;3915417.67;1036419360_0;345453.96;3918063.18;942.0;28791.0;596.0;4497.4;4497.4;-5.15;28453;30263.81
27330.0;42142005751-1;drtC0;110008923_0_r;347029.23;3917787.84;31569019_10_r;351290.41;3921603.78;1380.0;30480.0;1770.0;11286.9;7177.34;-7.02;28530;30972.39
27929.0;42155007072-1;drtC2;313114286_0_r;354556.91;3925937.12;968860956_0;353962.66;3923710.49;328.0;29093.0;836.0;2967.84;2967.84;-4.08;29129;30468.97
28546.0;42124009113-1;drtC2;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;1350.0;30262.0;366.0;2915.46;2915.46;-4.04;29746;30811.18
28818.0;42142010033-1;drtC1;311793768_0;349638.02;3920403.4;46888488_1;346937.5;3919056.61;345.0;30232.0;1069.0;7875.75;3374.95;-4.36;30018;31266.24
28823.0;42128034954-1;drtC3;1066694401_0;351664.28;3923449.96;30822288_10_r;351656.46;3922729.74;741.0;29792.0;228.0;787.56;787.56;-2.55;30023;30413.87
28882.0;42157018415-1;drtC3;201216527_0_r;353309.02;3925504.07;1208960965_0_r;356416.65;3928250.54;1552.0;30966.0;532.0;6128.65;6128.65;-6.29;30082;31659.67
28980.0;42125018382-2;drtC1;176173832_0_r;350418.94;3920920.41;311773857_1;350112.11;3919237.91;430.0;29726.0;316.0;2046.75;2046.75;-3.43;30180;31116.86
30615.0;42163006644-1;drtC3;205939084_1;356129.93;3930308.91;194273756_1;357576.41;3928214.95;868.0;31974.0;491.0;3369.23;3369.23;-4.36;31815;33250.94
30620.0;42142011311-1;drtC1;32353334_1;343786.26;3917572.21;106354564_2;343805.54;3916857.85;137.0;30898.0;141.0;986.41;986.41;-2.69;31820;32234.33
30622.0;42141003803-1;drtC4;166128807_3;347878.51;3919813.57;244931233_1;352514.83;3920073.59;566.0;31904.0;716.0;6589.7;6589.7;-6.61;31822;33970.32
30634.0;42124019491-1;drtC5;204007161_0_r;346390.96;3923142.73;165912119_0;349746.47;3922320.09;332.0;31582.0;616.0;4280.04;4280.04;-5;31834;33789.37
31570.0;42125023303-2;drtC5;367858243_0;349225.44;3922568.12;31410805_0_r;351780.99;3923183.26;311.0;32378.0;497.0;3596.28;3596.28;-4.52;32770;34226.88
31830.0;42034025893-1;drtC0;310564232_0_r;348249.28;3911762.69;526913883_0_r;346415.74;3915748.47;637.0;33364.0;897.0;5435.99;5435.99;-5.81;33030;35106.53
32453.0;91532010831-1;drtC3;42638967_0;357663.1;3934841.42;192166778_5;357847.72;3934822.39;1258.0;33770.0;59.0;359.61;359.61;-2.35;33653;33827.65
32719.0;42147014412-1;drtC2;113005006_2;345779.95;3918948.3;1036419365_0;346696.95;3918284.09;637.0;33550.0;194.0;1443.11;1443.11;-3.01;33919;34493.2
33327.0;42128035481-1;drtC5;41946735_12;346455.13;3923185.46;161499508_3;351324.12;3923217.4;957.0;36848.0;2564.0;21668.29;6868.68;-6.81;34527;36712.49
35121.0;42124024213-1;drtC5;570354684_0;348291.6;3928974.21;46907157_6;352832.88;3922537.41;738.0;38233.0;2374.0;19341.29;10201.89;-9.14;36321;39513.93
