departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
23408.0;42113014912-1;drtD2;195745625_0_r;342746.67;3915015.48;1158171282_1;320553.96;3916155.32;1052.0;32594.0;8134.0;76155.94;30970.6;-23.68;24608;32318.31
23408.0;42113014911-1;drtD2;195745625_0_r;342746.67;3915015.48;1158171282_1;320553.96;3916155.32;1052.0;32594.0;8134.0;76155.94;30970.6;-23.68;24608;32318.31
24624.0;43633001181-1;drtD0;318495220_0;330646.69;3912478.15;1193916734_0;330512.21;3912967.63;791.0;25546.0;131.0;674.92;674.92;-2.47;25824;26206.68
25215.0;42118022613-1;drtD2;1187349464_0;341163.27;3914654.17;224481598_0_r;340150.99;3909922.97;394.0;26899.0;1290.0;10905.9;6683.33;-6.68;26415;28134.66
25261.0;43614000813-1;drtD2;317379237_0;337574.02;3913427.24;166177967_1;349267.75;3919327.02;1159.0;28697.0;2277.0;24037.49;17252.53;-14.08;26461;31772.86
27017.0;42147013761-1;drtD1;112757233_6;345001.59;3919094.96;112757211_9;344886.07;3918862.39;643.0;27715.0;55.0;423.01;423.01;-2.35;28217;28377.48
27557.0;43664001444-4;drtD0;1030242017_0;330945.68;3912899.72;205299989_0;330925.07;3911405.73;127.0;27858.0;174.0;2151.69;2151.69;-3.51;28757;29331.59
28213.0;42114008902-1;drtD1;316683155_0_r;337354.72;3917710.87;486969152_0;343485.13;3916765.11;1311.0;31124.0;1600.0;10576.9;8695.48;-8.09;29413;32405.27
28224.0;43627002261-1;drtD0;318388491_0_r;333477.85;3913249.55;205306348_3;332491.53;3910858.85;518.0;29214.0;472.0;4610.04;4610.04;-5.23;29424;30857.09
29429.0;42114002863-1;drtD1;283050215_0;338813.8;3916238.81;781929733_0;339941.32;3915948.98;532.0;30299.0;338.0;1370.07;1370.07;-2.96;30629;31255.64
30016.0;42113005152-1;drtD0;212259279_1;334708.61;3914971.45;546469313_0;339409.17;3916036.69;688.0;32546.0;1842.0;13101.78;6216.12;-6.35;31216;33389.49
30609.0;43634000691-1;drtD2;318575666_0;331071.28;3912095.15;318495220_0_r;330573.64;3912447.99;457.0;31489.0;423.0;1719.29;1585.04;-3.11;31809;32375.06
31230.0;42113005391-1;drtD0;316529854_0_r;335839.97;3915706.5;254995108_0_r;337507.44;3914481.14;298.0;31974.0;446.0;3246.23;3246.23;-4.27;32430;33737.67
32441.0;42114021423-4;drtD0;669636570_0;333754.69;3919506.96;205010410_0_r;337543.74;3916107.71;1057.0;34114.0;616.0;6275.52;6275.52;-6.39;33641;35245.94
34225.0;42113015431-2;drtD0;316046327_0_r;339230.62;3916374.08;548299686_0_r;337267.48;3916114.7;381.0;34904.0;298.0;2623.88;2623.88;-3.84;35425;36294.96
35004.0;42113021532-1;drtD0;205009608_0;337103.74;3916170.96;291756518_0_r;335051.13;3916081.92;108.0;35473.0;361.0;2640.79;2640.79;-3.85;36204;37090.78
35448.0;42063027833-2;drtD0;816195758_0_r;331895.53;3909270.03;226039289_2;332544.73;3909057.95;1038.0;36644.0;158.0;988.81;988.81;-2.69;36648;37096.69
35719.0;42147014941-2;drtD1;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;491.0;36498.0;288.0;2285.65;2285.65;-3.6;36919;37775.49
37233.0;42113006371-2;drtD0;317117555_2;335109.82;3917143.12;316820554_0_r;334415;3916396.37;1059.0;38486.0;194.0;1322.14;1322.14;-2.93;38433;38991.08
43241.0;42113010532-2;drtD0;669636570_0;333754.69;3919506.96;200735038_6;343403;3916224.24;599.0;45299.0;1459.0;14693.48;14418.47;-12.09;44441;48701.73
46228.0;43427003891-3;drtD0;204881592_0_r;336458.2;3916061.66;711143483_0;339755.17;3915266.79;1116.0;47801.0;457.0;4890.97;4890.97;-5.42;47428;48788.13
48626.0;42118023261-2;drtD0;558090070_1;339134.26;3916367.06;316021084_0;339682.75;3914735.63;290.0;49346.0;430.0;2849.92;2709.65;-3.9;49826;50809.43
49284.0;42113000151-4;drtD0;33691004_1;336160.4;3916685.75;1036970552_0;336460.02;3915886.16;808.0;50362.0;270.0;1288.4;1288.4;-2.9;50484;50912.28
50729.0;42034017511-4;drtD1;663146960_0_r;347406.87;3918361.02;169824956_0;349927.02;3917155.26;132.0;51361.0;500.0;3079.01;3079.01;-4.16;51929;53302.17
52218.0;42113014911-2;drtD2;1158171282_1;320553.96;3916155.32;195745625_0_r;342746.67;3915015.48;61.0;57138.0;4859.0;46508.75;31159.34;-23.81;53418;61144.54
52218.0;42113014912-2;drtD2;1158171282_1;320553.96;3916155.32;195745625_0_r;342746.67;3915015.48;61.0;57138.0;4859.0;46508.75;31159.34;-23.81;53418;61144.54
52842.0;43637001482-3;drtD2;318403969_2;331893.98;3912269.91;205206800_0;332463;3915139.18;566.0;53778.0;370.0;4325.57;4325.57;-5.03;54042;55136.33
