vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;57235.56;43339.2;13896.36;43339.2
drtA27;22643.58;18548.05;4095.54;32935.58
drtA2;75454.29;69085.19;6369.1;124283.61
drtA28;43031.19;33806.1;9225.09;33806.1
drtA29;22894.35;19124.29;3770.06;19124.29
drtA0;66181.5;42658.47;23523.03;55604.2
drtA9;28599.3;24039.55;4559.76;48273.2
drtA7;46543.87;30535.67;16008.2;34808.33
drtA8;10507.79;9707.76;800.02;12474.65
drtA5;14393.52;6582.99;7810.53;6582.99
drtA6;66214.05;55428.3;10785.75;93439.74
drtA3;59697.17;52425.53;7271.64;61916.56
drtA4;18933.98;17494.82;1439.16;17494.82
drtA30;63981.37;56737.69;7243.68;75663.19
drtA31;26206.71;20152.22;6054.49;20152.22
drtA10;60721.55;53548.68;7172.87;53548.68
drtA32;17804.12;10983.22;6820.9;10983.22
drtA11;18984.17;13715.6;5268.57;13715.6
drtA33;5717.05;627.26;5089.79;627.26
drtA12;25216.47;22018.08;3198.4;22018.08
drtA34;10288.1;9595.38;692.71;9595.38
drtA13;57737.52;43166.3;14571.21;49150.57
drtA35;116620.39;91291.17;25329.22;122125.8
drtA14;3346.34;2950.31;396.03;2950.31
drtA36;27287.54;18550.27;8737.28;18550.27
drtA15;32523.2;26897.66;5625.54;33603.01
drtA37;34268.24;23127.4;11140.84;23127.4
drtA16;54126.93;50434.22;3692.71;65411.37
drtA38;85261.85;63081.6;22180.25;94225.52
drtA17;22521.78;18348.47;4173.31;18348.47
drtA39;42784.99;35382.12;7402.88;35382.12
drtA18;6167.07;5684.2;482.87;7996.89
drtA19;44145.31;30444.76;13700.55;30444.76
drtA40;25070.51;13505.74;11564.77;14383.74
drtA41;9457.34;6785.33;2672.01;6785.33
drtA20;38225.11;35919.37;2305.74;49095.03
drtA42;34648.72;25960.39;8688.33;27096.68
drtA21;18075.85;16523.87;1551.98;16523.87
drtA22;72744.2;59857.78;12886.42;76694.24
drtA23;12870.55;9793.29;3077.26;9793.29
drtA24;6230.72;4158.71;2072.01;4158.71
drtA25;47442.62;38911.89;8530.73;59274.12
