vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;142814.52;123773.44;19041.09;163897.23
drtB15;132435.69;64762.92;67672.77;64762.92
drtB3;86820.14;26060.63;60759.51;27294.49
drtB16;31070.61;27397.33;3673.28;27397.33
drtB0;116571.19;82122.61;34448.58;84288.41
drtB1;70390.79;48908.42;21482.37;48908.42
drtB8;98768.21;81607.98;17160.23;106435.17
drtB9;113567.51;57811.81;55755.7;65430.36
drtB6;167948.78;127062.5;40886.28;168254.41
drtB7;94675.19;44684.4;49990.79;47094.08
drtB4;135571.32;70664.45;64906.87;71955.34
drtB5;88333.87;74246.44;14087.43;78099.58
drtB10;186712.7;117496.16;69216.53;117807.17
drtB11;155027.37;116642.45;38384.92;147192.2
drtB12;55715.99;53702.39;2013.6;179529.93
drtB13;40227.31;38389.78;1837.53;47819.98
drtB14;42924.43;17501.47;25422.97;17501.47
