departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22515.0;31123064722-1;drtB8;1137848424_0_r;375338.91;3943213.44;25943933_2;376775.47;3943931.13;300.0;23106.0;291.0;2984.14;2984.14;-4.09;23715;24515.32
23427.0;31124026835-1;drtB16;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;421.0;26060.0;2212.0;25477.77;25477.77;-19.83;24627;30930.73
24942.0;61368049991-1;drtB0;203099005_0_r;369291.48;3939475.4;989378788_0;366304.25;3940319.76;654.0;26083.0;487.0;3804.71;3804.71;-4.66;26142;27576.58
26134.0;61354033961-1;drtB15;558467324_0;367377.24;3944169.86;146932845_0_r;367538.57;3943355.12;600.0;26947.0;213.0;1405.39;1405.39;-2.98;27334;27953.08
26477.0;32097084553-1;drtB13;144487049_3;359238.42;3938771.59;49175369_1;360173.25;3939582.9;717.0;27427.0;233.0;1668.46;1665.25;-3.17;27677;28351.73
27349.0;61374036004-1;drtB0;183748051_0;365843.39;3940799.54;241415442_0;365311.66;3940570.59;213.0;27704.0;142.0;902.87;902.87;-2.63;28549;28959.61
27915.0;32093036764-1;drtB13;52990506_0;360605.99;3939338.8;189330545_4;360318.07;3937267.7;186.0;28475.0;374.0;2731.61;2731.61;-3.91;29115;30203.04
28239.0;51177046913-1;drtB13;99862170_0;362514.13;3935761.28;142114538_0_r;362774.44;3935250.78;932.0;29769.0;598.0;1053.12;800.69;-2.56;29439;29840.62
28557.0;32084021753-1;drtB9;27092317_1;369022.47;3945001.57;309533147_0_r;369207.18;3945226.01;596.0;29227.0;74.0;455.5;455.5;-2.35;29757;29973.57
30617.0;42137033062-1;drtB7;199580194_1;359883.62;3931362.7;242195134_0_r;358423.6;3931872.69;530.0;32461.0;1314.0;7296.45;1961.13;-3.37;31817;32749.7
30659.0;32094024374-1;drtB7;143561740_0_r;361699.04;3931355.41;222711887_1;360503.7;3932378.54;915.0;31856.0;282.0;2034.94;2034.94;-3.42;31859;32669.81
30965.0;32083003583-1;drtB9;37228680_1;369120.79;3946417.53;28571672_0_r;369686.96;3946466.73;325.0;31373.0;83.0;711.97;711.97;-2.5;32165;32403.54
30982.0;32097064622-1;drtB0;47109779_1;360734.81;3941417.54;48442270_0_r;363572.27;3938648.26;1063.0;32938.0;893.0;4558.38;4558.38;-5.19;32182;34221.92
32427.0;32097059261-1;drtB13;971269121_1;361006.22;3936715.25;369319805_0;361638.5;3932778.66;568.0;33750.0;755.0;5184.01;5184.01;-5.63;33627;35794.08
33623.0;91533019191-1;drtB7;150719227_0;357307.06;3933980.57;32259958_3;358286.3;3933215.12;474.0;34342.0;245.0;1553.58;1553.58;-3.09;34823;35527.67
34210.0;31127117341-1;drtB3;37813364_1;372509.53;3947473.57;277209472_5;372515.29;3947846.28;103.0;34400.0;87.0;562.86;562.86;-2.39;35410;35655.63
34254.0;31124013972-2;drtB6;33685024_0;374439.75;3945179.74;60360036_3;374390.65;3944952.63;390.0;34698.0;54.0;355.44;355.44;-2.35;35454;35611.53
34822.0;91524018461-4;drtB7;53075180_0;357139.61;3933099.07;1196371728_0;355790.23;3931332.31;263.0;35559.0;474.0;2774.35;2774.35;-3.94;36022;37418.04
35117.0;32097067921-1;drtB13;144341352_1;361126.64;3934101.94;449386749_0;359989.25;3934412.43;329.0;35692.0;246.0;1586.63;1586.63;-3.11;36317;37067.31
35133.0;61354046421-1;drtB4;203193799_1;369941.56;3941385;204117643_0;370426.14;3940620.97;445.0;35827.0;249.0;1513.36;1513.36;-3.06;36333;37061.84
35157.0;31062006651-1;drtB14;115447369_0_r;380134.46;3948024.44;195248019_1;352992.91;3928533.84;448.0;38790.0;3185.0;41308.88;41283.44;-30.9;36357;45702.72
36023.0;61353035261-1;drtB15;577456455_0_r;367977.8;3944171.74;147400898_0_r;367353.66;3944321.8;319.0;36478.0;136.0;814.65;814.65;-2.57;37223;37625.58
