departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
24035.0;32093032783-1;drtC2;107465015_3;361749.17;3935790.94;142122399_3;361751.57;3935587.87;682.0;24770.0;53.0;395.49;395.49;-2.35;25235;25388.83
27030.0;42128034154-1;drtC1;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;692.0;28289.0;567.0;5865.48;5865.48;-6.11;28230;29822.99
27033.0;32097072743-1;drtC6;144486666_1;359636.16;3933645.69;59919273_6;359852.17;3934647.78;531.0;27770.0;206.0;1352.82;1352.82;-2.95;28233;28825.06
27926.0;32094052833-1;drtC6;1209644394_0;357976.99;3936145.17;142378179_11;358283.79;3936676.67;513.0;28636.0;197.0;1119.29;1119.29;-2.78;29126;29671.37
27930.0;42124023352-1;drtC3;701116745_0_r;348997.23;3922116.89;312017554_0_r;349923.61;3924078.74;1236.0;29626.0;460.0;3054.02;3054.02;-4.14;29130;30476.88
27938.0;42142004674-1;drtC3;130539547_0;348546.43;3920499.04;166128808_0;348069.1;3919898.74;226.0;28318.0;154.0;940.61;940.61;-2.66;29138;29587.75
27970.0;42033022503-1;drtC1;310673059_0;350330.36;3914091.34;39087401_2;350632.3;3919875.42;1164.0;29843.0;709.0;7473.32;7473.32;-7.23;29170;31287.22
28235.0;91534016872-1;drtC2;32260341_2;357583.67;3931700.98;165545507_0_r;357863.22;3931421.74;1113.0;29473.0;125.0;754.32;754.32;-2.53;29435;29805.63
28546.0;42124009113-1;drtC3;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;1303.0;30215.0;366.0;2915.46;2915.46;-4.04;29746;30811.85
28816.0;42132024042-1;drtC2;26300855_1;358942.33;3930064.54;219475554_0;360294.77;3928099.2;1151.0;30413.0;446.0;2794.61;2794.61;-3.96;30016;31327.42
28841.0;42033002544-1;drtC4;196961079_0;346040.17;3916012;196957171_6;346212.53;3915677.58;445.0;29368.0;82.0;580.66;580.66;-2.41;30041;30279.38
29113.0;91536014361-1;drtC6;143948961_0_r;358921.44;3932159.39;191736804_0_r;358653.28;3930236.23;794.0;30312.0;405.0;2614.7;2614.7;-3.83;30313;31479.89
29717.0;42124025811-1;drtC3;701113292_0_r;348657.49;3925021.97;161450365_0;349461.78;3923714.75;1080.0;31321.0;524.0;2929.34;2329.82;-3.63;30917;31863.71
30333.0;42125024721-1;drtC3;311958317_1;348468.08;3924361.62;161450365_0;349461.78;3923714.75;678.0;31321.0;310.0;1947.46;1947.46;-3.36;31533;32438.2
30620.0;42164016332-1;drtC2;105146020_0_r;355895.13;3927711.66;91571059_1;357569.41;3927787.47;673.0;31622.0;329.0;2246.03;2246.03;-3.57;31820;32765.92
30930.0;42132022441-1;drtC6;26300800_0;359220.92;3930200.62;199581523_3;358531.77;3930553.63;185.0;31292.0;177.0;1095.73;1095.73;-2.77;32130;32646.23
31224.0;91533020441-1;drtC6;131924837_1;358905.3;3933216.8;1182828131_0_r;358206.83;3934008.13;635.0;32032.0;173.0;1630.4;1630.4;-3.14;32424;32939.81
31832.0;42164001692-1;drtC2;148965630_0_r;358175.95;3927574.28;293725575_4;357189.59;3927727.67;224.0;32250.0;194.0;1722.24;1722.24;-3.21;33032;33623.45
33010.0;32093001221-1;drtC6;448830437_0_r;358263.12;3935957.56;131202624_0;359094.48;3935035.15;486.0;33713.0;217.0;1547.06;1547.06;-3.08;34210;34906.61
34213.0;32094050291-1;drtC6;142435268_12;359115.71;3936480.11;1050724827_0;359182.99;3940152.82;320.0;35116.0;583.0;5132.33;5132.33;-5.59;35413;37136.79
35121.0;42124024213-1;drtC3;570354684_0;348291.6;3928974.21;46907157_6;352832.88;3922537.41;786.0;37242.0;1335.0;10201.89;10201.89;-9.14;36321;39511.92
36028.0;91533005441-1;drtC6;150719462_4;357574.83;3933882.61;166961996_2;356010.4;3931837.62;1128.0;37689.0;533.0;3147.59;3147.59;-4.2;37228;38735.66
36051.0;42127032632-3;drtC1;169632712_2;350917.65;3922915.12;169671184_3;349753.96;3922101.82;419.0;36735.0;265.0;2622.22;2622.22;-3.84;37251;37971.97
