departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25261.0;43614000813-1;drtD0;317379237_0;337574.02;3913427.24;166177967_1;349267.75;3919327.02;838.0;27832.0;1733.0;17252.53;17252.53;-14.08;26461;31756.5
29722.0;42113009615-1;drtD2;317402044_2;340461.17;3916651.83;80141690_1;339433.78;3916267.65;1082.0;31017.0;213.0;1526.08;1526.08;-3.07;30922;31532.93
32441.0;42114021423-4;drtD2;669636570_0;333754.69;3919506.96;205010410_0_r;337543.74;3916107.71;965.0;34009.0;603.0;6275.52;6275.52;-6.39;33641;35244.63
35719.0;42147014941-2;drtD1;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;540.0;36547.0;288.0;2285.65;2285.65;-3.6;36919;37775.49
36007.0;42113016712-1;drtD2;554001016_0_r;337243.3;3915206.69;316805898_2;336026.51;3917360.03;219.0;37843.0;1617.0;8590.17;3182.09;-4.23;37207;38539.95
36019.0;42113012931-1;drtD2;556376260_0_r;338626.94;3913940.14;1032443477_0;339024.78;3915546.35;579.0;37275.0;677.0;2369.19;1919.75;-3.34;37219;38048.7
36619.0;42113012932-1;drtD2;556376260_0_r;338626.94;3913940.14;711146482_0;343455.38;3916758.79;378.0;39682.0;2685.0;19984.9;7776.93;-7.44;37819;40733.12
37233.0;42113006371-2;drtD2;317117555_2;335109.82;3917143.12;316820554_0_r;334415;3916396.37;1021.0;38448.0;194.0;1322.14;1322.14;-2.93;38433;38991.08
37828.0;42114010244-1;drtD1;200735038_0;343288.54;3916255.2;693131399_0;343570.24;3916585.67;753.0;38668.0;87.0;657.69;657.69;-2.46;39028;39280
48626.0;42118023261-2;drtD2;558090070_1;339134.26;3916367.06;316021084_0;339682.75;3914735.63;812.0;49785.0;347.0;2849.92;2709.65;-3.9;49826;50813.69
51924.0;42141010102-2;drtD0;166251096_0_r;349291.63;3919855.41;825119038_0_r;349141.41;3919965.87;171.0;52143.0;48.0;292.16;292.16;-2.35;53124;53262.03
54665.0;42113000032-3;drtD1;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;452.0;55404.0;287.0;2327.6;2327.6;-3.63;55865;56716.41
56427.0;42141000883-3;drtD0;114916323_1;346826.44;3918630.06;662377531_0_r;346987.55;3917413.24;464.0;57081.0;190.0;1365.38;1365.38;-2.96;57627;58186.08
57636.0;42113008871-2;drtD2;716990826_0_r;338415.78;3909199.37;638328022_0;340781.52;3914712.41;634.0;59053.0;783.0;9815.73;9815.73;-8.87;58836;61126.51
60316.0;42113017451-3;drtD1;311773819_0_r;342710.56;3915785.35;1032514351_0_r;343054.81;3914405.2;446.0;61057.0;295.0;2044.23;2001.29;-3.4;61516;62345.87
60624.0;42118023051-4;drtD2;291756521_0;335013.52;3916245.66;317366983_0_r;334814.27;3915461.73;905.0;61823.0;294.0;1110.69;1110.69;-2.78;61824;62306.12
60803.0;42033025481-2;drtD1;1032514351_0_r;343054.81;3914405.2;1186878774_0;342712.5;3914054.27;314.0;61263.0;146.0;1039.88;1039.88;-2.73;62003;62432.34
61273.0;43614001033-2;drtD1;205176345_2;339984.27;3916465.73;318370328_1;338114.77;3910745.22;708.0;62603.0;622.0;8041.55;8041.55;-7.63;62473;64334.63
64865.0;42113011211-2;drtD0;714429611_0;345580.81;3915929.12;197515789_5;344203.98;3916808.98;487.0;65682.0;330.0;2099.35;2099.35;-3.47;66065;66917.43
64950.0;42063032812-3;drtD2;816195758_0_r;331895.53;3909270.03;180581580_4;332649.28;3910150.38;943.0;66092.0;199.0;1584.5;1584.5;-3.11;66150;66609.38
72935.0;42114019722-4;drtD2;205061632_7;335111.17;3916614.23;544259254_4;339178.71;3916431.44;1066.0;74663.0;662.0;5153.21;5153.21;-5.61;74135;75689.51
75066.0;42141005141-3;drtD0;200734202_0_r;344555.59;3915125.37;33074085_12;346587.85;3917870.7;353.0;76024.0;605.0;4546.37;4546.37;-5.18;76266;78055.44
