runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;548.67;981;981;981;353;66.67;66.67;256;1680.49;1680.49;804.67;3.18;6;0.67
NA;2;12;770.75;1166;1166;975.75;839;25;58.33;327.75;2552.33;2550.28;1098.5;3.79;4;0.25
NA;3;12;547.58;1163;1163;825.25;462;66.67;83.33;500.67;3744.01;3399.43;1048.25;4.39;7;0.37
NA;4;11;753.27;1328;1328;1163;814;36.36;72.73;594.18;4999.79;4632.9;1347.45;5.24;9;0.45
NA;5;21;579;1038;1032.9;827.5;528;61.9;85.71;588.38;4888.36;4659.12;1167.38;5.26;6;0.22
NA;6;14;721.36;1261;1261;986.25;830;35.71;64.29;757.07;5258.44;3999.06;1478.43;4.8;6;0.3
NA;7;15;855.67;1251;1251;1037;884;20;60;668.53;5088.05;4574.52;1524.2;5.2;6;0.29
NA;8;15;768.67;1333;1333;984;588;53.33;66.67;551.33;3840.26;3253.87;1320;4.29;10;0.4
NA;9;13;859;1383;1383;1250.5;708;38.46;53.85;1047.38;7413.88;5053.06;1906.38;5.54;16;0.55
NA;10;14;695.64;1377;1377;1104.25;620;50;71.43;1152.29;8988.48;5761.33;1847.93;6.03;17;0.55
NA;11;19;718.37;1377;1377;970;661;47.37;73.68;885.74;6590.49;5325.85;1604.11;5.73;10;0.34
NA;12;19;714.16;1182;1182;1079;825;42.11;68.42;877.89;7517.11;4979.53;1592.05;5.49;9;0.32
NA;13;20;623.55;1150;1148.9;940.5;657.5;50;70;647.85;5315.56;4549.38;1271.4;5.18;8;0.29
NA;14;20;575.75;1150;1149.25;1037;493;60;70;681;5497.87;4777.24;1256.75;5.34;12;0.38
NA;15;23;620.78;1154;1132.2;838;686;43.48;78.26;630.61;5145.61;4518.97;1251.39;5.16;11;0.32
NA;16;19;649.05;1180;1180;838;751;36.84;78.95;699.84;5874.32;4273.25;1348.89;4.99;16;0.46
NA;17;19;660.37;1112;1112;813;686;36.84;84.21;571.58;4785.47;4145.46;1231.95;4.9;15;0.44
NA;18;21;569.71;1199;1189.4;863;497;61.9;80.95;437.71;3821.39;3764.14;1007.43;4.64;14;0.4
NA;19;17;687.47;1114;1114;908;699;41.18;76.47;404.47;3417.65;3406.87;1091.94;4.39;14;0.45
NA;20;22;642.27;1082;1079.6;914.5;606.5;50;72.73;587.05;4660.66;3831.17;1229.32;4.69;9;0.29
