departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
10830.0;42063027351-1;drtE2;320432635_0;332886.92;3902294.65;1023921434_0;330875.08;3908938.75;187.0;11759.0;742.0;8606.76;8606.76;-8.02;12030;14209.36
26017.0;42062005746-1;drtE1;377171176_0_r;330426.23;3895826.23;136559134_0;327607.59;3911013.13;782.0;28773.0;1974.0;18593.07;18593.07;-15.02;27217;33136.68
26418.0;42068029513-1;drtE3;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;554.0;27182.0;210.0;1699.48;1699.48;-3.19;27618;28215.41
26466.0;42173002784-1;drtE2;136558708_0;325211.74;3911338.8;107415981_1;331632.62;3910051.77;1146.0;28540.0;928.0;9615.06;9615.06;-8.73;27666;30485.3
29721.0;42062020323-1;drtE3;199306646_7;334453.55;3904434.92;199306269_6;335013.29;3905115.25;691.0;30571.0;159.0;1198.5;1198.5;-2.84;30921;31383.83
30367.0;42173004182-1;drtE1;318854661_0;327787.25;3910576.05;501349034_0;331286.11;3912942.78;214.0;32379.0;1798.0;15921.64;5177.69;-5.62;31567;32590.17
30666.0;42173002783-1;drtE1;136558708_0;325211.74;3911338.8;1203892567_1;331208.82;3913067.98;684.0;32257.0;907.0;9196.28;9058.37;-8.34;31866;34412.05
32759.0;43623000312-2;drtE2;107415981_0;331626.73;3910270.1;226039810_2;334692.28;3908824.7;186.0;33373.0;428.0;5261.73;5261.73;-5.68;33959;35233.22
33909.0;43624001943-1;drtE1;205296958_1;332189.32;3909729.18;107415981_0;331626.73;3910270.1;381.0;34381.0;91.0;999.91;999.91;-2.7;35109;35370.96
36017.0;43644001131-1;drtE1;492225834_0;321584.63;3915380.17;318403969_2;331893.98;3912269.91;1077.0;38030.0;936.0;14317.47;14317.47;-12.02;37217;40012.86
39789.0;43663002011-2;drtE1;226034817_0;332664.74;3912958.37;136560114_2;328885.21;3911468.15;284.0;40534.0;461.0;5163.37;5163.37;-5.61;40989;42315.04
46224.0;42068030261-3;drtE2;226039810_2;334692.28;3908824.7;320230823_0;333672.71;3905672.53;61.0;46756.0;471.0;3982.1;3982.1;-4.79;47424;48802.38
46314.0;42114016402-2;drtE2;963611077_0;329675.15;3905723.14;332668052_0_r;332390.04;3902705.4;1120.0;48356.0;922.0;6509.7;6509.7;-6.56;47514;49787.22
47435.0;42063030002-4;drtE3;226039844_0_r;333855.19;3903675.71;320154957_0;335730.08;3904647;446.0;48365.0;484.0;2997.33;2997.33;-4.1;48635;49964.75
49247.0;42062024241-2;drtE1;319392667_0;331119.61;3907413.99;136560571_28;330983.13;3906187.67;600.0;50006.0;159.0;2368.66;2368.66;-3.66;50447;50888.35
51091.0;42174002752-3;drtE1;136560144_0;325063.23;3911539.86;319768364_1;329559.67;3907081.4;1065.0;53199.0;1043.0;8389.89;8389.89;-7.87;52291;55371.84
51747.0;42062005643-4;drtE2;319768346_0_r;332029.44;3906141.71;320425688_0;332393.31;3904341.21;505.0;52546.0;294.0;2214.23;2214.23;-3.55;52947;53701.37
52764.0;42063030901-1;drtE3;197783348_3;336401.54;3904895.79;550346823_0;332497.12;3902742.4;230.0;54083.0;1089.0;6146.15;4931.8;-5.45;53964;56118.71
53444.0;42062019522-3;drtE3;444229884_0;334032.64;3903329.18;277515907_0;332948.46;3902570.57;112.0;53930.0;374.0;2474.36;1450.4;-3.02;54644;55182.83
53645.0;42062017042-2;drtE3;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;131.0;54695.0;919.0;7087.44;5493.96;-5.85;54845;56601.43
54077.0;43663002032-1;drtE3;137841278_1;329157.68;3911454.69;318716041_8;329314.42;3911151.93;1243.0;55366.0;46.0;347.62;347.62;-2.35;55277;55409.57
55865.0;42062017044-2;drtE2;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;434.0;56864.0;565.0;5493.96;5493.96;-5.85;57065;58741.97
55955.0;42067026355-2;drtE3;136559134_0;327607.59;3911013.13;215617186_0;331675.62;3904640.17;338.0;57075.0;782.0;8973.76;8973.76;-8.28;57155;59423.73
57624.0;42062002982-3;drtE2;319288915_0;331252.37;3909138.67;18955491_2;331261.84;3909047.25;303.0;57964.0;37.0;266.86;266.86;-2.35;58824;58974.93
58614.0;42173002304-2;drtE1;963611077_0;329675.15;3905723.14;319012622_0;328542.78;3909239.76;430.0;59628.0;584.0;5323.51;5323.51;-5.73;59814;61556.58
61224.0;42062010941-4;drtE3;1068314201_0_r;331718.84;3903745.29;226038567_1;332070.69;3903239.54;281.0;61695.0;190.0;834.76;834.76;-2.58;62424;62812.7
63939.0;42063028272-2;drtE1;685054827_0;325291.77;3909052.36;1068314201_0_r;331718.84;3903745.29;688.0;66236.0;1609.0;16533.83;11954.27;-10.37;65139;68444.07
64830.0;43664001822-3;drtE1;318902099_0_r;327550.6;3910476.63;318736782_0;329626;3911085.25;217.0;65253.0;206.0;2730.55;2730.55;-3.91;66030;66646.65
65935.0;42062000644-3;drtE3;377171173_0_r;330481.9;3896790.23;267421025_0;332889.26;3903005.28;1087.0;67908.0;886.0;7522.82;7522.82;-7.27;67135;69813.79
70275.0;42062018563-2;drtE2;137988708_1;328069.43;3914082;208840518_1;334565.65;3906423.42;731.0;71958.0;952.0;13330.16;13330.16;-11.33;71475;74195.32
