runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;21;387.71;541;540.1;487;386;100;100;518.95;5482.07;5480.86;906.67;5.86;15;0.42
NA;2;48;391.6;583;572.3;518.25;381;100;100;645.25;5902.48;5605.04;1036.85;5.94;21;0.3
NA;3;53;362.53;580;542.9;485;374;100;100;872.19;8432.18;7757.79;1234.72;7.44;38;0.42
NA;4;63;357.62;581;553.6;484;374;100;100;1022.32;10022.63;8747.33;1379.94;8.13;47;0.43
NA;5;70;382.6;605;582.7;508;398.5;98.57;100;798.63;8304.49;7917.93;1181.23;7.55;51;0.42
NA;6;76;352.71;765;588.75;500.25;367;97.37;100;848.7;8941.48;8555.03;1201.41;8;54;0.42
NA;7;73;356.16;700;584.2;468.5;368;97.26;100;834.47;8889.37;8406.18;1190.63;7.89;61;0.46
NA;8;87;385.98;700;601.6;511;374;94.25;100;850.76;8511.83;7472.44;1236.74;7.24;63;0.42
NA;9;93;377.53;700;609.3;498;391;93.55;100;964.51;9366.98;7855.68;1342.03;7.51;66;0.42
NA;10;90;374.94;662;605.5;493.5;392;94.44;100;959.57;9570.63;8683.6;1334.51;8.09;72;0.44
NA;11;86;381.42;751;586.65;484.5;386.5;96.51;100;819.72;8294.69;7563.17;1201.14;7.3;80;0.48
NA;12;88;379.38;727;604.65;480.25;387;95.45;100;863.7;8595.76;7806.55;1243.08;7.47;86;0.49
NA;13;91;377.92;692;592;484;366;97.8;100;916.31;8665.05;7856.42;1294.23;7.51;88;0.49
NA;14;111;380.14;756;592.4;509;375;97.3;100;898.67;8587.26;7773.3;1278.81;7.45;84;0.43
NA;15;102;372.53;670;583;512;369;97.06;100;875.37;8550.62;7883.49;1247.9;7.53;101;0.5
NA;16;106;379.34;716;593.3;484;388;96.23;100;817.5;7799.46;6994.74;1196.84;6.9;92;0.46
NA;17;104;423.66;798;685;538;433.5;92.31;100;829.16;7730.04;6526.12;1252.83;6.58;86;0.45
NA;18;107;393.29;901;622.6;493;390;93.46;99.07;704.43;6791.13;6348.52;1097.72;6.45;74;0.41
NA;19;92;394.49;743;607.7;506.25;397.5;94.57;100;813.86;7884.27;7249.21;1208.35;7.08;97;0.51
NA;20;98;398.27;859;607.1;518;398;93.88;100;766.3;7447.37;7166.74;1164.56;7.02;80;0.45
