runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;520;569;569;569;497;100;100;469.67;4424;4424;989.67;5.1;2;0.4
NA;2;5;406.6;569;569;504;395;100;100;442.6;4558.44;4558.44;849.2;5.19;8;0.62
NA;3;13;455.77;585;585;524;456;100;100;533.85;5040.17;4716.38;989.62;5.3;6;0.32
NA;4;13;480.92;621;621;569.5;515;92.31;100;504.46;4763.49;4753.16;985.38;5.33;14;0.52
NA;5;23;418.61;593;591.4;484;403;100;100;623.83;5732.78;4891.35;1042.43;5.42;14;0.38
NA;6;31;406.55;590;587;491;403;100;100;664.84;6235.53;4627.91;1071.39;5.24;18;0.37
NA;7;27;412.11;605;597;511;417;96.3;100;550.52;5351.72;4486.88;962.63;5.14;19;0.41
NA;8;14;414.21;585;585;514.25;423.5;100;100;521.21;4518.41;4320.34;935.43;5.02;33;0.7
NA;9;16;450.31;883;883;508.25;469;93.75;100;643.5;6013.32;4105.7;1093.81;4.87;36;0.69
NA;10;26;486.5;1194;1018.65;586.25;488.5;80.77;96.15;711.54;6716.51;5078.2;1198.04;5.55;32;0.55
NA;11;32;470.84;693;633.85;576.25;460;93.75;100;589.66;5615.26;4739.36;1060.5;5.32;27;0.46
NA;12;41;458.88;990;692.8;547.5;466;90.24;97.56;565.8;5505.95;4541.88;1024.68;5.18;26;0.39
NA;13;36;481.78;873;829.65;574;486.5;86.11;100;510.28;4798.47;3981.97;992.06;4.79;29;0.45
NA;14;36;453.5;822;765.9;556.75;452;91.67;100;529.58;5668.31;4186.18;983.08;4.94;25;0.41
NA;15;44;445;1323;794.5;564.5;393.5;86.36;97.73;545.41;5238.52;3979.56;990.41;4.79;21;0.32
NA;16;35;476.03;1131;847.8;574;468;80;97.14;556.49;5284.23;4218.97;1032.51;4.96;27;0.44
NA;17;36;437.61;853;704.25;554.5;458.5;88.89;100;696.03;6508.06;4713.67;1133.64;5.3;24;0.4
NA;18;41;427.49;693;691;563;431;85.37;100;771.44;6988.72;5118.9;1198.93;5.59;22;0.35
NA;19;30;388.5;588;586.35;503.75;396;100;100;803.5;7774.27;4904.34;1192;5.44;25;0.45
NA;20;33;392.18;691;686.8;526.5;409;93.94;100;502.21;4706;3733.68;894.39;4.62;22;0.4
