departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtA2;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2716.0;1786.0;25571.89;16080.58;-13.26;1220;4771.63
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;247.0;1716.0;540.0;8648.12;8648.12;-8.05;1529;3692.28
1826.0;31157185231-3;drtA12;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;145.0;2756.0;785.0;12369.02;12369.02;-10.66;2426;5390.85
1840.0;31072021661-2;drtA1;144846260_1;381593.01;3945744.56;1010971915_0;393121.61;3953804.06;271.0;3170.0;1059.0;18525.26;18525.26;-14.97;2440;6136.74
3032.0;31124023311-6;drtA37;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;242.0;3742.0;468.0;6601.88;6601.88;-6.62;3632;5626.45
4243.0;31124072731-4;drtA35;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;185.0;6706.0;2278.0;30028.8;15458.97;-12.82;4843;8351.89
4618.0;31123037701-7;drtA35;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;395.0;6039.0;1026.0;13218.5;11374.51;-9.96;5218;7820.11
5132.0;31124015231-4;drtA35;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;233.0;7092.0;1727.0;20095.77;15756.54;-13.03;5732;9678.16
7264.0;31132029211-2;drtA38;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;425.0;8430.0;741.0;11024.31;11024.31;-9.72;7864;10597.21
9838.0;31127119452-2;drtA33;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;399.0;11037.0;800.0;12723.47;12723.47;-10.91;10438;13366.83
20403.0;31157121751-1;drtA12;36238138_0;375651.41;3948670.87;209213591_0;383757.23;3961041.22;294.0;21834.0;1137.0;19191.54;19191.54;-15.43;21003;24933.74
20725.0;31105003061-1;drtA34;133858343_0;381379.68;3946643.56;203315329_0_r;381010.63;3946099.75;312.0;21171.0;134.0;1502.36;1502.36;-3.05;21325;22301.12
23138.0;31124042353-1;drtA7;282318046_1;378442.93;3945521.47;109158383_2;372009.54;3948258.6;228.0;24466.0;1100.0;9744.7;9654.56;-8.76;23738;27468.71
23430.0;31143048111-1;drtA13;44352960_0;379366.38;3950097.12;107699622_0_r;378476.78;3949762.29;189.0;23814.0;195.0;1197.99;1197.99;-2.84;24030;25199.65
25227.0;31124027311-1;drtA33;154882436_10;378206.68;3944550.79;158180857_1;387779.33;3948302.12;154.0;26152.0;771.0;12284.6;12284.6;-10.6;25827;28720.72
25258.0;31157185022-1;drtA28;775562350_0_r;374628.16;3948275.62;31300472_1;375528.48;3949705.77;284.0;25833.0;291.0;2802.27;2804.06;-3.96;25858;27314.67
25822.0;31157169461-1;drtA0;101670117_0_r;377439.69;3951018.86;115461136_1;379798.48;3950678.54;305.0;26464.0;337.0;3606.09;3606.09;-4.52;26422;27932.38
27058.0;31144039921-1;drtA31;149672905_0;383043.12;3950251.38;195279740_0;379471.66;3951105.89;93.0;27503.0;352.0;4443.5;4443.5;-5.11;27658;29264.79
28041.0;31144022501-1;drtA31;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;211.0;28799.0;547.0;4946.57;4892.25;-5.42;28641;30395.61
28247.0;31147080691-1;drtA13;784770963_0;378980.64;3950026.38;32122131_0;375745;3948996.9;191.0;29062.0;624.0;6710.29;6710.29;-6.7;28847;31136.34
28818.0;31157241522-1;drtA0;164819786_0;378490.39;3949816.09;34948594_1;379022.35;3950199.97;356.0;29666.0;492.0;3222.74;842.94;-2.59;29418;30385.89
28823.0;31131008983-1;drtA21;294012535_0;384186.72;3945824.3;41857255_0;382628.42;3947387.8;261.0;29379.0;295.0;3168.9;3168.9;-4.22;29423;30921.32
28827.0;31155033622-1;drtA32;282545130_0;378129.31;3952355.26;216480483_3;381936.82;3950315.76;376.0;29655.0;452.0;5860.19;5860.19;-6.1;29427;31264.5
28829.0;31143046711-1;drtA39;115455924_0;380201.18;3950624.74;844489859_0_r;379988.91;3950862.18;264.0;29160.0;67.0;450.24;450.24;-2.35;29429;30219.9
29050.0;31093053471-1;drtA6;309829214_0;382326.21;3941022.21;137630421_1;383648.8;3947123.55;523.0;30348.0;775.0;12287.86;12287.86;-10.6;29650;32453.39
29124.0;31157252751-1;drtA0;101968994_0_r;378216.24;3948935.49;144776663_0;382084.17;3950559.24;267.0;30284.0;893.0;5936.74;5487.19;-5.84;29724;31771.72
29440.0;31124051432-1;drtA37;116429820_0;378804.83;3944645.74;116432479_0;378448.29;3944945.78;246.0;29868.0;182.0;711.01;711.01;-2.5;30040;30993.13
29708.0;31143045852-1;drtA0;201705623_0_r;380528.87;3950438.07;58206779_0;379592.63;3952032.71;362.0;30686.0;616.0;5739.52;2932.19;-4.05;30308;31851.54
30016.0;31157253071-1;drtA38;44220005_3;378519.25;3948848.35;178904689_0_r;380868.32;3949108.07;330.0;30635.0;289.0;3476.55;3476.55;-4.43;30616;32155.84
30023.0;31127135422-1;drtA7;61292196_0;372724.6;3948907.05;36961480_1;372638.41;3946751.82;474.0;30944.0;447.0;3069.39;3069.39;-4.15;30623;32512.15
