departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
19820.0;42157018041-1;drtC0;165141674_0_r;355235.57;3925423.45;313265399_0;356744.31;3926848.16;367.0;20553.0;366.0;3626.26;3626.26;-4.54;20420;22126.34
22720.0;91535010912-1;drtC6;1194917323_0;356999.67;3931327.41;310225190_0;360219.85;3919409.64;362.0;24934.0;1852.0;15684.94;15684.94;-12.98;23320;29349.35
23420.0;42141004881-1;drtC3;166124858_1;348304.16;3921367.86;41907366_1;347172.41;3922534.4;360.0;24082.0;302.0;2180.31;2180.31;-3.53;24020;25511.18
25207.0;42127031591-1;drtC5;663490045_0;352002.53;3923185.04;1069570414_1;347078.26;3921675.51;596.0;26746.0;943.0;7078.44;7078.44;-6.95;25807;29108.77
25228.0;91532010621-1;drtC2;29425069_6;358049.26;3934740.84;45735521_1;359045.33;3934743.66;258.0;26770.0;1284.0;6782.46;1330.11;-2.93;25828;27048.35
25514.0;91535013741-1;drtC2;150719287_0_r;356927.36;3933617.31;39168328_1;358162.01;3933128.02;475.0;26298.0;309.0;1947.16;1947.16;-3.36;26114;27613.38
27013.0;42155003371-1;drtC0;241782318_1;354431.92;3925570.12;313512826_0_r;350462.54;3930187.09;379.0;28519.0;1127.0;10179.88;10179.88;-9.13;27613;30993.24
27030.0;42128034154-1;drtC1;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;692.0;29927.0;2205.0;15261.09;5865.48;-6.11;27630;29823.09
27033.0;32097072743-1;drtC2;144486666_1;359636.16;3933645.69;59919273_6;359852.17;3934647.78;277.0;27516.0;206.0;1352.82;1352.82;-2.95;27633;28825.52
27330.0;42142005751-1;drtC4;110008923_0_r;347029.23;3917787.84;31569019_10_r;351290.41;3921603.78;241.0;28409.0;838.0;7177.34;7177.34;-7.02;27930;30993.45
27634.0;32093001321-1;drtC2;142435278_1;359286.83;3935963.91;582279980_0;358492.38;3934740.59;366.0;29115.0;1115.0;5424.84;1951.95;-3.37;28234;29729.12
27929.0;42155007072-1;drtC1;313114286_0_r;354556.91;3925937.12;968860956_0;353962.66;3923710.49;567.0;29093.0;597.0;2967.84;2967.84;-4.08;28529;30437.5
27931.0;32097074214-1;drtC2;386192282_0_r;360531.78;3934557.1;222234939_0;360077.8;3935041.92;457.0;28539.0;151.0;912.61;912.61;-2.64;28531;29555.81
28546.0;42124009113-1;drtC4;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;390.0;29949.0;1013.0;11170.84;2915.46;-4.04;29146;30812.36
28818.0;42142010033-1;drtC3;311793768_0;349638.02;3920403.4;46888488_1;346937.5;3919056.61;794.0;29986.0;374.0;3374.95;3374.95;-4.36;29418;31266.91
28882.0;42157018415-1;drtC4;201216527_0_r;353309.02;3925504.07;1208960965_0_r;356416.65;3928250.54;544.0;30854.0;1428.0;15291.36;6128.65;-6.29;29482;31664.1
30614.0;91532020503-1;drtC2;1211985866_0_r;359201.85;3932682.65;251715348_0;354560.56;3937344.35;476.0;31782.0;692.0;7832.13;7832.13;-7.48;31214;33875.64
30620.0;42142011311-1;drtC3;32353334_1;343786.26;3917572.21;106354564_2;343805.54;3916857.85;466.0;31227.0;141.0;986.41;986.41;-2.69;31220;32234.93
30622.0;42141003803-1;drtC1;166128807_3;347878.51;3919813.57;244931233_1;352514.83;3920073.59;511.0;31849.0;716.0;6589.57;6589.57;-6.61;31222;33961.54
30634.0;42124019491-1;drtC5;204007161_0_r;346390.96;3923142.73;165912119_0;349746.47;3922320.09;463.0;31897.0;800.0;5122.27;4280.04;-5;31234;33791.15
31570.0;42125023303-2;drtC5;367858243_0;349225.44;3922568.12;31410805_0_r;351780.99;3923183.26;148.0;32362.0;644.0;3909.67;3596.28;-4.52;32170;34220.74
32719.0;42147014412-1;drtC3;113005006_2;345779.95;3918948.3;1036419365_0;346696.95;3918284.09;483.0;33440.0;238.0;1443.11;1443.11;-3.01;33319;34492.02
36013.0;42033000062-1;drtC3;164812784_5;345992.9;3916560.48;1071937066_0;344079.71;3915227.95;423.0;36872.0;436.0;3182.61;3182.61;-4.23;36613;38541.74
36015.0;42155011851-1;drtC1;37414663_2;352975.77;3922604.24;590117717_0;351635.51;3928575.56;368.0;37319.0;936.0;7287.39;7287.39;-7.1;36615;39596.61
37214.0;42154017241-3;drtC5;312774105_1;352998.36;3922938.33;545849031_0;353195.55;3919165.77;391.0;37908.0;303.0;4032.16;4032.16;-4.82;37814;39289.89
37811.0;42167020191-1;drtC4;165510306_0;357269.47;3930576.08;222975252_4;357231.44;3931344.62;570.0;38559.0;178.0;1172.5;1172.5;-2.82;38411;39524.51
39628.0;91533019191-3;drtC4;32259958_3;358286.3;3933215.12;150719227_0;357307.06;3933980.57;502.0;40372.0;242.0;1874.88;1874.88;-3.31;40228;41533.81
41423.0;42155008892-3;drtC5;192562389_2;353516.92;3923535.49;1108918838_0;354018.59;3925247.65;401.0;42201.0;377.0;2683.01;2683.01;-3.88;42023;43744.07
43233.0;42155003673-2;drtC5;31664809_6;352573.02;3923824.02;1150056863_1;351470.68;3923445.36;487.0;44070.0;350.0;1419.55;1419.55;-2.99;43833;45102.89
44422.0;42132001322-1;drtC4;24536099_2;359484.76;3931457.48;199456445_0_r;360058.33;3928122.79;514.0;45693.0;757.0;4895.63;4895.63;-5.43;45022;47463.48
45331.0;32093041081-5;drtC2;242188329_1;356690.98;3937045.46;582279980_0;358492.38;3934740.59;572.0;46445.0;542.0;3186.29;3186.29;-4.23;45931;48149.96
46227.0;42125010301-2;drtC5;161450420_2;350913.41;3924272.09;663766262_2;350664.48;3924640.64;225.0;46553.0;101.0;575.98;575.98;-2.4;46827;47720.58
46571.0;42163001121-4;drtC4;166794658_0;357722.65;3927480.67;293725563_1;357683.64;3928140.94;326.0;47110.0;213.0;672.56;672.56;-2.47;47171;48096.85
50407.0;32094018211-3;drtC2;442984584_0_r;357803.77;3936312.75;131230323_0_r;358316.66;3938186.32;454.0;51359.0;498.0;3095.64;3095.64;-4.17;51007;53051.93
