departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
28224.0;43627002261-1;drtD0;318388491_0_r;333477.85;3913249.55;205306348_3;332491.53;3910858.85;472.0;29164.0;468.0;4610.04;4610.04;-5.23;28824;30838.23
35448.0;42063027833-2;drtD0;816195758_0_r;331895.53;3909270.03;226039289_2;332544.73;3909057.95;288.0;35894.0;158.0;988.81;988.81;-2.69;36048;37096.69
35719.0;42147014941-2;drtD2;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;507.0;36514.0;288.0;2285.65;2285.65;-3.6;36319;37775.49
38725.0;42034002392-2;drtD2;196959620_8;346134.91;3916209.96;311520914_0_r;346250.56;3915800.86;597.0;39418.0;96.0;727.93;727.93;-2.51;39325;40206.6
50729.0;42034017511-4;drtD1;663146960_0_r;347406.87;3918361.02;169824956_0;349927.02;3917155.26;506.0;51699.0;464.0;3079.01;3079.01;-4.16;51329;53311.7
52842.0;43637001482-3;drtD0;318403969_2;331893.98;3912269.91;205206800_0;332463;3915139.18;393.0;53605.0;370.0;4325.57;4325.57;-5.03;53442;55134.94
54023.0;42113011312-2;drtD2;1042747061_1;347946.04;3914021.17;197515789_4;344171.97;3916828.52;440.0;55190.0;727.0;5608.08;5608.08;-5.93;54623;57390.55
54949.0;42141003641-2;drtD1;176179625_2;350226.1;3919768.62;204354480_1;347496.65;3920065.94;512.0;56101.0;640.0;3649.88;3649.88;-4.55;55549;57512.79
55266.0;42113018174-2;drtD2;113924437_0;346245.69;3919136.11;158381777_1;342087.22;3916255.3;505.0;56449.0;678.0;5620.8;5620.8;-5.93;55866;58418.64
55882.0;42037039001-2;drtD1;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;582.0;57477.0;1013.0;8216.01;8216.01;-7.75;56482;60042.34
57630.0;43634000513-3;drtD0;318495210_2;330152.44;3913188.35;318403969_2;331893.98;3912269.91;489.0;58441.0;322.0;3672.62;3672.62;-4.57;58230;59654.63
64865.0;42113011211-2;drtD1;714429611_0;345580.81;3915929.12;197515789_5;344203.98;3916808.98;570.0;65711.0;276.0;2099.35;2099.35;-3.47;65465;66924.12
68438.0;42114008201-2;drtD1;48406616_7;346922.75;3918743.26;553127204_0_r;334292.25;3915425.12;785.0;70680.0;1457.0;14020.36;14020.36;-11.81;69038;73920.78
72935.0;42114019722-4;drtD1;205061632_7;335111.17;3916614.23;544259254_4;339178.71;3916431.44;363.0;73826.0;528.0;5153.21;5153.21;-5.61;73535;75683.72
75066.0;42141005141-3;drtD2;200734202_0_r;344555.59;3915125.37;33074085_12;346587.85;3917870.7;519.0;76190.0;605.0;4546.37;4546.37;-5.18;75666;78057.26
79224.0;42142001394-4;drtD2;311728919_0;346865.36;3917795.11;112967789_6;346156.43;3916768.5;139.0;79690.0;327.0;2161.54;2092.52;-3.46;79824;81335.56
