vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;49287.79;41067.15;8220.64;41067.15
drtA27;22913.57;17546.68;5366.88;17546.68
drtA2;68999.42;55602.55;13396.87;64250.67
drtA28;21043.02;13223.66;7819.37;13223.66
drtA29;18095.17;16737.25;1357.92;25369.09
drtA0;35895.81;25507.72;10388.1;29691.4
drtA9;19881.96;14749.63;5132.33;14749.63
drtA7;21637.41;18530.54;3106.87;21599.92
drtA8;79874.97;67652.25;12222.72;98711.29
drtA5;9519.14;7273.05;2246.09;7273.05
drtA6;66364.35;54032.98;12331.37;74060.68
drtA3;21662.39;14689.87;6972.52;14689.87
drtA4;55663.74;47555.27;8108.47;55021.88
drtA30;31083;25091.74;5991.26;25091.74
drtA31;91401.49;71547.74;19853.75;94273.72
drtA10;12894.77;7241.84;5652.93;7241.84
drtA32;24837.16;18460.79;6376.37;18460.79
drtA11;40823.87;25694.86;15129.01;25694.86
drtA33;69468.12;52517.72;16950.4;52517.72
drtA12;35444.16;31560.56;3883.6;31560.56
drtA34;53247.88;41982.06;11265.82;41982.06
drtA13;17510.92;13374.34;4136.59;13374.34
drtA35;38704.65;36054.77;2649.88;66889.4
drtA14;7630.12;6135.32;1494.8;6135.32
drtA36;21394.58;19380.8;2013.78;19380.8
drtA15;26970.36;17321.04;9649.33;17321.04
drtA37;65903.5;53121.66;12781.84;53121.66
drtA16;3656.94;710.54;2946.4;710.54
drtA38;46130.05;30255.82;15874.24;39257.44
drtA17;12365.1;9041.35;3323.75;9041.35
drtA39;13413.25;7860.52;5552.73;7860.52
drtA18;5382.57;4899.69;482.87;4899.69
drtA19;23830.47;14689.7;9140.77;14689.7
drtA40;53884.85;44059;9825.85;53649.45
drtA41;54837.74;52058.29;2779.45;59699.97
drtA20;66708.73;59541.15;7167.58;130763.37
drtA42;12814.37;11452.78;1361.59;11452.78
drtA21;25970.02;22018.08;3951.95;22018.08
drtA22;25670.4;19837.78;5832.62;19837.78
drtA23;1715.92;1014.76;701.16;1014.76
drtA24;16709.74;12747.69;3962.05;12747.69
drtA25;25730.4;19886.77;5843.64;19886.77
