runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;9;687.78;1097;1097;892;750;44.44;77.78;485;4352.81;4352.81;1172.78;5.05;5;0.36
NA;2;17;677.41;1119;1119;987.5;560;52.94;64.71;442.35;3700.46;2880.78;1119.76;4.03;7;0.29
NA;3;19;732;1187;1187;1024;755;47.37;63.16;666.32;5770.14;4114.46;1398.32;4.88;7;0.27
NA;4;22;719.68;1212;1208.55;974.5;721.5;40.91;59.09;796.41;6123.16;3805.74;1516.09;4.66;9;0.29
NA;5;30;644.63;1148;1134.8;883;675.5;46.67;80;748.7;5503.79;3804.87;1393.33;4.66;9;0.23
NA;6;28;707.04;1133;1102.4;935.75;767.5;32.14;75;575.75;4053.36;3056.97;1282.79;4.14;9;0.24
NA;7;33;721.82;1292;1264;1020.5;682;42.42;72.73;452.03;3357.29;2793.75;1173.85;3.96;12;0.27
NA;8;33;637.73;1327;1302.5;883;589;54.55;78.79;495.88;3688.97;3030.87;1133.61;4.13;13;0.28
NA;9;31;744.19;1383;1304.4;1023;679;41.94;67.74;732.65;5512.2;3760.54;1476.84;4.63;14;0.31
NA;10;33;696.73;1383;1314.4;955;650;45.45;75.76;683.45;4982.32;4086.86;1380.18;4.86;15;0.31
NA;11;34;704.79;1383;1380;887.75;651.5;41.18;76.47;593.03;4496.12;3462.37;1297.82;4.42;19;0.36
NA;12;34;673.21;1275;1229.25;946.5;760.5;44.12;70.59;733.76;6263.36;6036.38;1406.97;6.23;13;0.28
NA;13;36;717.69;1555;1265.15;967.5;801;38.89;69.44;679.97;6023.47;5664.28;1397.67;5.97;12;0.25
NA;14;39;672.49;1214;1156;978;687;41.03;69.23;759.03;6709.11;5886.73;1431.51;6.12;12;0.24
NA;15;48;636.02;1304;1175.05;880;623;45.83;77.08;868.88;7234;5415.72;1504.9;5.79;8;0.14
NA;16;47;670.96;1243;1178.4;970;715;36.17;68.09;862.38;7485.7;5593.51;1533.34;5.92;7;0.13
NA;17;46;652.83;1173;1135.05;846.25;653;43.48;78.26;821;7147.43;5902.12;1473.83;6.13;8;0.15
NA;18;52;629.21;1174;1085.6;834.5;677.5;44.23;78.85;924.52;7688;5781.16;1553.73;6.05;7;0.12
NA;19;42;690.6;1270;1172.05;983.75;738.5;35.71;71.43;958;8511.01;5848.78;1648.6;6.1;19;0.31
NA;20;42;680.17;1270;1160.7;1002.75;763.5;38.1;73.81;1017.24;9207.35;6227.57;1697.4;6.36;13;0.24
