departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtA2;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2957.0;2027.0;26678.07;16080.58;-13.26;1820;4771.63
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;247.0;1716.0;540.0;8648.12;8648.12;-8.05;2129;3692.28
1826.0;31157185231-3;drtA2;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;583.0;3618.0;1209.0;15014.18;12369.02;-10.66;3026;5366.59
1840.0;31072021661-2;drtA1;144846260_1;381593.01;3945744.56;1010971915_0;393121.61;3953804.06;271.0;3170.0;1059.0;18525.26;18525.26;-14.97;3040;6136.74
3032.0;31124023311-6;drtA12;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;233.0;3733.0;468.0;6601.88;6601.88;-6.62;4232;5627.09
4243.0;31124072731-4;drtA35;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;185.0;6706.0;2278.0;30028.8;15458.97;-12.82;5443;8351.89
4618.0;31123037701-7;drtA35;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;395.0;6039.0;1026.0;13218.5;11374.51;-9.96;5818;7820.11
5132.0;31124015231-4;drtA35;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;233.0;7092.0;1727.0;20095.77;15756.54;-13.03;6332;9678.16
7264.0;31132029211-2;drtA37;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;422.0;8427.0;741.0;11024.31;11024.31;-9.72;8464;10596.92
9838.0;31127119452-2;drtA38;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;388.0;11026.0;800.0;12723.47;12723.47;-10.91;11038;13367.26
16597.0;31082028811-1;drtA1;1060235876_0;394505.17;3950968.03;251308522_1;381978.89;3950605.88;693.0;18054.0;764.0;13198.58;13198.58;-11.24;17797;19931.35
20403.0;31157121751-1;drtA2;36238138_0;375651.41;3948670.87;209213591_0;383757.23;3961041.22;294.0;21834.0;1137.0;19191.54;19191.54;-15.43;21603;24933.74
20725.0;31105003061-1;drtA34;133858343_0;381379.68;3946643.56;203315329_0_r;381010.63;3946099.75;312.0;21171.0;134.0;1502.36;1502.36;-3.05;21925;22301.12
21625.0;31124031151-1;drtA40;116473709_0_r;376644.29;3945397.99;394569598_0;383810.42;3945514.32;295.0;22792.0;872.0;10320.62;10287.16;-9.2;22825;25302.85
23138.0;31124042353-1;drtA7;282318046_1;378442.93;3945521.47;109158383_2;372009.54;3948258.6;228.0;24466.0;1100.0;9744.7;9654.56;-8.76;24338;27468.65
23430.0;31143048111-1;drtA13;44352960_0;379366.38;3950097.12;107699622_0_r;378476.78;3949762.29;189.0;23814.0;195.0;1197.99;1197.99;-2.84;24630;25199.65
25208.0;31157260511-1;drtA13;770241800_0;377950.38;3949262.63;97685685_0;389472.37;3948215.62;231.0;27642.0;2203.0;20762.5;14369.54;-12.06;26408;29460.07
25227.0;31124027311-1;drtA13;154882436_10;378206.68;3944550.79;158180857_1;387779.33;3948302.12;1325.0;27333.0;781.0;12284.6;12284.6;-10.6;26427;28712.58
25258.0;31157185022-1;drtA28;775562350_0_r;374628.16;3948275.62;31300472_1;375528.48;3949705.77;284.0;25833.0;291.0;2802.27;2804.06;-3.96;26458;27314.95
25822.0;31157169461-1;drtA0;101670117_0_r;377439.69;3951018.86;115461136_1;379798.48;3950678.54;305.0;26464.0;337.0;3606.09;3606.09;-4.52;27022;27932.34
27058.0;31144039921-1;drtA31;149672905_0;383043.12;3950251.38;195279740_0;379471.66;3951105.89;93.0;27537.0;386.0;4443.5;4443.5;-5.11;28258;29268.15
28041.0;31144022501-1;drtA31;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;211.0;28722.0;470.0;4946.57;4892.25;-5.42;29241;30381.74
28247.0;31147080691-1;drtA0;784770963_0;378980.64;3950026.38;32122131_0;375745;3948996.9;291.0;29179.0;641.0;6710.29;6710.29;-6.7;29447;31130.87
28818.0;31157241522-1;drtA32;164819786_0;378490.39;3949816.09;34948594_1;379022.35;3950199.97;1158.0;30105.0;129.0;842.94;842.94;-2.59;30018;30385.89
28823.0;31131008983-1;drtA40;294012535_0;384186.72;3945824.3;41857255_0;382628.42;3947387.8;175.0;29375.0;377.0;3168.9;3168.9;-4.22;30023;30953.97
28827.0;31155033622-1;drtA32;282545130_0;378129.31;3952355.26;216480483_3;381936.82;3950315.76;367.0;30818.0;1624.0;10877.8;5860.19;-6.1;30027;31262.87
28829.0;31143046711-1;drtA39;115455924_0;380201.18;3950624.74;844489859_0_r;379988.91;3950862.18;264.0;29160.0;67.0;450.24;450.24;-2.35;30029;30220.06
28836.0;31092018151-1;drtA6;1101385037_1;383943.51;3942461.26;140349262_0_r;383601.54;3947151.99;1117.0;31139.0;1186.0;15233.61;7508.1;-7.26;30036;31608.44
29050.0;31093053471-1;drtA6;309829214_0;382326.21;3941022.21;137630421_1;383648.8;3947123.55;1204.0;31032.0;778.0;12287.86;12287.86;-10.6;30250;32453.6
29124.0;31157252751-1;drtA32;101968994_0_r;378216.24;3948935.49;144776663_0;382084.17;3950559.24;614.0;30711.0;973.0;6048.05;5487.19;-5.84;30324;31772.67
29440.0;31124051432-1;drtA38;116429820_0;378804.83;3944645.74;116432479_0;378448.29;3944945.78;244.0;29807.0;123.0;711.01;711.01;-2.5;30640;30993.13
29708.0;31143045852-1;drtA32;201705623_0_r;380528.87;3950438.07;58206779_0;379592.63;3952032.71;801.0;31234.0;725.0;6497.11;2932.19;-4.05;30908;31853.63
30016.0;31157253071-1;drtA37;44220005_3;378519.25;3948848.35;178904689_0_r;380868.32;3949108.07;330.0;30635.0;289.0;3476.55;3476.55;-4.43;31216;32108.27
30023.0;31127135422-1;drtA7;61292196_0;372724.6;3948907.05;36961480_1;372638.41;3946751.82;474.0;30944.0;447.0;3069.39;3069.39;-4.15;31223;32512.26
30050.0;32083034542-1;drtA7;109158383_2;372009.54;3948258.6;258998383_0_r;374396.62;3947806.22;135.0;31430.0;1245.0;7560.21;4338.66;-5.04;31250;32572.73
30069.0;31046012592-1;drtA31;199924336_0;385511.51;3950747.88;157660782_0_r;382184.74;3949949.16;249.0;30762.0;444.0;5182.17;5182.17;-5.63;31269;32486.92
30630.0;31123050221-1;drtA34;291824552_2;379349.24;3944836.78;776857042_0;389278.07;3952912.3;232.0;31847.0;985.0;15313.44;15313.44;-12.72;31830;34417.7
30631.0;31157185811-1;drtA28;37591392_4;374301.47;3949073.32;270493292_27;373439.52;3948239.39;306.0;31184.0;247.0;1844.07;1844.07;-3.29;31831;32549.64
30657.0;31143000091-1;drtA27;91655821_0;378244.15;3953984.36;44361577_0;380932.72;3951186.11;681.0;31993.0;655.0;6269.61;5392.84;-5.77;31857;33190.12
30935.0;31147069541-1;drtA27;168885634_0;379283.2;3951275;115461072_0;380242.94;3951220.37;818.0;31875.0;122.0;1662.47;1662.47;-3.16;32135;32493.05
31210.0;31035002051-1;drtA22;69963034_3;386470.33;3947299.32;41857248_1;382861.72;3947102.07;282.0;31904.0;412.0;6227.84;6227.84;-6.36;32410;33615.55
31824.0;31105014571-1;drtA33;116951888_0;382661.51;3944642.61;258432967_0;382024.81;3946004.32;358.0;32365.0;183.0;2020.09;2020.09;-3.41;33024;33546.46
32412.0;31144028502-1;drtA32;263009789_0_r;379450;3952304.11;215070867_0;380071.93;3948964.84;251.0;33271.0;608.0;6844.6;6844.6;-6.79;33612;35389.03
32713.0;31132017731-1;drtA22;139696824_0;383357.66;3948519.34;220547106_0;383078.5;3947726.1;245.0;33117.0;159.0;1819.04;1819.04;-3.27;33913;34405.7
34220.0;31154071291-1;drtA32;31905333_2;377793.32;3948579.19;31093674_5;377634.68;3948363.28;316.0;34739.0;203.0;1216.24;1216.24;-2.85;35420;36011.16
34240.0;31124088371-1;drtA17;282318049_0_r;380445.61;3945596.72;154321992_0_r;378684.84;3945156.62;207.0;34707.0;260.0;2056.39;2056.39;-3.44;35440;36198.33
34248.0;61344034232-1;drtA10;47362605_0;374142.14;3941883.83;400569994_0;376012.43;3943475.35;484.0;35514.0;782.0;7754.68;4540.09;-5.18;35448;36624.07
34252.0;31123028482-1;drtA12;60251604_3;377136.46;3944314.73;211402007_0;382743.73;3946723.53;292.0;35081.0;537.0;7107.62;7107.62;-6.98;35452;36987.17
34821.0;31124060812-1;drtA10;62276732_7;377416.22;3943074.92;43063458_2;376762.73;3944207.46;449.0;35795.0;525.0;4176.12;1903.32;-3.33;36021;36824.56
36043.0;31127119442-1;drtA38;116432478_4;377729.41;3944163.07;60251604_8;377210.15;3943994.81;272.0;36510.0;195.0;750.77;750.77;-2.53;37243;37578.06
36988.0;12431003711-2;drtA22;265033754_0;383300.44;3947683.34;62041909_0_r;388191.59;3958536;123.0;38189.0;1078.0;17562.18;17562.18;-14.29;38188;41332.04
37821.0;81087044691-2;drtA13;139506059_1;388213.03;3950370.37;159277089_0;382632.81;3948118.39;338.0;38647.0;488.0;7688.03;7688.03;-7.38;39021;40472.86
39621.0;31131025561-1;drtA31;39683368_1;382237.85;3949762.85;791984365_0_r;383090.51;3949065.82;107.0;39952.0;224.0;1805.12;1805.12;-3.26;40821;41465.97
39643.0;31106031003-1;drtA38;52326901_1;379367.5;3942702.83;887525827_0;382043.2;3950064.17;486.0;40879.0;750.0;10377.8;10377.8;-9.26;40843;43048.53
41417.0;31157099722-1;drtA32;35694102_0;376766.87;3948747.6;775904547_0_r;377795.5;3948002.24;279.0;41992.0;296.0;3125.48;3125.48;-4.19;42617;43489.28
41449.0;31155009781-2;drtA0;35540580_2;375335.42;3949498.18;31236459_0_r;376735.63;3948942.75;234.0;41957.0;274.0;1783.72;1783.72;-3.25;42649;43432
42326.0;31157175882-2;drtA34;77100175_0;389626.63;3952739.18;39436437_0_r;382357.34;3950634.18;142.0;43074.0;606.0;9548.39;9548.39;-8.68;43526;45252.35
42625.0;31123031422-4;drtA10;199121804_3;376579.55;3945934.47;226839738_1;377446.75;3944032.19;404.0;43321.0;292.0;2489.58;2456.13;-3.72;43825;44651.39
42632.0;31157186102-1;drtA7;104668479_0;374379.14;3948987;270493292_10;373844.75;3948405.73;202.0;43008.0;174.0;1225.62;1225.62;-2.86;43832;44322.65
43252.0;31105019571-2;drtA38;384908616_0;381664.6;3950289.77;113971673_0_r;381851.17;3944805.19;114.0;43928.0;562.0;7064.08;7064.08;-6.94;44452;46100.05
43296.0;32017092472-2;drtA21;158180857_1;387779.33;3948302.12;571867819_0;381447.42;3951015.45;401.0;44221.0;524.0;8222.42;8222.42;-7.76;44496;45983.46
43403.0;31047056611-2;drtA34;306838996_0;382522.66;3950430.17;342481197_3;388621.57;3948184.15;123.0;43985.0;459.0;7369.57;7369.57;-7.16;44603;45957.59
44429.0;32245014231-3;drtA11;39655528_4;385430.28;3950861.08;27996222_7;383224.51;3948746.46;312.0;45130.0;389.0;4440.29;4440.29;-5.11;45629;46761.02
45009.0;51092040942-2;drtA40;92712572_8;383018.45;3947171;682981121_0;388629.05;3949377.98;131.0;45561.0;421.0;7110.92;7110.58;-6.98;46209;47413.66
45024.0;31143040412-2;drtA34;41818367_3;388689.53;3950433.23;544206153_0;382405.18;3949856.8;279.0;45897.0;594.0;8329.76;8329.76;-7.83;46224;47942.64
45050.0;61357058671-2;drtA35;59624495_0;373480.69;3944085.83;1124754745_0_r;375502.17;3942001.63;293.0;45862.0;519.0;3529.75;3529.75;-4.47;46250;47776.21
46817.0;31123089261-1;drtA33;116837561_3;380447.34;3945741.37;84154030_0;382300.05;3947095.48;239.0;47255.0;199.0;2737.86;2737.86;-3.92;48017;48573.77
47100.0;31157265671-2;drtA38;46654823_0;384839.54;3942621.06;177232635_0;384595.64;3961105.13;474.0;49451.0;1877.0;27616.12;27616.12;-21.33;48300;53788.24
48654.0;31132012451-2;drtA12;231652212_3;382723.45;3947251.59;115447518_1;379465.59;3948761.44;157.0;49346.0;535.0;7664.63;7664.63;-7.37;49854;51399.96
49228.0;31131025561-3;drtA11;41857312_4;383330.92;3948963.19;39683368_1;382237.85;3949762.85;125.0;49554.0;201.0;1682.82;1682.82;-3.18;50428;51006.47
49234.0;31123098721-3;drtA28;236665697_1;373014.92;3948043.28;28571576_8;374722.15;3947049.24;168.0;49750.0;348.0;3570.07;3570.07;-4.5;50434;51445.94
50116.0;31154071371-2;drtA25;1095255428_0_r;379237.05;3951940.21;35939028_2;378042.34;3948774.99;221.0;50925.0;588.0;4551.87;4551.87;-5.19;51316;52998.4
50425.0;31163040131-2;drtA27;181774874_0;381359.19;3952582.8;213526435_1;382540.23;3947220.89;309.0;52228.0;1494.0;14839.19;7396.12;-7.18;51625;53565.66
50433.0;32227025342-2;drtA27;116825381_0;383677.47;3954898.73;251311714_4;382051.44;3950264.19;768.0;51811.0;610.0;6144.5;6276.92;-6.39;51633;53149.02
50458.0;51132016851-3;drtA27;1214088493_0;382821.34;3950573.14;375676167_0;382371.21;3946850.93;1239.0;52354.0;657.0;5680.63;4246.58;-4.97;51658;52897.94
51627.0;31046022021-3;drtA4;39445419_2;383157.54;3950282.82;47216158_0;373360.77;3948041.45;109.0;52650.0;914.0;11452.78;11452.78;-10.02;52827;55305.21
52226.0;31056020551-2;drtA40;97671350_0;389146.72;3948782.73;62041909_0_r;388191.59;3958536;192.0;53186.0;768.0;11738.26;11738.26;-10.22;53426;55639.34
52291.0;31157242721-2;drtA7;146708668_0_r;374185.8;3950717.07;310514323_1;375102.85;3948829.64;626.0;53257.0;340.0;3018.49;3018.49;-4.11;53491;54531.04
53540.0;91523004832-4;drtA8;138670845_1;382427.75;3948892.34;393957069_1;382261.58;3950365.17;292.0;54307.0;475.0;2281.17;2281.17;-3.6;54740;55484.69
54026.0;31155064621-4;drtA37;213259642_0;380349.68;3948972.53;107746652_0;378948.36;3948979.99;133.0;54363.0;204.0;1775.09;1775.09;-3.24;55226;55768.03
54028.0;31131020141-2;drtA36;169800603_1;385429.84;3948734.32;203035387_0;388374.38;3949967.18;285.0;54618.0;305.0;4821.65;4821.65;-5.38;55228;56112.84
54035.0;31131023601-2;drtA20;53154970_2;382564.88;3949921.07;164415826_0_r;383732.55;3946201.87;118.0;54696.0;543.0;4859.38;4859.38;-5.4;55235;56821.03
55840.0;31127125042-3;drtA27;375676167_0;382371.21;3946850.93;1137853476_0_r;376754.29;3942364.29;61.0;56658.0;757.0;8746.92;8746.92;-8.12;57040;58811.96
57613.0;31127131072-1;drtA19;32490965_1;378806.67;3946976.53;31722710_3;379378.89;3947353.46;162.0;57906.0;131.0;916.39;916.39;-2.64;58813;59185.3
57615.0;31154066091-3;drtA39;101852622_0_r;377984.01;3950478.25;46706978_0;378071.89;3949658.11;341.0;58154.0;198.0;1128.16;1128.16;-2.79;58815;59387.68
59000.0;31124017991-2;drtA5;109158383_2;372009.54;3948258.6;116607644_0;372714.37;3948105.65;319.0;59510.0;191.0;1231.01;1231.01;-2.86;60200;60756.35
59429.0;31123067082-2;drtA28;146688230_1;374642.84;3946400.56;46966890_0_r;372857.63;3945692.64;156.0;60117.0;532.0;2638.24;2638.24;-3.85;60629;61791.43
59454.0;31124070512-3;drtA36;147801989_0;388058.41;3949106.36;134557905_0;374595.89;3945868.74;160.0;63137.0;3523.0;35514.92;17868.21;-14.51;60654;64015.06
59459.0;31157223363-2;drtA39;41252656_2;378485.09;3950139.56;493371705_0;373747.28;3952857.58;219.0;60151.0;473.0;6282.12;6282.12;-6.4;60659;62011.64
59469.0;31117093921-2;drtA36;680782197_1;389411.73;3947753.55;41857130_2;383163.12;3947828.9;441.0;60466.0;556.0;8157.07;8157.07;-7.71;60669;62305.66
60068.0;32012078691-2;drtA9;220557004_0;384063.95;3952422.46;1214088493_0;382821.34;3950573.14;386.0;60770.0;316.0;3372.17;3372.17;-4.36;61268;62178.65
60317.0;31127126712-3;drtA36;282460767_0_r;382575.61;3945924.26;42940740_0;375930.26;3942508.55;579.0;62449.0;1553.0;16657.16;8488.09;-7.94;61517;63338.65
60384.0;31155055621-2;drtA0;36722844_0_r;377299.05;3949686.18;107176032_0_r;375968.42;3952093.77;238.0;61065.0;443.0;3682.34;3682.34;-4.58;61584;62876.79
60620.0;31124101954-4;drtA28;116610973_0_r;374027.03;3946092.45;182451486_0_r;373455.84;3947911.44;378.0;61379.0;381.0;2371.25;2371.25;-3.66;61820;62929.39
60670.0;31124070413-2;drtA36;113979302_1;382321.01;3941222.86;35584367_0;374564.37;3945675.52;976.0;62890.0;1244.0;13343.7;12458.28;-10.72;61870;64927.79
61220.0;31157239642-1;drtA37;34948237_0;378488.54;3949241.19;107699627_0_r;378548.99;3949156.06;200.0;61434.0;14.0;119.61;119.61;-2.35;62420;62459.23
61229.0;31147080312-2;drtA14;39433566_0_r;382137.17;3950354.84;115455917_2;379797.27;3950353.53;112.0;61653.0;312.0;2950.31;2950.31;-4.07;62429;63375.91
61285.0;31144006262-2;drtA3;154491418_0_r;379866.89;3945951.21;49261561_0;379855.08;3946390.02;321.0;61697.0;91.0;533.41;533.41;-2.37;62485;62749.34
61852.0;32212008901-2;drtA30;45766794_0;381827.98;3950220.79;213722090_3;387326.07;3951978.19;114.0;62463.0;497.0;6990.72;6990.72;-6.89;63052;64412.78
62439.0;31157120361-2;drtA30;97671467_0;389583.22;3949226.43;1107313316_0;381258.91;3950338.12;458.0;63688.0;791.0;9846.29;9846.29;-8.89;63639;65454.34
62598.0;31123065503-3;drtA16;40087785_0;373212.04;3945000.07;32878429_0;373478.33;3944831.75;353.0;63016.0;65.0;455.75;455.75;-2.35;63798;63985.66
62721.0;32094001491-5;drtA9;93325452_0;387389.2;3950734.54;170810820_0;389032.37;3954442.91;390.0;63563.0;452.0;6517.09;6517.09;-6.56;63921;65261.07
63036.0;31047059191-5;drtA8;393957069_1;382261.58;3950365.17;39655791_0_r;385498.14;3951237.57;61.0;63509.0;412.0;5560.79;5560.79;-5.89;64236;65440.42
63092.0;31157258502-3;drtA5;951613645_0;372588.34;3947818.31;164918905_5;377354.91;3948825.59;131.0;63856.0;633.0;6042.04;6042.04;-6.23;64292;66161.14
