vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;57188.86;43292.5;13896.36;43292.5
drtA27;45421.93;30670.11;14751.82;43615.84
drtA2;59605.05;53235.95;6369.1;69531.92
drtA28;21045.27;13225.91;7819.37;13225.91
drtA29;5124.16;4027.8;1096.36;4027.8
drtA0;22440.34;15782.44;6657.9;15782.44
drtA9;32173.03;20477.52;11695.51;20477.52
drtA7;35895.59;26000.88;9894.71;29070.27
drtA8;50257.24;37032.51;13224.72;37032.51
drtA5;9519.14;7273.05;2246.09;7273.05
drtA6;117025.49;88441.21;28584.28;216348.9
drtA3;38522.45;30405.7;8116.74;38448.26
drtA4;11770.9;11452.78;318.12;11452.78
drtA30;63981.37;56737.69;7243.68;75663.19
drtA31;40917.74;32870.47;8047.27;35637.35
drtA10;65730.03;53429.04;12300.99;72796.58
drtA32;34422.29;25891.32;8530.97;35452.23
drtA11;42274.9;31940.58;10334.32;41860.25
drtA33;27533.25;21281.82;6251.43;21281.82
drtA12;40253.46;30824.84;9428.62;30824.84
drtA34;65476.3;54408.69;11067.61;54408.69
drtA13;47330.66;39334.84;7995.81;51619.44
drtA35;43716.38;38739.93;4976.45;69574.56
drtA14;7630.12;6135.32;1494.8;6135.32
drtA36;43760.75;40336.57;3424.18;78494.51
drtA15;5382.57;4899.69;482.87;4899.69
drtA37;27057.92;16395.55;10662.37;16395.55
drtA16;3656.94;710.54;2946.4;710.54
drtA38;76376.14;59243.25;17132.89;59243.25
drtA17;12369.16;9045.41;3323.75;9045.41
drtA39;13413.25;7860.52;5552.73;7860.52
drtA18;16411.38;12600.6;3810.78;12600.6
drtA19;16642.78;12693.96;3948.82;12693.96
drtA40;36842.87;32338.69;4504.18;32338.69
drtA41;8384.83;5712.82;2672.01;5712.82
drtA20;27983.33;25677.59;2305.74;26191.61
drtA42;26008.75;24549.17;1459.59;64783.51
drtA21;53234.2;36674.82;16559.39;37811.1
drtA22;30761.89;25609.06;5152.83;25609.06
drtA23;1715.92;1014.76;701.16;1014.76
drtA24;16409.41;13860.27;2549.14;22861.89
drtA25;23993.62;18193.18;5800.44;22633.88
