vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;68625.96;35140.92;33485.04;36902.13
drtB15;66242.75;45233.72;21009.03;45233.72
drtB3;48272.78;15626.28;32646.5;15626.28
drtB16;124509.21;67300.72;57208.49;68317.67
drtB0;154643.32;63365.57;91277.76;63365.57
drtB1;87693.76;58394.14;29299.62;58394.14
drtB8;78071.89;63115.5;14956.4;87942.69
drtB9;112123.61;92504.11;19619.5;102393.98
drtB6;30582.99;10783.13;19799.86;10783.13
drtB7;34932.77;31420.94;3511.84;42736.43
drtB4;31536.77;15955.63;15581.13;17498.42
drtB5;43205.17;38375.55;4829.62;38375.55
drtB10;109161.08;76409.81;32751.27;107720.41
drtB11;163426.7;148633.64;14793.07;226153.98
drtB12;68667.33;52350.77;16316.56;181600.45
drtB13;137970.13;57082.6;80887.53;61018.32
drtB14;63694.52;49831.67;13862.85;51220.95
