runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;136;379.13;654;593.3;504.75;408;97.06;100;1514.22;19869.14;13444.98;1893.35;11.41;23;0.14
NA;2;173;392.25;722;600.5;517;417;95.38;100;1814.09;23434.43;13632.47;2206.34;11.54;109;0.39
NA;3;150;373.71;659;601.8;529;379.5;94;100;1666.7;22399.82;13788.07;2040.41;11.65;237;0.61
NA;4;157;383.14;758;643.7;501;385;91.08;100;1531.43;20220.98;12016.72;1914.57;10.41;295;0.65
NA;5;180;392.61;1128;636.55;513.75;394.5;92.78;98.89;1709.19;21783.96;12047.37;2101.79;10.43;330;0.65
NA;6;179;392.9;923;603;526;411;92.18;99.44;1583.76;19830.56;11568.77;1976.66;10.1;370;0.67
NA;7;198;391.91;779;603.3;528.5;411.5;93.94;100;1557.54;19536.55;11682.21;1949.45;10.18;410;0.67
NA;8;186;375.23;1035;604.55;522;369.5;94.09;99.46;1567.05;19620.56;11904.35;1942.28;10.33;450;0.71
NA;9;197;377.78;745;617.2;513.5;376;92.89;100;1504.9;18449.11;11070.9;1882.69;9.75;461;0.7
NA;10;203;404.95;1513;608;533;421;92.12;99.51;1500.09;18128.31;11266.61;1905.03;9.89;476;0.7
NA;11;192;374.12;685;596.05;514.5;382.5;95.83;100;1459.16;18177.81;11237.76;1833.28;9.87;491;0.72
NA;12;229;396.97;719;608;532;408;93.89;100;1637.83;20480.79;11555.56;2034.79;10.09;477;0.67
NA;13;201;388.03;775;616.9;532.5;409;90.55;100;1629.86;20350.81;11526.77;2017.89;10.07;522;0.72
NA;14;193;407.34;775;619.4;536.5;425;92.23;100;1635.52;20907.18;11928.99;2042.86;10.35;528;0.73
NA;15;205;406.56;792;618.4;538;425;89.27;100;1625.71;20641.69;11903.4;2032.26;10.33;520;0.72
NA;16;221;417.43;680;619.7;549;425;90.5;100;1727.34;22277.5;11965.36;2144.77;10.38;506;0.7
NA;17;211;402.63;739;613.8;543;401;90.52;100;1571.24;19956.38;11739.52;1973.86;10.22;514;0.71
NA;18;227;417.15;816;621;550;430;90.31;100;1756.11;22245.31;11982.99;2173.27;10.39;498;0.69
NA;19;253;417.89;791;629.9;552;438;91.3;100;1852.08;23045.73;12140.78;2269.96;10.5;472;0.65
NA;20;210;407.06;725;610.8;529;424;93.81;100;1660.25;20549.43;11954.82;2067.31;10.37;522;0.71
