runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;7;400.71;572;572;456;439;100;100;200.71;1227.35;1227.35;601.43;2.91;4;0.36
NA;2;13;355.85;609;609;457.5;390;92.31;100;218.92;1463.7;1463.7;574.77;3.04;8;0.38
NA;3;15;347.2;609;609;475;338;93.33;100;259.87;1917.52;1917.52;607.07;3.36;10;0.4
NA;4;24;426.08;609;602.25;500;447.5;95.83;100;229.54;1561.54;1561.54;655.62;3.12;17;0.41
NA;5;23;380.39;581;576.4;493;396;100;100;358.78;2556.25;2556.25;739.17;3.81;17;0.42
NA;6;30;407.43;743;656.65;525.75;417.5;96.67;100;311.77;2094.06;1785.94;719.2;3.27;15;0.33
NA;7;26;389.46;644;623.35;525.75;379.5;96.15;100;277.27;1802.23;1455.16;666.73;3.04;21;0.45
NA;8;29;428.07;572;570;510;440;100;100;249.52;1425.23;1425.23;677.59;3.02;20;0.41
NA;9;31;414.13;677;635.6;484;394;93.55;100;237.06;1488.69;1488.69;651.19;3.05;24;0.44
NA;10;40;381.3;643;604.95;482;403.5;95;100;244.55;1610.19;1610.19;625.85;3.14;25;0.38
NA;11;36;406.69;757;666.9;517.5;416.5;86.11;100;225.36;1424.72;1424.72;632.06;3.01;27;0.43
NA;12;37;429.54;757;756.1;515;445;89.19;100;226.46;1533.66;1533.66;656;3.08;28;0.43
NA;13;41;429.88;621;572.8;537;450;97.56;100;295.2;2001.22;1643.28;725.07;3.16;31;0.43
NA;14;39;430.21;869;667;517;445;92.31;100;347.23;2371.27;2169.49;777.44;3.53;33;0.46
NA;15;44;457.32;741;651.25;546;451;90.91;100;267.23;2009.73;2007.08;724.55;3.41;32;0.42
NA;16;41;419.05;779;608.7;516.5;413;92.68;100;276.71;1986.73;1983.6;695.76;3.39;39;0.49
NA;17;37;412;859;622.3;503.5;413;97.3;100;284.73;2094.13;2091.84;696.73;3.47;33;0.47
NA;18;32;429.84;859;782.3;518.25;412.5;90.62;100;273.91;1908.67;1736.01;703.75;3.22;35;0.52
NA;19;38;416.61;668;625.25;524.75;444;94.74;100;254;1839.9;1603.39;670.61;3.13;32;0.46
NA;20;31;451.77;664;656.8;558;472;90.32;100;241.06;1621.59;1621.59;692.84;3.14;29;0.48
