runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;209;209;209;209;209;100;100;906;9638.04;9638.04;1115;8.75;2;0.67
NA;2;2;388;578;578;578;388;100;100;687;7628.78;7628.78;1075;7.34;5;0.71
NA;3;6;469.33;585;585;553.5;496.5;100;100;431.67;3960.56;3960.56;901;4.77;4;0.4
NA;4;9;510.22;585;585;570.5;510;100;100;514;5133.54;5133.54;1024.22;5.59;9;0.5
NA;5;13;453.77;585;585;547.5;482;100;100;461.38;4485.63;4485.63;915.15;5.14;12;0.48
NA;6;19;450.21;585;585;545;482;100;100;465.37;4273.53;4273.53;915.58;4.99;13;0.41
NA;7;17;412.82;585;585;541;416;100;100;441.94;4351.62;4346.54;854.76;5.04;13;0.43
NA;8;17;451.35;638;638;582;477;94.12;100;496;4665.51;4660.43;947.35;5.26;12;0.41
NA;9;18;492.94;1116;1116;551;512.5;94.44;94.44;534.67;5125.89;5121.1;1027.61;5.58;14;0.44
NA;10;21;468.38;664;657.8;583;525;90.48;100;492.1;4933.33;4933.33;960.48;5.46;14;0.4
NA;11;20;437.6;664;660.9;576.25;505.5;90;100;425.3;4018.89;4018.89;862.9;4.82;17;0.46
NA;12;21;416.62;711;698.4;528;451;95.24;100;458.9;4296.27;3966.47;875.52;4.79;18;0.46
NA;13;19;429.53;822;822;485;427;89.47;100;438.95;4340.39;4055.74;868.47;4.85;20;0.51
NA;14;19;474.42;829;829;598;468;84.21;100;369.47;3550.38;3550.38;843.89;4.5;19;0.5
NA;15;24;403.42;615;611;570;391.5;95.83;100;417.17;3959.5;3697;820.58;4.6;17;0.41
NA;16;20;424.6;911;896.75;510.25;419.5;90;95;534.85;4833.75;3915.06;959.45;4.75;20;0.5
NA;17;15;448.93;911;911;570;429;86.67;93.33;714.07;6464.97;4704.16;1163;5.3;21;0.58
NA;18;20;440.5;872;862.8;524.5;406.5;85;100;575.75;5195.85;4442.36;1016.25;5.12;18;0.47
NA;19;16;410.38;585;585;520;422.5;100;100;485.31;3987.7;3863.04;895.69;4.72;12;0.43
NA;20;18;384.28;597;597;513.25;348;100;100;530.33;4871.25;4368.25;914.61;5.07;12;0.4
