departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;359.0;1828.0;540.0;8648.12;8648.12;-8.05;1529;3689.51
932.0;61311006663-5;drtA31;39436622_2;382573.04;3950372.43;1130865165_0;382706.28;3933100.91;118.0;2335.0;1285.0;23336.82;23336.82;-18.34;1532;5942.58
1258.0;31157183131-2;drtA9;196467159_4;382581.54;3950984.12;185100272_0_r;374354.33;3948243.92;146.0;2104.0;700.0;10052.15;10052.15;-9.04;1858;4469.86
1826.0;31157185231-3;drtA12;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;145.0;2753.0;782.0;12343.84;12343.84;-10.64;2426;5354.83
2461.0;31123036721-2;drtA35;286703474_1;388207.77;3949326.38;60351908_3;377284.26;3944145.31;282.0;3994.0;1251.0;14851.19;13709.65;-11.6;3061;6202.86
3032.0;31124023311-6;drtA35;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;223.0;3723.0;468.0;6601.88;6601.88;-6.62;3632;5628.65
3626.0;31192040801-6;drtA30;39393255_0;381281.3;3950240.99;34285850_0;375273.99;3954477;162.0;5048.0;1260.0;10616.34;10616.34;-9.43;4226;8508.98
3660.0;31127130081-3;drtA37;931455736_1;382544.55;3947057.84;318031651_0_r;380089.27;3946595.34;205.0;4218.0;353.0;3793.73;3793.73;-4.66;4260;5874.18
4618.0;31123037701-7;drtA38;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;388.0;6039.0;1033.0;13218.5;11374.51;-9.96;5218;7814.57
5132.0;31124015231-4;drtA38;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;226.0;6703.0;1345.0;16713.05;15756.54;-13.03;5732;9678.68
