departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
3195.0;32043031771-2;drtB1;158059312_3;381104.48;3945929.58;248599830_0_r;369943.19;3949341.22;229.0;4928.0;1504.0;15369.37;16697.9;-13.69;3795;7914.91
3495.0;32144006671-2;drtB1;115447369_0_r;380134.46;3948024.44;172646718_0;361446.97;3950398.98;361.0;5686.0;1830.0;22268.03;21681.45;-17.18;4095;9199.4
9083.0;91536012381-3;drtB10;390951625_4;381151.24;3945827.8;59610384_4;357321.59;3932130.47;280.0;12047.0;2684.0;32402.84;32377.4;-24.66;9683;18178.89
25574.0;32012027771-1;drtB14;115447369_0_r;380134.46;3948024.44;41569510_0;349869.46;3942717.8;448.0;29834.0;3812.0;48306.5;48281.06;-35.8;26174;37668.25
27926.0;32094052833-1;drtB13;1209644394_0;357976.99;3936145.17;142378179_11;358283.79;3936676.67;366.0;28636.0;344.0;1119.29;1119.29;-2.78;28526;29706.6
28075.0;91526007051-1;drtB12;115447369_0_r;380134.46;3948024.44;552873892_0;355664.17;3936013.36;653.0;31927.0;3199.0;39265.47;38120.63;-28.68;28675;37832.2
29066.0;91535013551-1;drtB7;206229917_0_r;356347.71;3933354.3;1064243965_1;357855.12;3933299.27;388.0;29812.0;358.0;2078.29;1954.25;-3.37;29666;31259.99
30632.0;32087035563-1;drtB3;1147295002_0_r;369821.2;3946238.74;27696529_0;371164.62;3946820.38;466.0;31692.0;594.0;3702.13;1625.66;-3.14;31232;32559.48
30965.0;32083003583-1;drtB3;37228680_1;369120.79;3946417.53;28571672_0_r;369686.96;3946466.73;338.0;31386.0;83.0;711.97;711.97;-2.5;31565;32404
31224.0;91533020441-1;drtB12;131924837_1;358905.3;3933216.8;1182828131_0_r;358206.83;3934008.13;210.0;31607.0;173.0;1630.4;1630.4;-3.14;31824;32933.31
31355.0;42132022441-1;drtB10;26300784_0;359040.44;3930597.41;199581523_3;358531.77;3930553.63;583.0;32042.0;104.0;611.32;611.32;-2.43;31955;32854.52
33010.0;32093001221-1;drtB13;448830437_0_r;358263.12;3935957.56;131202624_0;359094.48;3935035.15;323.0;33568.0;235.0;1461.63;1461.63;-3.02;33610;34917.3
34210.0;31127117341-1;drtB3;37813364_1;372509.53;3947473.57;277209472_5;372515.29;3947846.28;322.0;34619.0;87.0;562.86;562.86;-2.39;34810;35655.63
36016.0;61373030151-2;drtB15;227388619_0_r;372485.52;3941860.49;255613113_0_r;370652.17;3941868.57;497.0;36823.0;310.0;1882.51;1882.51;-3.32;36616;38131.8
36020.0;31124005952-1;drtB8;1137848434_0_r;374307.08;3943517.84;260891418_1;373731.58;3944184.58;506.0;36720.0;194.0;1398.92;1398.92;-2.98;36620;37785.93
36021.0;32197012681-1;drtB11;204002832_2;371496.11;3944754.31;360372742_2;371171.78;3944040.39;169.0;36428.0;238.0;908.72;908.72;-2.64;36621;37642.41
36023.0;61353035261-1;drtB4;577456455_0_r;367977.8;3944171.74;147400898_0_r;367353.66;3944321.8;577.0;36736.0;136.0;814.65;814.65;-2.57;36623;37625.58
36506.0;12403005881-2;drtB2;158059312_3;381104.48;3945929.58;252398991_0_r;345131.73;3942412.51;388.0;40649.0;3755.0;48007.79;48007.79;-35.61;37106;48808.76
38127.0;31123030341-1;drtB5;454668350_0_r;377612.67;3945995.66;1090503592_0;378132.69;3945709.94;179.0;38455.0;149.0;951.81;951.81;-2.67;38727;39758.08
39606.0;32094033152-1;drtB13;222367861_0_r;360944.95;3934552.38;222840256_0;361378.38;3933493.93;556.0;40395.0;233.0;1670.71;1670.71;-3.17;40206;41479.01
39611.0;32093012223-3;drtB13;1111103321_0;359545.65;3934748;211097494_1;359453.16;3934728.08;181.0;40874.0;1082.0;6540.59;250.99;-2.35;40211;40936.9
39618.0;31123014442-1;drtB8;115256957_0_r;374445.32;3944966.1;60902860_0;374047.47;3945122.77;249.0;39952.0;85.0;560.49;560.49;-2.39;40218;41064.58
39646.0;31157118431-2;drtB6;28571576_8;374722.15;3947049.24;187409683_0;376617.15;3947601.35;177.0;40208.0;385.0;2391.52;2391.52;-3.67;40246;41973.03
41418.0;61354037231-3;drtB4;168147996_1;367241.14;3944895.59;738514646_0;367042.87;3944340.81;186.0;42735.0;1131.0;7671.73;965.07;-2.68;42018;43108.71
41720.0;32254007562-2;drtB4;1115782675_0;364341.62;3944618.02;247571911_0;364352.44;3944565.13;433.0;42199.0;46.0;84.88;84.88;-2.35;42320;42966.15
44001.0;32054016741-1;drtB1;172641058_1;360605.48;3950242.55;750630133_0;379144.32;3948073.93;483.0;46076.0;1592.0;21818.91;21818.91;-17.27;44601;49824.56
45040.0;42132024262-1;drtB10;26300780_0_r;359067.79;3930834.1;26300784_0;359040.44;3930597.41;189.0;45307.0;78.0;528.28;528.28;-2.37;45640;46471.26
45521.0;42141004143-2;drtB16;158059312_3;381104.48;3945929.58;195248019_1;352992.91;3928533.84;518.0;52216.0;6177.0;56264.12;37847.77;-28.49;46121;55122.68
45523.0;42163010744-2;drtB16;390951625_4;381151.24;3945827.8;314968613_0;357394.89;3930773.08;632.0;51283.0;5128.0;50257.62;32296.76;-24.61;46123;54557.5
46231.0;32097084721-3;drtB16;115447369_0_r;380134.46;3948024.44;251721305_0;355268.7;3938960.84;465.0;49800.0;3104.0;33559.7;33518.39;-25.46;46831;56153.76
46851.0;32097067922-2;drtB13;449386749_0;359989.25;3934412.43;131174273_0;360476.12;3934317.1;184.0;47159.0;124.0;722.1;722.1;-2.51;47451;48405.32
47675.0;32061001931-2;drtB1;115447369_0_r;380134.46;3948024.44;172815348_0;365020.76;3946965.27;167.0;50531.0;2689.0;30257.55;16655.1;-13.66;48275;52321.99
