departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25235.0;42125008621-1;drtC1;24877397_21;351912.47;3925603.09;658711879_0;351032.7;3923558.68;504.0;26322.0;583.0;3458.48;3458.48;-4.42;25835;27736.61
27017.0;42147013761-1;drtC4;112757233_6;345001.59;3919094.96;112757211_9;344886.07;3918862.39;562.0;27634.0;55.0;423.01;423.01;-2.35;27617;28377.93
27033.0;32097072743-1;drtC2;144486666_1;359636.16;3933645.69;59919273_6;359852.17;3934647.78;305.0;27544.0;206.0;1352.82;1352.82;-2.95;27633;28825.06
27626.0;91533018961-1;drtC6;760649918_0_r;357081.48;3933892.61;167814712_0;358211.65;3933366.68;396.0;28260.0;238.0;1500.52;1500.52;-3.05;28226;29512.69
27642.0;42157019823-1;drtC5;943942538_2;352231.63;3920271.45;112266761_0;352982.46;3919634.91;377.0;28241.0;222.0;1563.08;1563.08;-3.09;28242;29492.75
27938.0;42142004674-1;drtC3;130539547_0;348546.43;3920499.04;166128808_0;348069.1;3919898.74;202.0;28294.0;154.0;923.83;923.83;-2.65;28538;29588.3
28235.0;91534016872-1;drtC6;32260341_2;357583.67;3931700.98;165545507_0_r;357863.22;3931421.74;623.0;28983.0;125.0;754.32;754.32;-2.53;28835;29805.61
28546.0;42124009113-1;drtC1;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;304.0;29394.0;544.0;2915.46;2915.46;-4.04;29146;30813.31
30014.0;42154001964-1;drtC0;365834955_0;355486.13;3922542.39;220018467_0;353689.72;3923231.49;577.0;30983.0;392.0;2561.78;2561.78;-3.79;30614;32334.52
30049.0;42157018141-1;drtC1;568617887_0;354688.36;3925523.98;165141709_2;354819.22;3924658.73;571.0;30832.0;212.0;1112.83;1112.83;-2.78;30649;31779.13
39633.0;42167018831-1;drtC6;636657118_0_r;355958.28;3930413.81;598658745_3;356166.34;3929856.4;428.0;40213.0;152.0;888.57;888.57;-2.62;40233;41277.7
41412.0;32097058741-1;drtC2;142435362_0_r;359234.61;3936096.64;929915352_0_r;358289.45;3935658.01;652.0;42260.0;196.0;1445.42;1445.42;-3.01;42012;43171.79
42921.0;91534021281-3;drtC2;152610449_4;356240.02;3935287.6;152610395_0;355654.81;3935365.57;522.0;43575.0;132.0;994.52;994.52;-2.7;43521;44500.82
43592.0;42125022821-2;drtC0;697066505_0;351343.44;3923398.37;34916619_1;351240.82;3923299.28;545.0;44224.0;87.0;511.96;511.96;-2.36;44192;45049.4
43859.0;42133040821-2;drtC6;760437458_1;357957.41;3929064.7;148965477_10_r;358285.58;3927877.36;439.0;44525.0;227.0;1673.59;1673.59;-3.17;44459;45700.49
44412.0;32094055331-1;drtC2;86322983_1;357201.24;3936734.38;929915352_0_r;358289.45;3935658.01;536.0;45268.0;320.0;1872.07;1872.07;-3.31;45012;46547.58
46814.0;42154007282-1;drtC6;313114264_0;355924.59;3926474.59;188014049_2;355871.27;3925004.49;363.0;47475.0;298.0;2227.22;2227.22;-3.56;47414;48881.73
46830.0;91531008271-1;drtC2;707117825_0;358138.12;3933568.03;1188545319_0;356633;3935546.19;560.0;47628.0;238.0;2853.23;2853.23;-4;47430;48726.83
47736.0;42182003361-1;drtC6;313265491_0;356716.11;3925589.26;201695022_0;355994.33;3925623.49;273.0;48199.0;190.0;1188.42;1188.42;-2.83;48336;49487.99
51320.0;42124028132-3;drtC0;312072230_0;350575.46;3924345.65;194938560_3;349558.43;3924555.02;430.0;51935.0;185.0;1333.18;1333.18;-2.93;51920;53061.42
55858.0;42164016334-2;drtC1;116478306_0;354640.64;3927205.98;105146020_0_r;355895.13;3927711.66;664.0;56788.0;266.0;1933.47;1933.47;-3.35;56458;57834.2
57707.0;42142011891-2;drtC0;165912119_0;349746.47;3922320.09;166251077_0_r;349487.33;3919727.48;472.0;58710.0;531.0;4197.71;4197.71;-4.94;58307;60493.85
58216.0;91536013633-2;drtC2;248027136_0;358784;3931962.89;29422254_0_r;358479.79;3931904.81;519.0;58852.0;117.0;717.11;717.11;-2.5;58816;59761.88
59475.0;42163012123-2;drtC1;313265399_0;356744.31;3926848.16;149698067_10;357324.66;3926928.41;321.0;59898.0;102.0;704;704;-2.49;60075;60972.81
60084.0;91536017733-2;drtC2;150719242_0_r;357460.89;3933749.81;446436237_0;355268.25;3936249.34;461.0;61001.0;456.0;3942.4;3942.4;-4.76;60684;62245.35
61243.0;91535013702-2;drtC2;80260925_0;356648.41;3936548.94;544685384_0_r;356206.85;3934887.59;558.0;62107.0;306.0;2090.1;2090.1;-3.46;61843;63343.74
66699.0;91536012482-2;drtC1;149685621_2;357204.94;3929546.38;166855088_1;356433.44;3931146.85;505.0;67548.0;344.0;2226.56;2226.56;-3.56;67299;68903.79
68619.0;91532014482-2;drtC1;49776539_8;355986.69;3931176.7;49772893_0;355489.75;3931521.22;171.0;68920.0;130.0;769.28;769.28;-2.54;69219;70195.13
69629.0;91534016922-1;drtC2;1209758737_0_r;358930.04;3932236.49;27776614_1;359482.81;3931617.94;534.0;70351.0;188.0;1065.46;1065.46;-2.75;70229;71357.79
73832.0;91536017473-4;drtC2;1133937495_1;358276.64;3933426.67;254778848_2;358622.35;3933670.66;329.0;74231.0;70.0;423.61;423.61;-2.35;74432;75239.79
81350.0;32094010751-4;drtC2;25513243_2;359473.02;3934169.18;222985179_2;359768.97;3934032.5;302.0;81859.0;207.0;645.24;645.24;-2.45;81950;82840.56
