vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;29928.28;26112.87;3815.42;43519.82
drtA27;76972.37;68056.88;8915.49;126078.34
drtA2;47074.81;32867.78;14207.04;52717.41
drtA28;3689.91;701.78;2988.13;701.78
drtA29;66174.55;55636.75;10537.81;65682.56
drtA0;133202.68;125476.65;7726.03;290690.75
drtA9;191382.31;181004.64;10377.67;321941.35
drtA7;0;0;0;0
drtA8;18942.59;17602.06;1340.53;17602.06
drtA5;0;0;0;0
drtA6;166180.54;146501.59;19678.95;234690.74
drtA3;44208.95;39086.11;5122.83;46407.65
drtA4;92018.77;77621.23;14397.54;125199.18
drtA30;11808.67;10616.34;1192.33;10616.34
drtA31;63697.35;58029.47;5667.88;58029.47
drtA10;37614.27;26072.36;11541.91;30318.95
drtA32;84168.66;77082.5;7086.16;179390.78
drtA11;30272.61;23527.41;6745.2;23527.41
drtA33;32702.63;21669.53;11033.1;21669.53
drtA12;149729.99;132559.77;17170.23;302710.35
drtA34;26364.76;23078.66;3286.11;38710.76
drtA13;104938.58;91038.54;13900.03;215221.09
drtA35;96742;79360.79;17381.21;127523.29
drtA14;42806.94;37555.84;5251.1;37555.84
drtA36;270157.13;232471.85;37685.28;446842.88
drtA15;42512.43;36344.91;6167.52;44953.57
drtA37;185917.11;164392.21;21524.9;317897.38
drtA16;0;0;0;0
drtA38;32783.97;23821.67;8962.3;33116.49
drtA17;21456.95;17667.04;3789.92;21932.13
drtA39;87883.58;73778.23;14105.36;129588.4
drtA18;95375.18;72476.01;22899.17;116050.38
drtA19;0;0;0;0
drtA40;124219.17;109326.57;14892.6;213088.98
drtA41;163668.59;144343.02;19325.56;281608.86
drtA20;34722.35;32088.67;2633.68;36994.7
drtA42;30213.49;22769.94;7443.55;22769.94
drtA21;37490.34;24363.2;13127.14;24363.2
drtA22;43012.99;34970.14;8042.85;34970.14
drtA23;56926.48;48695.56;8230.92;67073.89
drtA24;55552.43;45468.54;10083.89;109542.98
drtA25;35466.64;27808.2;7658.43;44080.02
