vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;74009.62;68367.34;5642.28;68367.34
drtB15;13258.55;6460;6798.55;6460
drtB3;20411.31;7821.45;12589.86;8533.42
drtB16;61623.24;56264.12;5359.12;140081.44
drtB0;0;0;0;0
drtB1;88008.24;78136.64;9871.61;107399.52
drtB8;18797.64;5531.61;13266.03;5531.61
drtB9;4959.54;3244.11;1715.43;3244.11
drtB6;49973.44;43844.37;6129.07;60377.49
drtB7;7189.29;2757.61;4431.68;2757.61
drtB4;13050.3;9011.52;4038.78;9096.4
drtB5;27103.58;18262.12;8841.47;18262.12
drtB10;45436.99;35373.9;10063.1;35373.9
drtB11;1530.8;908.72;622.07;908.72
drtB12;44445.89;39265.47;5180.42;40895.87
drtB13;28375.25;14865.07;13510.18;16535.78
drtB14;51290.53;48306.5;2984.02;48306.5
