runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;20;375.55;566;563;449.75;395.5;100;100;727.15;7681.87;7679.54;1102.7;7.38;16;0.44
NA;2;36;364.58;767;583.4;417.25;369;97.22;100;764.5;7131.64;6991.33;1129.08;6.9;14;0.28
NA;3;46;340.09;574;531.15;411.75;356;100;100;907.17;9026.11;8691.34;1247.26;8.09;26;0.36
NA;4;58;362.72;590;574.6;472.75;366.5;100;100;841.59;8544.2;8296.79;1204.31;7.81;31;0.35
NA;5;69;398.58;599;587.5;519.5;405;100;100;874.71;8669.33;8052.48;1273.29;7.64;30;0.3
NA;6;69;376.87;678;594;483;374;97.1;100;828.12;8175.8;7656.45;1204.99;7.37;47;0.41
NA;7;77;377.99;689;595.6;485;373;96.1;100;873.88;8759.34;7820.56;1251.87;7.48;47;0.38
NA;8;93;406.03;648;602.5;515.5;412;94.62;100;817.63;7798.1;6642.05;1223.67;6.66;47;0.34
NA;9;95;373.6;742;599.6;510;378;95.79;100;763.8;7219.21;6641.12;1137.4;6.66;54;0.36
NA;10;97;400.1;746;670;505.5;407;90.72;100;803.77;7689.73;7067.3;1203.88;6.96;59;0.38
NA;11;91;390.58;746;597;495;395;95.6;100;804.86;7931.45;6573.94;1195.44;6.61;59;0.39
NA;12;92;374.14;799;583.4;495;366.5;96.74;100;937.78;9333.76;8554.22;1311.92;8;69;0.43
NA;13;114;399.47;692;587.5;516;419;96.49;100;783.11;7750.76;7288.14;1182.58;7.11;55;0.33
NA;14;108;411.42;835;648.05;517.5;415;94.44;100;724.69;7116.01;6380.11;1136.11;6.48;72;0.4
NA;15;102;412.81;690;613.35;521.5;429.5;94.12;100;678.33;6474.67;5976.96;1091.15;6.2;76;0.43
NA;16;116;408.05;731;622.35;524.75;413;93.97;100;704.97;6577.93;5869.95;1113.02;6.12;75;0.39
NA;17;99;418.84;766;687;543;433;91.92;100;673.39;6546.29;5984.46;1092.23;6.2;79;0.44
NA;18;87;391.08;1002;625.4;519;374;93.1;98.85;735.79;7135.89;6734.34;1126.87;6.73;78;0.47
NA;19;109;402.26;763;627.5;527;415;91.74;100;768.74;7456.48;6593.96;1171;6.63;67;0.38
NA;20;113;397.45;670;609.5;519.5;403;93.81;100;708.59;6585.27;5808.65;1106.04;6.08;57;0.34
