runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;11;381.64;531;531;439;373;100;100;207.36;1540.02;1540.02;589;3.11;10;0.48
NA;2;21;420;688;677.4;542;431;95.24;100;225.81;1575.89;1575.89;645.81;3.13;15;0.42
NA;3;27;411.26;724;697.6;550;394;92.59;100;354.48;2772.78;2766.53;765.74;3.94;27;0.5
NA;4;28;375.29;724;661;494;377.5;96.43;100;316.36;2380.75;2374.72;691.64;3.67;33;0.54
NA;5;27;348.41;618;618;447;337;92.59;100;507.93;3668.23;3000.2;856.33;4.11;37;0.58
NA;6;26;426.73;584;579.8;548;449;100;100;572.92;4040.84;3499.43;999.65;4.46;49;0.65
NA;7;44;474.07;786;713.25;562.25;497;88.64;100;568.45;3956.26;2815.31;1042.52;3.98;44;0.5
NA;8;36;480.61;826;738.45;580.5;483;86.11;100;380.69;2633.44;2421.59;861.31;3.7;60;0.62
NA;9;55;430.25;723;678.6;538;451;90.91;100;434.95;3280.5;3170.59;865.2;4.23;57;0.51
NA;10;61;427.75;1027;670.7;526.5;444;91.8;98.36;313.21;1999.08;1772.65;740.97;3.25;60;0.5
NA;11;51;467.06;1686;845.6;539;465;90.2;96.08;596.08;4645.1;3985.48;1063.14;4.79;68;0.57
NA;12;43;492.4;1886;1301;548;451;88.37;93.02;637.35;4974.42;4488.46;1129.74;5.15;71;0.62
NA;13;44;437.7;1025;779.75;547;450;88.64;97.73;684.48;5191.91;4152.46;1122.18;4.92;83;0.65
NA;14;43;456.42;1149;878;552;449;90.7;95.35;775.63;6191.57;5263.55;1232.05;5.7;90;0.68
NA;15;36;445.03;863;773.75;544.75;466;86.11;100;647.89;5133.24;4851.19;1092.92;5.4;94;0.72
NA;16;42;416.69;863;751.6;504.75;411;92.86;100;844.12;6363.77;5219.01;1260.81;5.66;92;0.69
NA;17;33;419.36;665;618.8;503.5;419;96.97;100;976.15;8175;6069.67;1395.52;6.26;94;0.74
NA;18;28;475.14;837;823.5;556;504;92.86;100;970.14;7965.21;7039.08;1445.29;6.94;98;0.78
NA;19;26;495.23;858;840.15;579;517;84.62;100;916.65;7496.7;7026.07;1411.88;6.93;95;0.79
NA;20;35;486.83;702;695.6;571;495;85.71;100;803.43;6505.73;5938.99;1290.26;6.16;90;0.72
