runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;2;453.5;586;586;586;453.5;100;100;279.5;2243.09;2243.09;733;3.57;7;0.78
NA;2;6;383.33;609;609;579.75;356.5;83.33;100;242.33;1970.28;1970.28;625.67;3.38;12;0.67
NA;3;8;410.88;631;631;599.25;473;75;100;209.12;1659.55;1659.55;620;3.19;12;0.6
NA;4;11;417.09;609;609;504;482;90.91;100;252;1837.72;1837.72;669.09;3.32;12;0.52
NA;5;14;333.93;571;571;430.25;338;100;100;434.14;3339.07;3155.32;768.07;4.23;15;0.52
NA;6;13;405.23;563;563;552.5;449;100;100;447.08;3031.25;1858.4;852.31;3.33;17;0.57
NA;7;5;374.6;570;570;553.5;340;100;100;291.2;2203.7;2203.7;665.8;3.62;29;0.85
NA;8;7;452.43;570;570;519;457;100;100;258.57;2665.94;2658.61;711;3.88;28;0.8
NA;9;11;404.82;570;570;515;473;100;100;359.55;3282.85;3236.78;764.36;4.28;24;0.69
NA;10;12;394.67;599;599;501.5;427.5;100;100;614.92;5516.84;5478.88;1009.58;5.84;24;0.67
NA;11;6;389.83;599;599;495.5;399;100;100;391.33;3634.18;3604.08;781.17;4.52;26;0.81
NA;12;8;354;524;524;460;347.5;100;100;523.62;4015.31;3984.11;877.62;4.79;23;0.74
NA;13;10;299.9;486;486;467.25;263;100;100;452.8;3612.77;3594.72;752.7;4.54;26;0.72
NA;14;10;340.9;577;577;480.75;381.5;100;100;470.4;3702.26;3515.82;811.3;4.49;31;0.76
NA;15;12;386;540;540;485.75;439;100;100;428.83;3583.25;3539.56;814.83;4.48;31;0.72
NA;16;12;405.83;592;592;522.5;453;100;100;603.33;4618.54;3400.06;1009.17;4.38;28;0.7
NA;17;9;382.89;540;540;470.5;457;100;100;454.67;3402.99;3245.83;837.56;4.27;32;0.78
NA;18;13;374.92;570;570;467.5;392;100;100;476.69;3606.26;3143.03;851.62;4.2;28;0.68
NA;19;16;370.69;742;742;469.25;348.5;93.75;100;464.56;3679.06;3094.22;835.25;4.18;36;0.69
NA;20;16;393.38;649;649;487;395.5;93.75;100;439.94;3361.39;2859.39;833.31;4.02;31;0.66
