runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;2;495.5;497;497;497;495.5;100;100;527;5331.86;5331.86;1022.5;5.73;2;0.5
NA;2;4;366;439;439;428;378;100;100;464.5;5045.98;5045.98;830.5;5.53;7;0.64
NA;3;8;448.38;585;585;533.5;457.5;100;100;389.5;3600.94;3600.94;837.88;4.52;5;0.38
NA;4;8;523.25;621;621;582;537.5;87.5;100;448.62;3974.13;3974.13;971.88;4.78;9;0.53
NA;5;13;417.15;585;585;498.5;417;100;100;390.69;3437.34;3437.34;807.85;4.41;10;0.43
NA;6;18;426.11;585;585;525;470.5;100;100;411.5;3445.37;3445.37;837.61;4.41;12;0.4
NA;7;16;373;585;585;495.5;408.5;100;100;407.31;3813.79;3808.4;780.31;4.67;13;0.45
NA;8;17;411.71;585;585;555.5;477;100;100;440.59;3911.57;3906.5;852.29;4.73;12;0.41
NA;9;21;370.67;726;712.1;521;330;95.24;100;478.62;4361.65;3592.06;849.29;4.52;13;0.38
NA;10;21;414.9;664;662.2;591.5;398;80.95;100;533.33;5269.61;4389.03;948.24;5.08;17;0.45
NA;11;27;429.15;664;656.8;574;457;85.19;100;484.33;4687.71;4002.82;913.48;4.81;16;0.37
NA;12;30;429.47;714;673.85;533;429;90;100;458.77;4588.7;3921.65;888.23;4.75;21;0.41
NA;13;25;463;829;826.9;560;417;84;100;400.12;3784.96;3224.36;863.12;4.27;21;0.46
NA;14;24;453.12;829;827.25;534.5;420;87.5;100;347.12;3333.58;3333.58;800.25;4.34;19;0.44
NA;15;28;396.29;712;668.35;524.75;391;92.86;100;480.18;4305.52;3304.85;876.46;4.32;18;0.39
NA;16;30;407.73;911;820.8;501.75;374;86.67;96.67;523.73;4508.01;3991.95;931.47;4.8;18;0.38
NA;17;20;449.05;911;899.55;554.5;440;90;95;682.5;6691.17;4585.9;1131.55;5.22;23;0.53
NA;18;30;398.77;836;769.45;525;388.5;90;100;621.1;5328.06;4420.93;1019.87;5.1;20;0.4
NA;19;29;382.76;688;680;549.5;353;86.21;100;694.79;6137.87;4370.75;1077.55;5.07;12;0.29
NA;20;27;363.33;688;687.2;451;349;92.59;100;492.7;4388.12;3924.32;856.04;4.76;12;0.31
