departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22720.0;91535010912-1;drtC6;1194917323_0;356999.67;3931327.41;310225190_0;360219.85;3919409.64;362.0;24934.0;1852.0;15684.43;15684.43;-12.98;23320;29338.71
25207.0;42127031591-1;drtC3;663490045_0;352002.53;3923185.04;1069570414_1;347078.26;3921675.51;599.0;26578.0;772.0;6907.32;6907.32;-6.84;25807;29119.98
25230.0;42155008631-1;drtC5;384498896_0_r;353694.38;3924591.85;314246438_0;347001.84;3923150.79;548.0;27414.0;1636.0;11813.47;11801.6;-10.26;25830;30905.03
27024.0;42155010491-1;drtC0;848697060_0;353929.98;3924111.09;317592699_0_r;340641.52;3912661.17;567.0;30274.0;2683.0;23100.77;23100.77;-18.17;27624;35479.66
27030.0;42128034154-1;drtC1;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;624.0;28213.0;559.0;5865.48;5865.48;-6.11;27630;29822.55
27033.0;32097072743-1;drtC2;144486666_1;359636.16;3933645.69;59919273_6;359852.17;3934647.78;305.0;27544.0;206.0;1352.82;1352.82;-2.95;27633;28825.52
27632.0;32093001101-1;drtC2;86330248_17;358158.39;3935860.95;894710182_1;358523.02;3935964.45;547.0;28283.0;104.0;553.55;553.55;-2.39;28232;29120.36
28546.0;42124009113-1;drtC1;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;430.0;30201.0;1225.0;7066.21;2956.54;-4.07;29146;30813.02
28823.0;42128034954-1;drtC1;1066694401_0;351664.28;3923449.96;30822288_10_r;351656.46;3922729.74;694.0;29651.0;134.0;787.56;787.56;-2.55;29423;30422.77
30614.0;91532020503-1;drtC2;1211985866_0_r;359201.85;3932682.65;251715348_0;354560.56;3937344.35;702.0;33209.0;1893.0;13813.32;7832.13;-7.48;31214;33874.15
31516.0;32093052842-1;drtC2;1126029411_0;357988.09;3936295.2;648190362_0;359142.87;3936778.9;450.0;32219.0;253.0;1652.37;1652.37;-3.16;32116;33447.16
32719.0;42147014412-1;drtC4;113005006_2;345779.95;3918948.3;1036419365_0;346696.95;3918284.09;451.0;33364.0;194.0;1443.11;1443.11;-3.01;33319;34496.87
34247.0;91535015103-2;drtC2;192210042_3;356472.88;3935561.86;152610339_0;356047.06;3935179.84;470.0;34887.0;170.0;1042.8;1042.8;-2.73;34847;35927.49
35121.0;42124024213-1;drtC1;570354684_0;348291.6;3928974.21;46907157_6;352832.88;3922537.41;561.0;36775.0;1093.0;10201.89;10201.89;-9.14;35721;39519
38725.0;42034002392-2;drtC4;196959620_8;346134.91;3916209.96;311520914_0_r;346250.56;3915800.86;495.0;39316.0;96.0;727.93;727.93;-2.51;39325;40206.6
39628.0;91533019191-3;drtC2;32259958_3;358286.3;3933215.12;150719227_0;357307.06;3933980.57;442.0;40312.0;242.0;1874.88;1874.88;-3.31;40228;41529.88
39649.0;42127032562-3;drtC1;279299029_0;351706.84;3923250.78;663070168_0;351785.58;3923284.4;418.0;40114.0;47.0;259.62;259.62;-2.35;40249;40988.31
42055.0;32097071362-2;drtC2;1014264475_4;359140.12;3935574.79;142435278_1;359286.83;3935963.91;529.0;42768.0;184.0;577.92;577.92;-2.4;42655;43470.96
45038.0;32093010202-1;drtC2;940439118_1;359121.31;3934078.27;26277163_1;358296.96;3933317.74;628.0;45930.0;264.0;1544.79;1544.79;-3.08;45638;47003.09
50729.0;42034017511-4;drtC4;663146960_0_r;347406.87;3918361.02;169824956_0;349927.02;3917155.26;659.0;51852.0;464.0;3079.01;3079.01;-4.16;51329;53302.83
51031.0;42124030291-1;drtC1;171834103_0;350532.27;3924823.63;161450427_0;351211.2;3923994.09;435.0;51817.0;351.0;2220.62;1579.08;-3.11;51631;52803.19
51320.0;42124028132-3;drtC1;312072230_0;350575.46;3924345.65;194938560_3;349558.43;3924555.02;341.0;52321.0;660.0;3826.22;1333.18;-2.93;51920;53054.85
52826.0;42124023671-2;drtC2;131202624_0_r;359125.59;3934991.28;46907252_10;349034.03;3928742.1;519.0;56674.0;3329.0;23514.21;16915.57;-13.84;53426;60500.93
53668.0;91531007991-2;drtC2;32259958_3;358286.3;3933215.12;192210042_3;356472.88;3935561.86;250.0;54277.0;359.0;3583.8;3583.8;-4.51;54268;55759.3
54038.0;42124014572-3;drtC3;1124687438_0_r;348048.13;3922432.78;204244770_0_r;345649.65;3923426.95;306.0;54804.0;460.0;3290.79;3290.79;-4.3;54638;56604.33
54043.0;42141003641-2;drtC4;1096946751_1;351222.84;3919741.3;204354480_1;347496.65;3920065.94;490.0;55452.0;919.0;5824.8;5824.8;-6.08;54643;57038.07
54047.0;42124024553-2;drtC1;37040145_0;351352.94;3922352.87;146798268_2;351021.89;3922089.33;524.0;54666.0;95.0;643.06;643.06;-2.45;54647;55517.4
55266.0;42113018174-2;drtC4;113924437_0;346245.69;3919136.11;158369440_0_r;342047.06;3916460.59;571.0;56536.0;699.0;5699.57;5699.57;-5.99;55866;58480.71
55828.0;42124018572-2;drtC1;663070171_0_r;351909.47;3923237.56;41946733_1;346267.5;3923413.94;430.0;57144.0;886.0;7800.54;7800.54;-7.46;56428;59690.79
60626.0;42124011091-1;drtC2;171066785_0;351115.37;3924760.28;30848486_2;351563.74;3922953.07;585.0;61463.0;252.0;2553.72;2553.72;-3.79;61226;62569.47
62294.0;42124030733-2;drtC2;172339548_2;350378.86;3925095.92;171949782_4;350231.53;3924905.7;410.0;62814.0;110.0;449.78;449.78;-2.35;62894;63638.69
67598.0;42125010061-3;drtC2;456166106_1;352084.8;3922367.91;1117620340_0;351624.24;3918700.8;591.0;68726.0;537.0;5286.78;5286.78;-5.7;68198;70393.9
70249.0;31157101752-2;drtC0;317592696_0;340728.82;3911426.62;165026204_0;362886.15;3939726.43;232.0;74936.0;4455.0;44812.09;44812.09;-33.37;70849;84681.95
79248.0;42125011841-3;drtC2;710095368_0;350960.36;3921405.44;312419754_2;350180.84;3927051.54;327.0;80168.0;593.0;6827.66;6827.66;-6.78;79848;82165.82
82215.0;32093050001-3;drtC0;1063300335_1;360787.42;3937563.45;549391579_0;359378.89;3937374.91;547.0;83106.0;344.0;2017.8;2017.8;-3.41;82815;84421.1
