departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
26115.0;42033002621-1;drtD2;196959716_3;346139.78;3916404.6;130549589_1;347526.28;3918113.12;461.0;28443.0;1867.0;11683.85;3703.1;-4.59;26715;28856.1
27017.0;42147013761-1;drtD2;112757233_6;345001.59;3919094.96;112757211_9;344886.07;3918862.39;592.0;27664.0;55.0;423.01;423.01;-2.35;27617;28377.68
28224.0;43627002261-1;drtD0;318388491_0_r;333477.85;3913249.55;205306348_3;332491.53;3910858.85;472.0;29164.0;468.0;4610.04;4610.04;-5.23;28824;30835.53
34098.0;42063037741-2;drtD0;226039558_0;332418.8;3908982.94;489058084_0_r;331071.11;3910982.15;392.0;34749.0;259.0;2788.89;2788.89;-3.95;34698;35967.28
35719.0;42147014941-2;drtD2;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;445.0;36461.0;297.0;2285.65;2285.65;-3.6;36319;37768.49
37827.0;42173004182-2;drtD0;501349034_0;331286.11;3912942.78;136559133_0;327359.45;3912805.45;336.0;38614.0;451.0;6188.44;6188.44;-6.33;38427;40312.22
54665.0;42113000032-3;drtD2;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;358.0;55430.0;407.0;2327.6;2327.6;-3.63;55265;56716.41
55882.0;42037039001-2;drtD1;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;492.0;57388.0;1014.0;8232.16;8232.16;-7.76;56482;60042.62
56431.0;42113014411-8;drtD2;1059749906_0_r;343187.57;3915671.08;1027404155_0;342628.2;3915627.25;570.0;57077.0;76.0;633.19;633.19;-2.44;57031;57845.34
57659.0;43624001943-2;drtD0;107415981_0;331626.73;3910270.1;205296958_1;332189.32;3909729.18;649.0;58528.0;220.0;1291.69;1291.69;-2.9;58259;59163.35
64248.0;42034000131-4;drtD1;200420413_0_r;346884.58;3915085.07;196959573_0;345822.01;3916331.09;339.0;64901.0;314.0;2421.25;2369.99;-3.66;64848;66348.41
64526.0;42113001111-5;drtD2;311773767_2;342980.46;3915777.75;159517490_3;342072.79;3914351.96;141.0;65021.0;354.0;2419.61;2419.61;-3.69;65126;66761.38
64865.0;42113011211-2;drtD1;714429611_0;345580.81;3915929.12;197515789_5;344203.98;3916808.98;247.0;65388.0;276.0;2099.35;2099.35;-3.47;65465;66896.23
64950.0;42063032812-3;drtD0;816195758_0_r;331895.53;3909270.03;180581580_4;332649.28;3910150.38;239.0;65412.0;223.0;1584.5;1584.5;-3.11;65550;66618.28
68138.0;42117022051-3;drtD1;106354564_1;343777.2;3916955.21;106352753_6;343643.37;3917019.3;162.0;68453.0;153.0;246.62;246.62;-2.35;68738;69443.5
75066.0;42141005141-3;drtD1;200734202_0_r;344555.59;3915125.37;33074085_12;346587.85;3917870.7;399.0;76070.0;605.0;4546.37;4546.37;-5.18;75666;78055.53
