vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;101571.55;76658.61;24912.94;105341.05
drtA27;83329.18;67737.02;15592.16;80619.88
drtA2;36372.18;28978.5;7393.68;37626.62
drtA28;22326.87;19191.54;3135.33;19191.54
drtA29;12845.87;11450.88;1394.99;11450.88
drtA0;116450.84;94587.32;21863.52;150600.04
drtA9;182010.98;171286.03;10724.95;306611.01
drtA7;26690.85;16960.55;9730.3;16960.55
drtA8;16678.05;13453.52;3224.53;13453.52
drtA5;4870;2102.63;2767.38;2102.63
drtA6;77683.47;60697.34;16986.13;86407.07
drtA3;57506.44;46519.78;10986.66;46519.78
drtA4;78425.41;65906.22;12519.19;115859.47
drtA30;97176.93;81258.95;15917.97;136047.59
drtA31;112846.01;99903.04;12942.97;137531.8
drtA10;9101.14;4122.76;4978.37;4122.76
drtA32;93960.78;82794.13;11166.65;176656.09
drtA11;37072.26;28287.66;8784.6;37882.23
drtA33;25926.42;22018.08;3908.34;22018.08
drtA12;38091.74;32798.8;5292.94;45154.83
drtA34;121289.41;90585.47;30703.94;133263.75
drtA13;9576.54;7908.27;1668.26;7908.27
drtA35;34925.74;22027.27;12898.46;28629.15
drtA14;79221.12;65012.27;14208.85;115244.27
drtA36;139570.84;117209.03;22361.81;192429.75
drtA15;30145.42;24867.53;5277.89;32028.89
drtA37;40767.91;24868.27;15899.64;24868.27
drtA16;8705.41;3678.38;5027.02;3678.38
drtA38;62739.84;50616.7;12123.13;50616.7
drtA17;26202.11;21354.74;4847.37;21354.74
drtA39;13413.25;7860.52;5552.73;7860.52
drtA18;29607.47;27813.9;1793.57;36041.95
drtA19;36282.89;24427.66;11855.22;40975.98
drtA40;29633.35;28595.31;1038.03;28595.31
drtA41;62880.06;52948.14;9931.92;63242.91
drtA20;49563.36;46467.51;3095.85;80980.13
drtA42;24466.39;17100.94;7365.45;17100.94
drtA21;27044.72;18454.06;8590.66;18454.06
drtA22;49409.81;40288.72;9121.09;48524.59
drtA23;91519.53;79019.29;12500.24;148939.73
drtA24;20275.81;17679.42;2596.39;17679.42
drtA25;110351.93;89292.39;21059.54;184120.78
