vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;45649.49;40595.48;5054.01;40595.48
drtB15;25694.6;15717.65;9976.95;18217.93
drtB3;78647.32;65564.53;13082.8;68967.16
drtB16;27375.15;24827.59;2547.57;24827.59
drtB0;35197.22;17041.56;18155.66;17041.56
drtB1;49373.22;43104;6269.22;44763.55
drtB8;65572.64;61567.67;4004.97;161824.25
drtB9;70771.55;54688.83;16082.72;54688.83
drtB6;66795.85;46733.19;20062.66;46733.19
drtB7;54074.05;33671.49;20402.56;40647.65
drtB4;28904.74;12233.72;16671.02;12233.72
drtB5;28289.2;23189.55;5099.65;23189.55
drtB10;45138.83;25769.31;19369.52;25769.31
drtB11;59208.17;21595.4;37612.77;21595.4
drtB12;31773.59;26121.73;5651.85;27882.94
drtB13;52783.2;24518.55;28264.64;24518.55
drtB14;98885.54;89866.15;9019.38;90639
