runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;39;561.9;1093;1048;801;530;61.54;82.05;826.62;8305.17;7535.63;1388.51;7.28;1;0.03
NA;2;77;538.25;1230;1051.3;754.5;504;63.64;87.01;848.77;8150.66;7203.5;1387.01;7.05;2;0.03
NA;3;105;472.3;1232;992.6;605;449;75.24;91.43;983.76;9915.15;9178.71;1456.06;8.43;7;0.06
NA;4;132;562.08;1292;1146.35;763.25;512;59.85;81.82;1094.7;10779.44;9008.03;1656.78;8.31;11;0.08
NA;5;165;584.9;1297;1097.8;862;562;53.33;78.79;1195.55;11720.78;9352.76;1780.45;8.55;5;0.03
NA;6;182;616.88;1281;1148.7;897.5;585;50.55;75.82;1072.91;10522.38;8792.65;1689.79;8.16;7;0.04
NA;7;187;664.52;1348;1171.6;940;615;47.59;72.73;1201.26;11242.94;8858.56;1865.78;8.21;8;0.04
NA;8;182;677.48;1459;1191.25;911;649.5;44.51;74.73;1222.88;11391.63;8920.69;1900.37;8.25;14;0.07
NA;9;178;690.9;1389;1207.3;949.5;673.5;44.38;71.35;1277.71;11795.79;8725.04;1968.61;8.11;19;0.1
NA;10;196;668.86;1559;1150.35;924.75;665.5;44.9;72.45;1135;10620.81;8421.13;1803.86;7.9;14;0.07
NA;11;192;646.88;1436;1205.75;849.5;619.5;48.96;78.12;1235.22;11843.73;8816.32;1882.1;8.18;23;0.11
NA;12;217;646.32;1532;1177.1;869;621;48.39;76.96;1102.39;10319.53;7983.53;1748.71;7.6;17;0.07
NA;13;224;636.46;1591;1187.5;881.25;624.5;48.66;76.34;1103.73;10282.5;7920.5;1740.19;7.56;17;0.07
NA;14;243;624.24;1380;1173.6;872;571;51.85;79.01;1094.81;9856.67;7668.3;1719.05;7.38;19;0.07
NA;15;236;659.22;1595;1185.45;937.5;633;47.03;72.46;1281.71;11257.38;7947.19;1940.93;7.57;28;0.11
NA;16;229;682.68;1785;1172.5;928.5;682;43.67;72.93;1119.83;9903.14;7153.47;1802.51;7.01;19;0.08
NA;17;225;637.03;1513;1155.8;828;621;48;79.56;1233;11208.83;8224.99;1870.03;7.77;14;0.06
NA;18;210;647;1526;1191.45;938;605;49.05;72.38;1207.63;10748.33;8414.56;1854.63;7.9;24;0.1
NA;19;217;663.05;1526;1214.5;972.5;652;46.08;70.51;1186.75;10785.15;8498.37;1849.79;7.96;25;0.1
NA;20;212;613.13;1478;1170.45;882.5;576;51.89;76.42;1199.51;11136.07;8536.93;1812.64;7.98;16;0.07
