runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;11;745.73;1101;1101;946;790;36.36;63.64;448.27;3970.44;3970.44;1194;4.78;6;0.35
NA;2;24;685.08;1142;1131.75;982.5;620;50;66.67;515.33;4022.04;3441.13;1200.42;4.42;9;0.27
NA;3;27;701.85;1163;1138.2;912;668;44.44;74.07;661.19;5350.23;4184.85;1363.04;4.94;11;0.29
NA;4;31;792.06;1212;1171.8;1044;873;35.48;54.84;767.1;6221.07;4781.56;1559.16;5.36;10;0.24
NA;5;39;692.41;1728;1562;906;625;43.59;74.36;970.56;8346.94;6270.57;1662.97;6.4;10;0.2
NA;6;38;693.47;1202;1136.45;943.75;694;34.21;73.68;818.34;7269.56;5667.47;1511.82;5.97;12;0.24
NA;7;47;675.17;1849;1199.6;866;700;38.3;78.72;827.3;7125.93;5570.47;1502.47;5.91;10;0.18
NA;8;42;674.69;1959;1270.9;896.25;677;40.48;78.57;961.71;8094.79;5916.78;1636.4;6.15;11;0.21
NA;9;41;699.59;2341;1267.8;952.5;685;41.46;68.29;979.68;8277.95;6817.08;1679.27;6.77;15;0.27
NA;10;48;651.31;1380;1330.25;983;580;52.08;68.75;957.96;8111.18;6563.38;1609.27;6.59;12;0.2
NA;11;50;665.96;1379;1205.7;922.25;619;46;72;1162;9416.92;6261.86;1827.96;6.38;19;0.28
NA;12;43;706.81;1508;1242.8;1023;639;46.51;65.12;1251.65;10301.04;7444.61;1958.47;7.21;18;0.3
NA;13;45;654.22;1264;1191.2;906.5;634;48.89;75.56;986.53;8448.36;7245.36;1640.76;7.07;13;0.22
NA;14;45;696.89;1360;1208;995.5;762;42.22;64.44;978.53;8569.47;7203.49;1675.42;7.04;15;0.25
NA;15;51;677.47;1303;1196;965;708;43.14;68.63;1148.43;9905.9;7145.59;1825.9;7;14;0.22
NA;16;56;746.73;1527;1182.45;1046;799;30.36;62.5;1148.75;9513.07;6580.42;1895.48;6.61;10;0.15
NA;17;55;655.95;1527;1156.6;998;633;49.09;70.91;1223.85;10047.29;7236.95;1879.8;7.07;8;0.13
NA;18;58;669.57;1527;1167.45;839.75;693;39.66;79.31;1213.1;10344.95;7290.89;1882.67;7.1;8;0.12
NA;19;52;700.31;1376;1169;1020.75;719.5;34.62;63.46;975.73;8441.03;6032.52;1676.04;6.23;16;0.24
NA;20;49;749.41;1191;1163;1049.5;827;36.73;59.18;1040.08;9223;6529.28;1789.49;6.58;13;0.21
