departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtA2;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2957.0;2027.0;26678.07;16080.58;-13.26;1820;4772.38
929.0;31144040261-2;drtA2;34951902_0;387618.28;3950773.84;846599943_0_r;379628.51;3951061.49;247.0;1716.0;540.0;8648.12;8648.12;-8.05;2129;3692.28
1826.0;31157185231-3;drtA2;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;583.0;3618.0;1209.0;15014.18;12369.02;-10.66;3026;5372.9
3032.0;31124023311-6;drtA12;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;233.0;3733.0;468.0;6601.88;6601.88;-6.62;4232;5627.09
4243.0;31124072731-4;drtA35;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;185.0;6706.0;2278.0;30028.8;15458.97;-12.82;5443;8351.89
4618.0;31123037701-7;drtA35;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;395.0;6039.0;1026.0;13218.5;11374.51;-9.96;5818;7820.11
5132.0;31124015231-4;drtA35;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;233.0;7092.0;1727.0;20095.77;15756.54;-13.03;6332;9678.16
7264.0;31132029211-2;drtA37;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;422.0;8427.0;741.0;11024.31;11024.31;-9.72;8464;10596.92
9838.0;31127119452-2;drtA38;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;388.0;11026.0;800.0;12723.47;12723.47;-10.91;11038;13367.26
16597.0;31082028811-1;drtA11;1060235876_0;394505.17;3950968.03;251308522_1;381978.89;3950605.88;1103.0;18464.0;764.0;13198.58;13198.58;-11.24;17797;19915.73
21625.0;31124031151-1;drtA40;116473709_0_r;376644.29;3945397.99;394569598_0;383810.42;3945514.32;295.0;22792.0;872.0;10320.62;10287.16;-9.2;22825;25298.1
25227.0;31124027311-1;drtA38;154882436_10;378206.68;3944550.79;158180857_1;387779.33;3948302.12;154.0;26303.0;922.0;12284.6;12284.6;-10.6;26427;28721.49
25822.0;31157169461-1;drtA0;101670117_0_r;377439.69;3951018.86;115461136_1;379798.48;3950678.54;305.0;26464.0;337.0;3606.09;3606.09;-4.52;27022;27932.44
27058.0;31144039921-1;drtA31;149672905_0;383043.12;3950251.38;195279740_0;379471.66;3951105.89;93.0;27500.0;349.0;4443.5;4443.5;-5.11;28258;29255.19
27924.0;31123014962-1;drtA35;51567201_0;374190.6;3944882.39;51077735_0;373401.69;3944221.45;133.0;28283.0;226.0;1532.67;1532.67;-3.07;29124;29781.85
28041.0;31144022501-1;drtA31;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;211.0;28778.0;526.0;4939.09;4884.76;-5.42;29241;30388.24
28818.0;31157241522-1;drtA13;164819786_0;378490.39;3949816.09;34948594_1;379022.35;3950199.97;266.0;29213.0;129.0;842.94;842.94;-2.59;30018;30385.98
28823.0;31131008983-1;drtA40;294012535_0;384186.72;3945824.3;41857255_0;382628.42;3947387.8;175.0;29318.0;320.0;3168.9;3168.9;-4.22;30023;30905.45
28829.0;31123045564-1;drtA19;131984423_0;377382.79;3947140.47;36878873_2;376478.87;3947776.56;656.0;29722.0;237.0;1529.28;1529.28;-3.07;30029;30702.44
28836.0;31092018151-1;drtA6;1101385037_1;383943.51;3942461.26;140349262_0_r;383601.54;3947151.99;1117.0;30512.0;559.0;7538.84;7508.1;-7.26;30036;31594.3
29259.0;32083005823-1;drtA16;30969999_17;372166.18;3944773.69;204708956_0_r;372261.62;3944350.44;145.0;29528.0;124.0;698.73;698.73;-2.49;30459;30827.21
29440.0;31124051432-1;drtA12;116429820_0;378804.83;3944645.74;116432479_0;378448.29;3944945.78;246.0;29868.0;182.0;711.01;711.01;-2.5;30640;30993.13
30016.0;31157253071-1;drtA13;44220005_3;378519.25;3948848.35;178904689_0_r;380868.32;3949108.07;263.0;30973.0;694.0;4325.97;3476.55;-4.43;31216;32116.82
