departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
4852.0;32097072604-2;drtC2;1111121313_0;359437.57;3934623.24;120693319_0;361573.22;3938518.7;188.0;5822.0;782.0;5768;5768;-6.04;6052;8302.55
21910.0;42182008703-1;drtC0;154659075_0_r;356225.12;3922361.38;153188668_3;361445.62;3940872.16;425.0;28913.0;6578.0;49290.76;26293.47;-20.41;23110;31732.38
22720.0;91535010912-1;drtC6;1194917323_0;356999.67;3931327.41;310225190_0;360219.85;3919409.64;362.0;27400.0;4318.0;29588.09;15631.62;-12.94;23920;29281.5
23420.0;42141004881-1;drtC3;166124858_1;348304.16;3921367.86;41907366_1;347172.41;3922534.4;360.0;24082.0;302.0;2180.31;2180.31;-3.53;24620;25518.28
23423.0;32094052651-1;drtC2;142377377_1;359734.98;3937366.05;252398984_0;354170.69;3939371.35;521.0;25100.0;1156.0;7483.03;7483.03;-7.24;24623;28011.55
23426.0;32093013201-1;drtC0;144341446_0;360086.34;3934824.01;1069570414_1;347078.26;3921675.51;954.0;32546.0;8166.0;63258.9;27991.86;-21.59;24626;32127.84
23744.0;42154015582-1;drtC6;760435749_0;356380.04;3926106.14;322488351_0;345683.39;3921244.54;299.0;29417.0;5374.0;40410.68;15751.33;-13.03;24944;29419.93
24024.0;42163009041-1;drtC6;760198977_0_r;356998.57;3930770.82;469633513_0;352516;3911433.45;887.0;31301.0;6390.0;50475.9;22552.65;-17.79;25224;31961.45
24313.0;91534020601-1;drtC0;37708345_6;358360.75;3932790.03;49773827_0;355412.18;3931847.81;1151.0;26076.0;612.0;3996.85;3996.85;-4.8;25513;27309.72
24635.0;42163010683-1;drtC6;44422921_0;356940.38;3931144.02;725795098_1;357646.64;3930151.16;461.0;25671.0;575.0;1411.09;1411.09;-2.99;25835;26551.95
24644.0;42133033544-1;drtC0;27776607_1;359907.55;3931232.94;137310582_0;357471.36;3933156.31;474.0;27025.0;1907.0;11138.53;3949.39;-4.76;25844;27183.57
25207.0;42127031591-1;drtC5;663490045_0;352002.53;3923185.04;1069570414_1;347078.26;3921675.51;1017.0;27135.0;911.0;6910.08;6910.08;-6.84;26407;29061.15
25230.0;42155008631-1;drtC5;384498896_0_r;353694.38;3924591.85;314246438_0;347001.84;3923150.79;531.0;31268.0;5507.0;36805.65;9575.89;-8.7;26430;30878.71
25241.0;42034001553-1;drtC4;276878637_0;350302.67;3916188.96;1208960965_0_r;356416.65;3928250.54;573.0;27430.0;1616.0;18762.76;18762.76;-15.13;26441;30645.66
25514.0;91535013741-1;drtC0;150719287_0_r;356927.36;3933617.31;39168328_1;358162.01;3933128.02;1304.0;27425.0;607.0;2420.71;1947.16;-3.36;26714;27611.94
26711.0;42117022051-1;drtC3;106352753_6;343643.37;3917019.3;106354564_2;343805.54;3916857.85;1268.0;28023.0;44.0;327.61;327.61;-2.35;27911;28035.9
27013.0;42155003371-1;drtC4;241782318_1;354431.92;3925570.12;313512826_0_r;350462.54;3930187.09;1060.0;30355.0;2282.0;19317.78;10124.43;-9.09;28213;30991.05
27014.0;42124010693-1;drtC1;172325796_4;350701.53;3925671.25;27768307_0;359980.06;3930446.9;290.0;31596.0;4292.0;30210.14;14287.18;-12;28214;31595.96
27024.0;42155010491-1;drtC1;848697060_0;353929.98;3924111.09;317592699_0_r;340641.52;3912661.17;1026.0;35332.0;7282.0;59729.27;22993.24;-18.1;28224;35428.35
27030.0;42128034154-1;drtC5;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;1135.0;28947.0;782.0;5865.48;5865.48;-6.11;28230;29822.46
28223.0;91532018853-1;drtC2;313953378_0_r;356806.08;3934363.99;150719295_17;356816.12;3934003.69;1121.0;29609.0;265.0;508.71;508.71;-2.36;29423;29621.2
28229.0;42155007475-1;drtC1;313114237_0;355625.41;3926083.21;162381648_0;356297.41;3926262.58;459.0;28821.0;133.0;933.12;933.12;-2.65;29429;29816.56
28546.0;42124009113-1;drtC4;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;577.0;29522.0;399.0;2956.54;2956.54;-4.07;29746;30811.09
28811.0;91534021033-1;drtC2;501594705_0_r;358369.25;3934171.8;45733224_6;358731.93;3933267.15;1227.0;30242.0;204.0;1218.24;1218.24;-2.85;30011;30593.16
28818.0;42142010033-1;drtC5;311793768_0;349638.02;3920403.4;46888488_1;346937.5;3919056.61;528.0;29900.0;554.0;3374.95;3374.95;-4.36;30018;31256.27
28833.0;42147015183-1;drtC3;526913893_0;345660.49;3918557.93;113005012_0_r;346561.84;3918528.2;448.0;29416.0;135.0;1163.51;1163.51;-2.81;30033;30436.88
28882.0;42157018415-1;drtC1;201216527_0_r;353309.02;3925504.07;1208960965_0_r;356416.65;3928250.54;488.0;29902.0;532.0;6128.65;6128.65;-6.29;30082;31665.16
28980.0;42125018382-2;drtC3;176173832_0_r;350418.94;3920920.41;311773857_1;350112.11;3919237.91;1176.0;30494.0;338.0;2046.14;2046.14;-3.43;30180;31114.57
30055.0;91534013881-1;drtC1;49770914_0;356538.14;3931447.06;47195913_3;347102.18;3921483.7;801.0;33523.0;2667.0;26218.63;19838.57;-15.89;31255;37104.12
30312.0;42157018162-3;drtC3;980565107_0;353807.05;3922027.63;205729999_0_r;353560.74;3921410.96;1043.0;31516.0;161.0;1299.3;1299.3;-2.91;31512;31981.03
30568.0;44023000305-1;drtC4;380067160_0_r;346007.31;3927967.22;380373751_2;351321.51;3923459.53;1145.0;32722.0;1009.0;9753.97;9753.97;-8.83;31768;34752.06
30614.0;91532020503-1;drtC2;1211985866_0_r;359201.85;3932682.65;251715348_0;354560.56;3937344.35;175.0;34045.0;3256.0;21704.14;7832.13;-7.48;31814;33875.41
30615.0;42163006644-1;drtC2;205939084_1;356129.93;3930308.91;194273756_1;357576.41;3928214.95;1307.0;32413.0;491.0;3369.23;3369.23;-4.36;31815;33266.94
30634.0;42124019491-1;drtC5;204007161_0_r;346390.96;3923142.73;165912119_0;349746.47;3922320.09;1025.0;32435.0;776.0;4614.82;4280.04;-5;31834;33822.75
31570.0;42125023303-2;drtC5;367858243_0;349225.44;3922568.12;31410805_0_r;351780.99;3923183.26;686.0;32972.0;716.0;3909.67;3596.28;-4.52;32770;34223.82
31870.0;42157018361-1;drtC3;162352996_0;354429.36;3924634.37;47195913_3;347102.18;3921483.7;534.0;33723.0;1319.0;12864.76;12864.76;-11.01;33070;36613.34
32413.0;42142002791-1;drtC0;110024408_0;344382.97;3917543.44;80203412_1;341971.32;3920809.04;1172.0;35244.0;1659.0;10975.6;5971.55;-6.18;33613;35974.3
32461.0;42141012182-3;drtC4;311744323_4;347614.46;3918806.27;166269952_0;349547.13;3919875.24;1193.0;34080.0;426.0;3451.21;3451.21;-4.42;33661;34896.02
32719.0;42147014412-1;drtC0;113005006_2;345779.95;3918948.3;1036419365_0;346696.95;3918284.09;1213.0;34126.0;194.0;1443.11;1443.11;-3.01;33919;34492.08
33327.0;42128035481-1;drtC3;41946735_12;346455.13;3923185.46;161499508_3;351324.12;3923217.4;899.0;35053.0;827.0;6780.59;6780.59;-6.75;34527;36725.12
33331.0;42155003691-1;drtC5;986987389_0_r;354272.97;3924883.46;171438180_0;351056.97;3925324.21;595.0;34335.0;409.0;4769.17;4769.17;-5.34;34531;35735.99
34218.0;32097080261-1;drtC2;222123887_1;357321.3;3938388.79;498865652_0;358343.77;3939092.33;599.0;35210.0;393.0;1567.41;1567.41;-3.1;35418;36180.99
34826.0;42034014731-1;drtC6;175425721_2;349924.96;3914616.62;185561718_5;349670.27;3918925.06;729.0;36350.0;795.0;5831.12;5831.12;-6.08;36026;38397.18
35121.0;42124024213-1;drtC5;570354684_0;348291.6;3928974.21;46907157_6;352832.88;3922537.41;625.0;39131.0;3385.0;28529.78;10201.89;-9.14;36321;39511.04
36010.0;91536005362-1;drtC5;313426564_1;353681.07;3930405.24;550122121_0;351887.25;3932633.29;1079.0;37650.0;561.0;3491.98;3491.98;-4.44;37210;38875.19
36015.0;42155011851-1;drtC3;37414663_2;352975.77;3922604.24;590117717_0;351635.51;3928575.56;476.0;37297.0;806.0;7287.39;7287.39;-7.1;37215;39596.61
36017.0;32097069612-1;drtC2;131232680_0;359025.77;3937507.24;549391579_0;359378.89;3937374.91;515.0;36627.0;95.0;491.9;491.9;-2.35;37217;37496.96
36077.0;32093046222-1;drtC2;449386750_0;360985.96;3935614.38;185949039_0;360258.63;3935622.9;1221.0;37479.0;181.0;984.43;984.43;-2.69;37277;37800.35
37214.0;42154017241-3;drtC3;312774105_1;352998.36;3922938.33;545849031_0;353195.55;3919165.77;1223.0;38740.0;303.0;4032.16;4032.16;-4.82;38414;39292.95
37823.0;32097062151-1;drtC2;1092250561_0_r;358316.87;3938536.67;152468561_4;356827.77;3937767.24;1193.0;39333.0;317.0;1961.86;1961.86;-3.37;39023;39945.78
37825.0;32097079945-2;drtC2;686693462_0_r;361122.86;3937241.29;35907111_10_r;358964.18;3935021.18;444.0;39970.0;1701.0;10435.12;4421.6;-5.1;39025;40684.09
38441.0;42125020663-1;drtC4;41946811_10_r;346430.2;3924284.89;827830856_0;347773.07;3922654.2;1031.0;40739.0;1267.0;3209.98;3209.98;-4.25;39641;41164.39
39311.0;42124030671-3;drtC5;60902864_1;351122.78;3923712.13;171403679_1;351328.54;3926294.03;910.0;40506.0;285.0;2926.96;2926.96;-4.05;40511;41352.71
39627.0;91533020682-1;drtC2;122886781_1;358038.2;3933700.35;369220764_0_r;357202.61;3935401.33;1107.0;40948.0;214.0;2269.96;2269.96;-3.59;40827;41455.58
39649.0;42127032562-3;drtC5;279299029_0;351706.84;3923250.78;663070168_0;351785.58;3923284.4;185.0;39881.0;47.0;259.62;259.62;-2.35;40849;40987.15
40535.0;32094051532-4;drtC2;152468549_0_r;357458.39;3937158.22;753251848_0;358048.44;3936998.75;927.0;41579.0;117.0;695.94;695.94;-2.49;41735;42076.08
40848.0;42033018263-1;drtC6;310614243_0;348604.81;3912933.16;682914177_1;361720.88;3937906.49;1130.0;47387.0;5409.0;46914.19;37282.36;-28.1;42048;51834.42
41414.0;32094032692-1;drtC2;142122264_2;361904.75;3935799.25;917816766_0;363065.94;3933126.78;1101.0;43187.0;672.0;3588.35;3588.35;-4.51;42614;44197.07
41423.0;42155008892-3;drtC3;192562389_2;353516.92;3923535.49;1108918838_0;354018.59;3925247.65;401.0;42201.0;377.0;2683.01;2683.01;-3.88;42623;43743.88
