departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
10830.0;42063027351-1;drtE2;320432635_0;332886.92;3902294.65;1023921434_0;330875.08;3908938.75;187.0;11759.0;742.0;8606.76;8606.76;-8.02;12030;14211.55
22835.0;42062018563-1;drtE2;208840518_1;334565.65;3906423.42;137988708_1;328069.43;3914082;691.0;25282.0;1756.0;18024.39;12318.18;-10.62;24035;26653.24
23417.0;43644000251-1;drtE2;319151094_0;328904.53;3908373.41;137988927_0;326788.83;3914256.65;825.0;24975.0;733.0;8489.73;8489.73;-7.94;24617;26757.23
25285.0;42063032401-1;drtE3;705903119_0_r;332389.68;3904564.48;319125855_0;328205.15;3909030;1048.0;27052.0;719.0;7123.84;6920.89;-6.84;26485;28303.45
25529.0;42063032953-1;drtE2;208953557_2;334774.06;3908121.78;136559134_0;327607.59;3911013.13;1055.0;28483.0;1899.0;18160.15;12050.89;-10.44;26729;29641.24
26017.0;42062005746-1;drtE1;377171176_0_r;330426.23;3895826.23;136559134_0;327607.59;3911013.13;782.0;30047.0;3248.0;28857.24;18593.07;-15.02;27217;33115.31
26418.0;42068029513-1;drtE2;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;300.0;26928.0;210.0;1699.48;1699.48;-3.19;27618;28217.3
26444.0;42063037452-1;drtE3;136560571_20;330332.43;3906920.43;137841715_2;329620.92;3910285.73;216.0;27445.0;785.0;5814.27;4316.75;-5.02;27644;28854.1
27318.0;42174002433-1;drtE3;319768382_0_r;330046.39;3906948.9;267953661_0;331254.49;3902559.87;707.0;31004.0;2979.0;25430.31;7232.34;-7.06;28518;30937.75
27557.0;43664001444-4;drtE2;1030242017_0;330945.68;3912899.72;318736804_0_r;330265.05;3911275.1;272.0;28046.0;217.0;2754.92;2754.92;-3.93;28757;29446.22
27610.0;42062006104-1;drtE1;208933614_0;335356.32;3907104.33;137988708_1;328069.43;3914082;1111.0;30487.0;1766.0;17316.7;13441.07;-11.41;28810;31709.41
