runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;50;270.84;562;538.2;368.25;238;100;100;629.34;8415.69;8206.78;900.18;7.74;1;0.02
NA;2;97;292.63;728;544.6;382.5;278;98.97;100;600.62;7593.44;7335.65;893.25;7.14;3;0.03
NA;3;132;313.7;719;574.7;422.5;304.5;96.97;100;731.08;8736.14;7484.95;1044.79;7.24;10;0.07
NA;4;143;308.38;629;561.2;417;285;98.6;100;708.2;8723.88;7828.6;1016.58;7.48;14;0.09
NA;5;184;298.13;844;566.5;396;269;96.74;100;737.58;8682.92;7578.69;1035.71;7.31;14;0.07
NA;6;194;298.7;947;554;401.25;267.5;98.97;99.48;720.25;8411.44;7371.21;1018.94;7.16;17;0.08
NA;7;215;305.14;619;561.6;418;277;99.07;100;746.17;8993.65;7656.42;1051.31;7.36;10;0.04
NA;8;225;314.54;847;579.1;420;299;96.89;100;792.64;9253.53;7569.69;1107.18;7.3;14;0.06
NA;9;218;317.05;1009;584.2;415.75;297.5;96.79;99.54;804.04;9460.55;7943.74;1121.09;7.56;20;0.08
NA;10;237;332.24;734;604.6;440;313;94.51;100;806.43;9381.98;7590.23;1138.68;7.32;14;0.06
NA;11;246;313.13;980;582.95;401.75;293.5;96.34;99.59;798.79;9527.7;7690.17;1111.92;7.39;21;0.08
NA;12;240;320.71;980;577.9;425.5;300.5;96.67;99.58;780.62;9361.98;7815.5;1101.33;7.48;22;0.08
NA;13;230;317.17;665;568.3;422;307;98.26;100;810.71;9678.91;8094.58;1127.88;7.67;28;0.11
NA;14;244;324.66;669;583.5;440.75;314;97.54;100;747.76;8958.97;7678.12;1072.41;7.38;19;0.07
NA;15;241;319.69;671;571.7;429;299;97.93;100;798.31;9300.88;7807.12;1118;7.47;26;0.1
NA;16;255;323.48;682;596.6;433;309;95.69;100;816.9;9537.92;7638.73;1140.38;7.35;30;0.11
NA;17;251;328.16;831;572.6;425;306;96.02;100;830.43;9327.02;7677.19;1158.59;7.38;28;0.1
NA;18;252;345.28;882;590.1;450.5;329;96.43;100;817.96;9648.82;7753.42;1163.24;7.43;26;0.09
NA;19;251;333.94;714;585.4;434;325;96.81;100;794.49;9220.98;7519.02;1128.43;7.27;22;0.08
NA;20;238;328.32;756;586;428.75;322;96.64;100;814.92;9784.42;7828.62;1143.24;7.48;24;0.09
