departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3352.0;1339.0;15486.51;15486.51;-12.84;2301;6474.1
5529.0;31123028081-3;drtB1;158059312_3;381104.48;3945929.58;291824531_0;377442.37;3944416.43;229.0;6187.0;429.0;5253.57;5253.57;-5.68;6129;7932.73
22817.0;31124058791-1;drtB8;32405575_10;378898.16;3942489.27;227214245_0;379817.03;3945305.9;407.0;23651.0;427.0;3949.76;3949.76;-4.76;23417;25278.83
22824.0;32094014273-1;drtB13;1112106474_0_r;360179.48;3933965.03;41569510_0;349869.46;3942717.8;474.0;24864.0;1566.0;16819.52;16819.52;-13.77;23424;28120.18
23427.0;31124026835-1;drtB1;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;404.0;25947.0;2116.0;24827.59;24827.59;-19.38;24027;30924.56
24026.0;31124040891-1;drtB2;116433126_1;378820.03;3945642.01;116429808_2;378523.18;3944928.85;100.0;24250.0;124.0;901.13;901.13;-2.63;24626;25591.37
24644.0;42133033544-1;drtB7;27776607_1;359907.55;3931232.94;137310582_0;357471.36;3933156.31;547.0;26624.0;1433.0;9331.04;3949.39;-4.76;25244;27193.08
24647.0;61355044051-1;drtB15;255628714_0_r;370359.04;3942349.05;1197851206_0_r;380739.06;3944592.27;161.0;26038.0;1230.0;12581.48;12581.48;-10.81;25247;29541.11
25228.0;91532010621-1;drtB7;29425069_6;358049.26;3934740.84;45735521_1;359045.33;3934743.66;430.0;25871.0;213.0;1330.11;1330.11;-2.93;25828;27051.02
25231.0;31124073794-1;drtB6;318936057_0;375417.64;3946684.74;296110144_0;356737.65;3939813.69;326.0;28218.0;2661.0;32422.55;32422.55;-24.7;25831;34349.84
25836.0;51174063072-1;drtB0;446611662_1;368901.41;3938620.67;246581902_1;365751.35;3943178.63;458.0;27409.0;1115.0;7742.59;7620.25;-7.33;26436;30212.69
26175.0;31124030933-1;drtB16;49903693_1;377348.8;3945531.73;750630133_0;379144.32;3948073.93;334.0;27754.0;1245.0;8538.28;3904.92;-4.73;26775;28835.11
26503.0;31105013371-1;drtB15;107875871_0;381210.31;3945138.82;115447369_0_r;380134.46;3948024.44;198.0;27193.0;492.0;4783.83;4783.83;-5.35;27103;29135.93
