departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
4852.0;32097072604-2;drtC2;1111121313_0;359437.57;3934623.24;120693319_0;361573.22;3938518.7;188.0;5822.0;782.0;5768;5768;-6.04;5452;8302.55
19820.0;42157018041-1;drtC0;165141674_0_r;355235.57;3925423.45;313265399_0;356744.31;3926848.16;367.0;20553.0;366.0;3626.26;3626.26;-4.54;20420;22126.02
21623.0;42154005961-1;drtC0;205759233_2;355196.44;3925804.82;205759117_2;355161.54;3925783.34;522.0;22165.0;20.0;105.69;105.69;-2.35;22223;22879.34
22720.0;91535010912-1;drtC6;1194917323_0;356999.67;3931327.41;310225190_0;360219.85;3919409.64;362.0;24864.0;1782.0;15684.43;15684.43;-12.98;23320;29337.62
23420.0;42141004881-1;drtC3;166124858_1;348304.16;3921367.86;41907366_1;347172.41;3922534.4;360.0;24082.0;302.0;2175.78;2175.78;-3.52;24020;25517.6
25207.0;42127031591-1;drtC5;663490045_0;352002.53;3923185.04;1069570414_1;347078.26;3921675.51;596.0;26669.0;866.0;6924.08;6924.08;-6.85;25807;29100.29
25230.0;42155008631-1;drtC0;384498896_0_r;353694.38;3924591.85;314246438_0;347001.84;3923150.79;467.0;27414.0;1717.0;11813.47;11801.6;-10.26;25830;30907.59
25240.0;32093015241-1;drtC2;221078651_0;363446;3938647.69;153188668_3;361445.62;3940872.16;585.0;26334.0;509.0;3510.5;3510.5;-4.46;25840;27920.76
27030.0;42128034154-1;drtC1;215512782_0_r;352198.63;3925576.37;311904351_0_r;350734.56;3921126.89;692.0;29923.0;2201.0;15261.09;5865.48;-6.11;27630;29824.29
27330.0;42142005751-1;drtC4;110008923_0_r;347029.23;3917787.84;31569019_10_r;351290.41;3921603.78;241.0;28407.0;836.0;7177.34;7177.34;-7.02;27930;31024.13
27929.0;42155007072-1;drtC1;313114286_0_r;354556.91;3925937.12;968860956_0;353962.66;3923710.49;567.0;29093.0;597.0;2967.84;2967.84;-4.08;28529;30450.92
28229.0;61373025974-1;drtC2;148063466_0_r;362764.85;3938505.53;221415114_0_r;362589.5;3938369.58;610.0;28910.0;71.0;487.18;487.18;-2.35;28829;29636.57
28546.0;42124009113-1;drtC4;161543460_0;350312.37;3923854.68;189853445_1;350439.49;3926229.35;390.0;30038.0;1102.0;7066.21;2956.54;-4.07;29146;30810.35
28823.0;42128034954-1;drtC4;1066694401_0;351664.28;3923449.96;30822288_10_r;351656.46;3922729.74;531.0;29488.0;134.0;787.56;787.56;-2.55;29423;30415.31
30622.0;42141003803-1;drtC1;166128807_3;347878.51;3919813.57;244931233_1;352514.83;3920073.59;510.0;31848.0;716.0;6589.57;6589.57;-6.61;31222;33960.81
30634.0;42124019491-1;drtC3;204007161_0_r;346390.96;3923142.73;165912119_0;349746.47;3922320.09;266.0;31516.0;616.0;4280.04;4280.04;-5;31234;33787.55
