departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
27017.0;42147013761-1;drtD2;112757233_6;345001.59;3919094.96;112757211_9;344886.07;3918862.39;711.0;27783.0;55.0;423.01;423.01;-2.35;27617;28377.93
28224.0;43627002261-1;drtD0;318388491_0_r;333477.85;3913249.55;205306348_3;332491.53;3910858.85;472.0;29164.0;468.0;4610.04;4610.04;-5.23;28824;30830.58
30609.0;43634000691-1;drtD0;318575666_0;331071.28;3912095.15;318495220_0_r;330573.64;3912447.99;325.0;31154.0;220.0;1719.29;1585.04;-3.11;31209;32360.85
35448.0;42063027833-2;drtD0;816195758_0_r;331895.53;3909270.03;226039289_2;332544.73;3909057.95;445.0;36051.0;158.0;988.81;988.81;-2.69;36048;37096.69
35719.0;42147014941-2;drtD2;113004993_0_r;345412.62;3919002.4;195745632_2;347217.53;3918620.65;223.0;36230.0;288.0;2285.65;2285.65;-3.6;36319;37776.41
50729.0;42034017511-4;drtD2;663146960_0_r;347406.87;3918361.02;169824956_0;349927.02;3917155.26;132.0;51361.0;500.0;3079.01;3079.01;-4.16;51329;53310.63
52842.0;43637001482-3;drtD0;318403969_2;331893.98;3912269.91;205206800_0;332463;3915139.18;393.0;53605.0;370.0;4325.57;4325.57;-5.03;53442;55141.45
54621.0;42113006251-4;drtD0;552313869_0_r;335141.38;3916907.87;204883009_1;335450.53;3916699.19;562.0;55268.0;85.0;613.13;613.13;-2.43;55221;56069.16
54665.0;42113000032-3;drtD1;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;558.0;56048.0;825.0;5100.71;2327.6;-3.63;55265;56716.41
54949.0;42141003641-2;drtD2;176179625_2;350226.1;3919768.62;204354480_1;347496.65;3920065.94;512.0;56055.0;594.0;3649.88;3649.88;-4.55;55549;57513.09
55266.0;42113018174-2;drtD1;113924437_0;346245.69;3919136.11;158381777_1;342087.22;3916255.3;377.0;56513.0;870.0;6376.79;5620.8;-5.93;55866;58420.65
55882.0;42037039001-2;drtD2;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;536.0;57432.0;1014.0;8209.95;8209.95;-7.75;56482;60041.3
56431.0;42113014411-8;drtD1;1059749906_0_r;343187.57;3915671.08;1027404155_0;342628.2;3915627.25;408.0;56915.0;76.0;633.19;633.19;-2.44;57031;57845.92
58814.0;42113015371-3;drtD0;204883714_2;334788.61;3915980.63;204881585_14;336271.5;3916192.21;241.0;59312.0;257.0;1918.87;1918.87;-3.34;59414;60747.11
60624.0;42118023051-4;drtD0;291756521_0;335013.52;3916245.66;317366983_0_r;334814.27;3915461.73;253.0;61171.0;294.0;1110.69;1110.69;-2.78;61224;62306.14
64248.0;42034000131-4;drtD2;200420413_0_r;346884.58;3915085.07;196959573_0;345822.01;3916331.09;339.0;64901.0;314.0;2421.25;2369.99;-3.66;64848;66349.76
64865.0;42113011211-2;drtD2;714429611_0;345580.81;3915929.12;197515789_5;344203.98;3916808.98;247.0;65388.0;276.0;2099.35;2099.35;-3.47;65465;66933.21
67238.0;42114020924-4;drtD0;204883061_0;334925.1;3916161.93;316620747_0;334928.66;3916191.67;203.0;67463.0;22.0;129.23;129.23;-2.35;67838;68502.85
68438.0;42114008201-2;drtD2;48406616_7;346922.75;3918743.26;553127204_0_r;334292.25;3915425.12;592.0;70487.0;1457.0;14020.36;14020.36;-11.81;69038;73919
72935.0;42114019722-4;drtD0;205061632_7;335111.17;3916614.23;544259254_4;339178.71;3916431.44;167.0;73630.0;528.0;5153.21;5153.21;-5.61;73535;75683.73
75066.0;42141005141-3;drtD1;200734202_0_r;344555.59;3915125.37;33074085_12;346587.85;3917870.7;406.0;76077.0;605.0;4546.37;4546.37;-5.18;75666;78055.14
