departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
10830.0;42063027351-1;drtE2;320432635_0;332886.92;3902294.65;1023921434_0;330875.08;3908938.75;187.0;11759.0;742.0;8599.96;8599.96;-8.02;11430;14214.48
22835.0;42062018563-1;drtE2;208840518_1;334565.65;3906423.42;137988708_1;328069.43;3914082;691.0;24453.0;927.0;12452.44;12318.18;-10.62;23435;26642.12
26418.0;42068029513-1;drtE3;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;554.0;27182.0;210.0;1699.48;1699.48;-3.19;27018;28215.41
27776.0;43837001093-1;drtE1;131409984_0;330454.25;3894290.24;242462630_2;332496.42;3902490.6;585.0;29401.0;1040.0;9650.35;9650.35;-8.76;28376;32048.72
29721.0;42062020323-1;drtE1;199306646_7;334453.55;3904434.92;199306269_6;335013.29;3905115.25;555.0;30460.0;184.0;1198.5;1198.5;-2.84;30321;31386
30367.0;42173004182-1;drtE2;318854661_0;327787.25;3910576.05;501349034_0;331286.11;3912942.78;439.0;31605.0;799.0;5311.95;5177.69;-5.62;30967;32601.72
30620.0;42063030174-1;drtE1;988250672_0_r;333229.61;3903741.2;242421998_0;333129.55;3903368.4;440.0;31173.0;113.0;803.72;803.72;-2.56;31220;32145.28
32759.0;43623000312-2;drtE2;107415981_0;331626.73;3910270.1;226039810_2;334692.28;3908824.7;349.0;33543.0;435.0;4995.37;4995.37;-5.5;33359;35220.82
33909.0;43624001943-1;drtE2;205296958_1;332189.32;3909729.18;107415981_0;331626.73;3910270.1;399.0;34531.0;223.0;999.91;999.91;-2.7;34509;35371.07
37827.0;42173004182-2;drtE2;501349034_0;331286.11;3912942.78;318835791_0_r;328538.19;3911582.19;350.0;38544.0;367.0;4046.21;4046.21;-4.83;38427;40096.14
38727.0;42173004862-2;drtE2;501349034_0;331286.11;3912942.78;33075851_0_r;332077.35;3912131.19;424.0;39642.0;491.0;1930.32;1930.32;-3.35;39327;40340.82
39789.0;43663002011-2;drtE2;226034817_0;332664.74;3912958.37;136560114_2;328885.21;3911468.15;253.0;40503.0;461.0;5163.37;5163.37;-5.61;40389;42315.04
46224.0;42068030261-3;drtE3;226039810_2;334692.28;3908824.7;320230823_0;333672.71;3905672.53;339.0;47034.0;471.0;3982.1;3982.1;-4.79;46824;48800.61
46230.0;43663001212-2;drtE2;136560429_0;327576.15;3910392.19;137841221_0_r;330324.16;3910943.28;288.0;46734.0;216.0;3332.28;3332.28;-4.33;46830;48070.74
47435.0;42063030002-4;drtE1;226039844_0_r;333855.19;3903675.71;320154957_0;335730.08;3904647;223.0;48107.0;449.0;2997.33;2997.33;-4.1;48035;49964.95
49247.0;42062024241-2;drtE2;319392667_0;331119.61;3907413.99;136560571_28;330983.13;3906187.67;429.0;49835.0;159.0;2368.66;2368.66;-3.66;49847;50888.35
51747.0;42062005643-4;drtE2;319768346_0_r;332029.44;3906141.71;320425688_0;332393.31;3904341.21;258.0;52222.0;217.0;2187.55;2187.55;-3.53;52347;53699.68
52764.0;42063030901-1;drtE1;197783348_3;336401.54;3904895.79;550346823_0;332497.12;3902742.4;230.0;54083.0;1089.0;6146.15;4931.8;-5.45;53364;56117.64
53444.0;42062019522-3;drtE1;444229884_0;334032.64;3903329.18;277515907_0;332948.46;3902570.57;112.0;53930.0;374.0;2474.36;1450.4;-3.02;54044;55182.57
53645.0;42062017042-2;drtE1;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;131.0;54695.0;919.0;7087.44;5493.96;-5.85;54245;56595.37
55865.0;42062017044-2;drtE2;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;434.0;56864.0;565.0;5493.96;5493.96;-5.85;56465;58727.26
57043.0;42062022301-4;drtE3;259273714_12;334142.29;3905607.65;320272394_0;333018.24;3905804.92;145.0;57418.0;230.0;1461.91;1461.91;-3.02;57643;58829.58
57624.0;42062002982-3;drtE1;319288915_0;331252.37;3909138.67;18955491_2;331261.84;3909047.25;303.0;57964.0;37.0;266.86;266.86;-2.35;58224;58974.93
58614.0;42173002304-2;drtE2;963611077_0;329675.15;3905723.14;319012622_0;328542.78;3909239.76;529.0;59998.0;855.0;7156.34;5323.51;-5.73;59214;61556.38
59448.0;42173003442-2;drtE2;136559687_0_r;329445.15;3909962.4;136559496_2;327528.19;3910154.15;379.0;60285.0;458.0;2958.35;2953.64;-4.07;60048;61479.77
61224.0;42062010941-4;drtE3;1068314201_0_r;331718.84;3903745.29;226038567_1;332070.69;3903239.54;562.0;61918.0;132.0;834.76;834.76;-2.58;61824;62810.9
63939.0;42063028272-2;drtE2;685054827_0;325291.77;3909052.36;1068314201_0_r;331718.84;3903745.29;347.0;67067.0;2781.0;24969.59;11962.52;-10.37;64539;68428.13
64547.0;42063032812-3;drtE1;107416232_2;331503.28;3909140.48;180581580_4;332649.28;3910150.38;92.0;64834.0;195.0;1853.48;1853.48;-3.3;65147;66157.13
64830.0;43664001822-3;drtE2;318902099_0_r;327550.6;3910476.63;318736782_0;329626;3911085.25;459.0;65493.0;204.0;2689.55;2689.55;-3.88;65430;66625.41
65290.0;43627002332-4;drtE2;318736814_0_r;329319.65;3911948.09;205290131_0;332080.26;3910293.94;467.0;66066.0;309.0;4444.14;4444.14;-5.11;65890;67415.63
