runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;35;581.14;1151;1125.4;842;501;65.71;80;767.03;7161.43;6203.17;1348.17;6.35;1;0.03
NA;2;67;532.12;1340;1101.6;688;484;64.18;88.06;705.28;6857.52;6840.77;1237.4;6.79;3;0.04
NA;3;96;533.23;1340;1077.2;719.5;483;63.54;88.54;974.39;9588.51;8500.34;1507.61;7.95;0;0
NA;4;109;604.38;1302;1155;820.5;583;51.38;80.73;1119.66;10924.27;8899;1724.04;8.23;4;0.04
NA;5;122;627.39;1394;1172.55;864.75;582;50.82;78.69;1101.78;10503.42;8825.2;1729.16;8.19;6;0.05
NA;6;146;618.12;1750;1150.4;879;549;55.48;78.77;1115.1;10717;8497.12;1733.23;7.96;7;0.05
NA;7;154;622.18;1396;1214.75;875.25;549;54.55;79.87;1134.08;10608.75;8314.55;1756.26;7.83;6;0.04
NA;8;156;581.9;1340;1147.05;765.75;538.5;58.33;84.62;1151.08;10983.19;8587.57;1732.97;8.02;9;0.05
NA;9;169;629.09;1396;1159.5;915;581;51.48;73.96;1218.21;11616.48;8584.17;1847.31;8.01;11;0.06
NA;10;186;627.72;1396;1174.15;847.25;609.5;48.92;82.26;1138.97;10732.83;7945.01;1766.69;7.57;11;0.06
NA;11;176;619.22;1364;1199.3;869.25;550;55.68;76.7;1190.98;11547.95;8192.82;1810.19;7.74;18;0.09
NA;12;189;619.95;1580;1152;859;591;50.79;78.31;1021.99;9687.46;7544.2;1641.95;7.29;13;0.06
NA;13;182;628.63;1474;1158.65;853.75;594;50.55;79.12;951.07;8861.14;6998.79;1579.7;6.91;16;0.08
NA;14;196;660.56;1474;1204.9;944;621.5;48.47;69.9;1090.43;10229.62;7243.39;1750.99;7.08;17;0.08
NA;15;187;657.83;1413;1190.4;922;632;47.59;72.19;1002.78;9097.36;6857.6;1660.61;6.81;30;0.14
NA;16;176;623.64;1591;1188.2;871.75;579;51.14;77.27;935.35;8467.17;6402.03;1558.99;6.49;27;0.13
NA;17;171;633.47;1613;1135.2;878;605;48.54;76.61;981.94;8879.07;6975.64;1615.42;6.89;25;0.13
NA;18;171;627.85;1280;1173.2;869;579;52.05;77.19;1010.12;9427.59;7957.54;1637.97;7.58;18;0.1
NA;19;170;635.81;1466;1182.6;872.5;616;49.41;78.24;983.54;8798.03;7355.44;1619.35;7.15;21;0.11
NA;20;176;622.2;1333;1172.45;854.25;591;51.14;79.55;930.27;8358.88;7270.19;1552.47;7.09;13;0.07
