runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;24;524.25;1099;1076.75;608.25;444;75;91.67;413;3605.23;3604.35;937.25;4.53;2;0.08
NA;2;39;578.72;1167;1070;715;573;56.41;89.74;438.69;3673.68;3643.03;1017.41;4.56;4;0.09
NA;3;58;586.83;1111;1074.85;784.5;596;50;84.48;544.34;4631.29;4513.45;1131.17;5.17;8;0.12
NA;4;60;617.55;1253;1142.4;848.75;616;48.33;83.33;615.87;5190.41;4757.98;1233.42;5.35;16;0.21
NA;5;73;714.92;1293;1217.5;942;688;36.99;67.12;582.77;4747.99;4098.97;1297.68;4.88;11;0.13
NA;6;94;717.81;1301;1152;954.25;747;36.17;69.15;712.32;5584.87;4312.31;1430.13;5.03;11;0.1
NA;7;99;782.86;1462;1325;1007;794;27.27;63.64;742.19;6080.94;4627.12;1525.05;5.25;21;0.17
NA;8;108;731.94;1435;1238.3;976.75;726;36.11;69.44;792.16;6563.83;4571.21;1524.1;5.21;23;0.18
NA;9;100;669.38;1435;1194.85;913;637.5;47;74;805.97;6201.89;4899.09;1475.35;5.44;32;0.24
NA;10;118;722.28;1833;1204.45;925.75;734;35.59;72.03;912.87;6908.61;4897.97;1635.15;5.44;29;0.2
NA;11;97;732.4;1667;1242.7;996;732;37.11;67.01;862.09;6583.79;4742.11;1594.49;5.33;47;0.33
NA;12;117;729.17;1456;1284.7;1025;697;40.17;68.38;908.09;6803.25;5135.65;1637.26;5.61;19;0.14
NA;13;107;737.54;2034;1342.6;962;676;41.12;71.03;1037.5;7924.06;5699.06;1775.04;5.99;48;0.31
NA;14;96;639.78;1587;1208.6;884.5;549.5;58.33;77.08;959.68;7591.91;5414.77;1599.46;5.79;61;0.39
NA;15;104;714.75;1207;1157;955.75;726.5;38.46;71.15;909.07;7152.79;5128.56;1623.82;5.59;46;0.31
NA;16;127;724.58;1323;1142.6;933;738;37.01;69.29;960.06;7037.11;4623.92;1684.65;5.24;36;0.22
NA;17;118;687.36;1482;1190.35;949.75;642;44.92;70.34;905.37;6872.12;4837.49;1592.74;5.39;44;0.27
NA;18;117;728.09;1719;1245;1009.5;723;38.46;64.1;1002.94;7494.98;4957.79;1731.03;5.47;48;0.29
NA;19;112;731.97;1719;1198.7;1016.75;719;39.29;61.61;1065.55;7966.99;5115.33;1797.53;5.59;45;0.29
NA;20;114;725.59;1681;1191;957.5;737.5;35.96;66.67;883.61;6926.98;5062.07;1609.2;5.55;38;0.25
