runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;7;776.29;1092;1092;1034;882;28.57;57.14;298.29;2029.34;2029.34;1074.57;3.42;4;0.36
NA;2;13;687.15;1124;1124;1002.5;836;46.15;61.54;467.62;3828.63;2766.47;1154.77;3.94;6;0.32
NA;3;16;651.56;1156;1156;915.25;588.5;50;68.75;683.12;5876.21;3917.99;1334.69;4.75;7;0.3
NA;4;16;741.75;1324;1324;949.25;613;43.75;68.75;651.06;4715.35;3509.99;1392.81;4.49;13;0.45
NA;5;24;675.17;1158;1149.75;843.25;588;50;79.17;627.29;5157.14;3914.07;1302.46;4.76;5;0.17
NA;6;23;721.04;1235;1201;941;649;39.13;69.57;516.52;3894.69;3117.42;1237.57;4.2;8;0.26
NA;7;31;767.32;2093;1637.6;1023;744;35.48;67.74;570.71;4234.59;3197.31;1338.03;4.26;7;0.18
NA;8;28;708.25;1205;1190.15;1005.5;791.5;42.86;60.71;661.18;4799.42;3503.73;1369.43;4.47;10;0.26
NA;9;22;730.55;1506;1467;987.5;742;36.36;54.55;728.36;5443.93;4125.58;1458.91;4.89;15;0.41
NA;10;30;689.5;1506;1363;986.75;661.5;43.33;66.67;764.5;6172.38;4484.3;1454;5.14;12;0.29
NA;11;27;673.04;1250;1234.8;965;583;51.85;70.37;598.81;4682.21;3856.74;1271.85;4.7;17;0.39
NA;12;30;714.27;1214;1191.45;942.25;660;43.33;63.33;586;5074.21;4706.35;1300.27;5.29;10;0.25
NA;13;34;691.88;1214;1183.25;1011.5;695;47.06;73.53;608.79;5206.12;4739.3;1300.68;5.32;10;0.23
NA;14;39;734.44;1214;1197;1052;760;35.9;58.97;698.05;5851.98;4804.4;1432.49;5.36;11;0.22
NA;15;37;679.84;1266;1214.7;939;719;37.84;72.97;932.11;8296.87;5981.03;1611.95;6.19;16;0.3
NA;16;42;713.98;1149;1137.65;935.5;789;35.71;69.05;830.64;7541.67;5647.9;1544.62;5.95;7;0.14
NA;17;42;730.38;1386;1168.7;999.75;762;35.71;66.67;1003.4;8712.43;6058.4;1733.79;6.24;11;0.21
NA;18;44;651.09;1239;1184.75;881.25;653;45.45;77.27;896.09;8259.81;6597.49;1547.18;6.62;7;0.14
NA;19;45;638.16;1150;1101.1;889;688;44.44;75.56;923.89;8211.02;6316.88;1562.04;6.42;10;0.18
NA;20;40;649.88;1263;1183.5;1050.75;672.5;45;65;1051.9;9406.93;6174.56;1701.78;6.33;13;0.25
