runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;5;547;857;857;803.5;434;60;100;416;4107.25;4107.25;963;4.89;0;0
NA;2;10;707.6;1124;1124;943.75;691.5;40;70;516;5559.48;4547.19;1223.6;5.18;3;0.23
NA;3;16;586.19;1169;1169;763;463.5;68.75;81.25;807.12;7619.33;5495.5;1393.31;5.85;3;0.16
NA;4;21;543.9;1169;1131.6;654.5;545;66.67;95.24;809.62;7298.08;5818.8;1353.52;6.07;3;0.12
NA;5;29;604.21;1439;1383;713.5;573;62.07;89.66;969.48;8692.14;5752.67;1573.69;6.03;3;0.09
NA;6;38;632.76;1404;1331.8;736.75;589;55.26;81.58;924.05;8695.56;6308.53;1556.82;6.42;4;0.1
NA;7;31;635.26;1358;1262;803;595;51.61;83.87;938.77;9176.73;6498.54;1574.03;6.55;6;0.16
NA;8;32;632.44;1484;1439.15;782.5;608;50;87.5;704.19;6502.88;6027.95;1336.62;6.22;6;0.16
NA;9;37;682.3;1228;1222.6;884.5;713;43.24;75.68;828.3;7551.25;5470.06;1510.59;5.83;5;0.12
NA;10;42;602.31;1296;1151.7;821.5;579;57.14;80.95;815.36;7438.4;5790.56;1417.67;6.06;5;0.11
NA;11;43;631.6;1310;1175.6;844;579;55.81;83.72;635.88;6199.96;5323.63;1267.49;5.73;7;0.14
NA;12;46;672.98;1474;1194.45;863;600.5;50;78.26;609.33;5798.26;5092.35;1282.3;5.57;11;0.19
NA;13;43;665.74;1258;1196.4;839;638;48.84;81.4;750.33;6813.31;5139.34;1416.07;5.6;9;0.17
NA;14;42;682.17;1375;1211.95;963.5;651;42.86;73.81;753.88;7124.17;5217.57;1436.05;5.66;6;0.12
NA;15;46;652.39;1348;1276.05;778;590;52.17;80.43;724.2;6422.62;4522.96;1376.59;5.17;7;0.13
NA;16;45;612.87;1270;1159.5;842;570;57.78;82.22;760.91;6820;5070.11;1373.78;5.56;7;0.13
NA;17;44;677.61;1359;1264.5;882.75;667;43.18;77.27;879.14;8035.89;5637.3;1556.75;5.95;6;0.12
NA;18;48;679.46;1291;1268.05;956.75;654;43.75;72.92;946.29;8163.09;5432.89;1625.75;5.81;7;0.13
NA;19;43;589.05;1291;1249.4;973;504;62.79;74.42;789.65;7430.19;6077.32;1378.7;6.26;4;0.09
NA;20;41;547.24;1243;1186.9;756;444;60.98;85.37;708.61;6382.86;5495.53;1255.85;5.85;5;0.11
