vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;84288.93;66794.67;17494.26;66794.67
drtA27;41784.4;33997.31;7787.09;33997.31
drtA2;46852.43;40077.58;6774.85;75918.48
drtA28;55230.36;45445.11;9785.25;50959.88
drtA29;32238.88;30880.96;1357.92;83406.88
drtA0;37697.58;28317.53;9380.04;28317.53
drtA9;116040.22;95105.41;20934.81;114577.19
drtA7;54710.61;48160.37;6550.24;49376.6
drtA8;19186.23;13234.87;5951.35;13234.87
drtA5;30295.4;27823.59;2471.81;27823.59
drtA6;37787.25;33724.71;4062.54;43215.75
drtA3;60156.6;42705.6;17451;54993.46
drtA4;58266.12;42237.05;16029.07;53744.09
drtA30;103525.72;71503.24;32022.47;103567.86
drtA31;69828.55;63966.86;5861.69;108898
drtA10;45382.7;26635.46;18747.24;26635.46
drtA32;67751.98;45388.03;22363.96;46917.3
drtA11;75652.18;63019.02;12633.17;103292.43
drtA33;45806.77;31803.28;14003.49;34838.19
drtA12;28208.31;23297.42;4910.89;26263.89
drtA34;62423.4;54044.02;8379.38;95602.54
drtA13;114370.46;100150.61;14219.85;172376.65
drtA35;185714.13;142309.96;43404.18;182636.81
drtA14;18144.54;15547.63;2596.91;29411.74
drtA36;36232.12;32835.59;3396.53;42731.46
drtA15;41113.85;29982.75;11131.1;29982.75
drtA37;101737.63;90702.29;11035.35;177482.06
drtA16;107310.34;103617.63;3692.71;197363.25
drtA38;98848.4;89579.37;9269.03;126495.6
drtA17;85876.02;65304.71;20571.31;89631.59
drtA39;51666.93;42666.9;9000.02;47220.23
drtA18;57082.69;39561.57;17521.11;55069.06
drtA19;53485.78;42869.91;10615.87;54016.25
drtA40;5488.78;1110.8;4377.99;1110.8
drtA41;30109.26;18366.84;11742.42;18366.84
drtA20;26935.66;19774.88;7160.77;20911.17
drtA42;48400.05;37266.51;11133.54;47932.75
drtA21;13862.54;10552.01;3310.53;12572.1
drtA22;44109.83;27941.94;16167.89;37767.91
drtA23;20429.29;11034.9;9394.39;11034.9
drtA24;82872.42;67626.85;15245.57;102673.02
drtA25;94252.59;82788.3;11464.3;99719.14
