runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;4;321.25;348;348;343.5;324;100;100;879.75;10215.72;10215.72;1201;9.17;0;0
NA;2;5;350.8;482;482;442;330;100;100;1288.8;15407.46;15407.46;1639.6;12.79;0;0
NA;3;6;378.83;564;564;501;363;100;100;788.5;8733.19;8733.19;1167.33;8.11;1;0.14
NA;4;2;309.5;330;330;330;309.5;100;100;1651.5;19469.78;19469.78;1961;15.63;3;0.6
NA;5;6;365.33;517;517;502;330;100;100;1155.17;13232.76;13228.52;1520.5;11.26;5;0.45
NA;6;9;443.56;697;697;549;456;77.78;100;728.33;7763.9;7763.9;1171.89;7.44;5;0.36
NA;7;7;456.43;697;697;601;456;71.43;100;909.14;9805.78;9805.78;1365.57;8.86;5;0.42
NA;8;5;444.4;697;697;576.5;450;80;100;1240.8;13472;13472;1685.2;11.43;4;0.44
NA;9;6;410.33;737;737;526.25;390;83.33;100;1043.83;11414.37;11414.37;1454.17;9.99;3;0.33
NA;10;6;352.17;551;551;477.5;368.5;100;100;1377.33;16171.71;16169.84;1729.5;13.35;4;0.4
NA;11;6;354.83;567;567;481.5;368.5;100;100;1376.67;16063.32;16061.44;1731.5;13.27;2;0.25
NA;12;10;388;631;631;481.5;367;90;100;1217.9;14168.54;14164.88;1605.9;11.93;1;0.09
NA;13;7;416.71;631;631;567;448;85.71;100;1247;14176.66;14175.05;1663.71;11.95;2;0.22
NA;14;6;375.67;567;567;477.75;361;100;100;1396.67;16142.1;16140.22;1772.33;13.33;1;0.14
NA;15;9;359;599;599;507.5;289;100;100;1303.56;15346.38;15342.31;1662.56;12.76;1;0.1
NA;16;8;395.62;696;696;562.5;368.5;87.5;100;1451.38;17249.27;17244.68;1847;14.07;2;0.2
NA;17;7;417.29;599;599;485;453;100;100;1248;14260.05;14258.44;1665.29;11.98;2;0.22
NA;18;6;461.5;580;580;511.75;479;100;100;1025.17;11573.13;11573.13;1486.67;10.1;3;0.33
NA;19;5;496;696;696;647.5;475;80;100;1209.8;13605.86;13605.86;1705.8;11.52;3;0.38
NA;20;8;419.12;599;599;581.75;392.5;100;100;1211;14005.66;14002.48;1630.12;11.8;3;0.27
