runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;3;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;4;1;618;618;618;618;618;0;100;2363;22739.94;22739.94;2981;17.92;2;0.67
NA;5;1;618;618;618;618;618;0;100;2363;22739.94;22739.94;2981;17.92;2;0.67
NA;6;1;618;618;618;618;618;0;100;2221;22739.94;22739.94;2839;17.92;2;0.67
NA;7;3;584.67;640;640;640;618;33.33;100;844.33;8351.15;8351.15;1429;7.85;1;0.25
NA;8;4;448;618;618;605;502.5;75;100;706;6398.94;6398.94;1154;6.52;1;0.2
NA;9;5;432.2;618;618;592;439;80;100;765.8;5862.6;5862.6;1198;6.14;2;0.29
NA;10;6;462;618;618;579;459.5;83.33;100;673;4946.42;4946.42;1135;5.49;2;0.25
NA;11;6;462.5;618;618;579;459.5;83.33;100;673;4946.42;4946.42;1135.5;5.49;2;0.25
NA;12;6;442;566;566;512.75;459.5;100;100;545.83;5010.42;5010.42;987.83;5.54;4;0.4
NA;13;6;455;576;576;568.5;459.5;100;100;549.17;5015.99;5005.44;1004.17;5.53;3;0.33
NA;14;4;379.25;480;480;464.75;392;100;100;199.5;1717.2;1717.2;578.75;3.2;5;0.56
NA;15;4;419.5;496;496;492;464.5;100;100;744.25;6430.51;6430.51;1163.75;6.5;4;0.5
NA;16;5;450.4;573;573;535;480;100;100;623.2;5354.94;5354.94;1073.6;5.75;3;0.38
NA;17;5;381;496;496;488;439;100;100;608;5737.64;5737.64;989;6.02;3;0.38
NA;18;5;381.2;497;497;488.5;439;100;100;593.2;5660.85;5660.85;974.4;5.96;5;0.5
NA;19;7;438.43;507;507;496;480;100;100;514.43;4762.38;4762.38;952.86;5.33;4;0.36
NA;20;6;444.67;548;548;517.25;483.5;100;100;184.33;1430.23;1430.23;629;3;2;0.25
