departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
9838.0;31127119452-2;drtA35;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;317.0;10955.0;800.0;12723.47;12723.47;-10.91;10438;13289.38
25227.0;31124027311-1;drtA35;154882436_10;378206.68;3944550.79;158180857_1;387779.33;3948302.12;154.0;26210.0;829.0;12281.88;12281.88;-10.6;25827;28693.29
28231.0;31123068543-1;drtA19;31764457_0;377449.5;3946950.5;36878873_2;376478.87;3947776.56;235.0;28712.0;246.0;1727.89;1727.89;-3.21;28831;30145.48
29409.0;31157232873-1;drtA19;33806838_0;376160.92;3948976.37;46626996_2;376398.31;3948511.18;358.0;29880.0;113.0;778.37;778.37;-2.54;30009;30924.87
30937.0;31123005523-1;drtA10;42747562_0;374904.93;3943228;282583321_2;374316.66;3946402.64;374.0;31774.0;463.0;4454.36;4454.36;-5.12;31537;33345.29
31210.0;31035002051-1;drtA35;69963034_3;386470.33;3947299.32;41857248_1;382861.72;3947102.07;265.0;31887.0;412.0;6227.84;6227.84;-6.36;31810;33612.34
34821.0;31124060811-1;drtA40;62276732_7;377416.22;3943074.92;43063458_2;376762.73;3944207.46;333.0;35431.0;277.0;1903.32;1903.32;-3.33;35421;36817.26
42632.0;32255002412-2;drtA42;1101743202_0_r;381611.59;3949603.04;285015031_0;381507.64;3949812.52;149.0;42824.0;43.0;308.34;308.34;-2.35;43232;43958.79
46823.0;31157245222-1;drtA0;768503475_0;377925.85;3950171.89;168894567_0;378198.87;3951213.05;357.0;47414.0;234.0;1579.11;1565.25;-3.1;47423;48667.29
54028.0;31046035281-5;drtA11;886233771_0;382429.58;3950742.02;102422285_0;382620.59;3952596.24;122.0;54471.0;321.0;3702.99;3702.99;-4.59;54628;56136.65
75018.0;31137037721-3;drtA30;149672908_0;382209.9;3950822.4;115482760_0_r;380826.66;3949684.41;135.0;75383.0;230.0;2668.27;2668.27;-3.87;75618;76884.68
