vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;0;0;0;0
drtB3;0;0;0;0
drtB16;28025.14;25477.58;2547.57;25477.58
drtB0;11558.32;3436.85;8121.47;3436.85
drtB1;40137.31;38091.85;2045.46;38091.85
drtB8;8678.16;4828.24;3849.93;4828.24
drtB9;0;0;0;0
drtB6;40614.82;38375.55;2239.28;38375.55
drtB7;0;0;0;0
drtB4;0;0;0;0
drtB5;0;0;0;0
drtB10;2921.65;767.58;2154.07;767.58
drtB11;0;0;0;0
drtB12;0;0;0;0
drtB13;4668.07;1067.68;3600.4;1067.68
drtB14;0;0;0;0
