runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;227;227;227;227;227;100;100;196;3060.13;3060.13;423;4.14;0;0
NA;2;6;252;403;403;335.5;238.5;100;100;425.67;5945.94;5945.94;677.67;6.16;1;0.14
NA;3;10;258.5;403;403;317.75;246;100;100;490.2;7108.27;6987.49;748.7;6.89;1;0.09
NA;4;10;303.4;414;414;403.25;286.5;100;100;433.9;5056.95;4936.16;737.3;5.46;1;0.09
NA;5;11;291.64;412;412;346;294;100;100;493.73;6146.55;6146.55;785.36;6.3;1;0.08
NA;6;14;274;523;523;365.25;228;100;100;398.07;4944.42;4944.42;672.07;5.47;2;0.12
NA;7;15;282.53;456;456;391;284;100;100;328.93;3843.77;3843.77;611.47;4.69;1;0.06
NA;8;17;225.65;452;452;289.5;217;100;100;404.88;4577.18;4577.18;630.53;5.21;1;0.06
NA;9;11;235.45;456;456;295;226;100;100;344.82;4424.53;4424.53;580.27;5.1;1;0.08
NA;10;10;215.5;426;426;246.75;214.5;100;100;347.1;4225.49;4225.49;562.6;4.96;1;0.09
NA;11;15;297.73;544;544;471;282;100;100;485.13;6151.05;6151.05;782.87;6.33;1;0.06
NA;12;12;343;569;569;465.75;358;100;100;424.83;5886.16;5886.16;767.83;6.15;1;0.08
NA;13;12;385.08;559;559;496;406.5;100;100;504.33;6586.42;6586.42;889.42;6.64;1;0.08
NA;14;12;284.75;533;533;353;309;100;100;420.42;5266.65;5259.01;705.17;5.68;1;0.08
NA;15;10;245.4;545;545;305;219.5;100;100;379.2;4447.64;4438.48;624.6;5.11;1;0.09
NA;16;17;285.65;605;605;386.5;282;94.12;100;384.29;4908.69;4903.3;669.94;5.43;1;0.06
NA;17;16;262.56;526;526;345.75;250.5;100;100;424.75;5355.19;5349.46;687.31;5.74;1;0.06
NA;18;12;236.08;526;526;284;219.5;100;100;393;4923.9;4916.26;629.08;5.44;1;0.08
NA;19;10;216;374;374;307;219.5;100;100;311.5;3596.15;3586.98;527.5;4.51;1;0.09
NA;20;8;248.88;374;374;357.75;235;100;100;303.88;3040.24;3027.05;552.75;4.12;1;0.11
