runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;209;209;209;209;209;100;100;906;9638.04;9638.04;1115;8.75;1;0.5
NA;2;1;209;209;209;209;209;100;100;906;9638.04;9638.04;1115;8.75;0;0
NA;3;1;209;209;209;209;209;100;100;906;9638.04;9638.04;1115;8.75;1;0.5
NA;4;1;488;488;488;488;488;100;100;508;4237.04;4237.04;996;4.97;2;0.67
NA;5;1;488;488;488;488;488;100;100;508;4237.04;4237.04;996;4.97;3;0.75
NA;6;2;497.5;544;544;544;497.5;100;100;487.5;5100.48;5100.48;985;5.57;4;0.67
NA;7;3;456;493;493;493;491;100;100;300.67;2746.02;2746.02;756.67;3.92;4;0.57
NA;8;3;526.67;585;585;585;544;100;100;671.67;6617.1;6617.1;1198.33;6.63;3;0.5
NA;9;3;526.67;585;585;585;544;100;100;671.67;6617.1;6617.1;1198.33;6.63;3;0.5
NA;10;6;566.83;664;664;617.5;584;66.67;100;515.5;4948.97;4948.97;1082.33;5.48;4;0.4
NA;11;6;566.83;664;664;617.5;584;66.67;100;515.5;4948.97;4948.97;1082.33;5.48;4;0.4
NA;12;6;535.67;602;602;589.25;561;83.33;100;515.5;4948.97;4948.97;1051.17;5.48;6;0.5
NA;13;4;505;585;585;581.5;511;100;100;547.5;5457.68;5457.68;1052.5;5.82;5;0.56
NA;14;3;424.33;585;585;585;413;100;100;707.33;7076.55;7076.55;1131.67;6.95;4;0.57
NA;15;5;395.2;615;615;600;354;80;100;579.8;5827.52;5827.52;975;6.08;3;0.38
NA;16;3;414.67;615;615;615;354;66.67;100;503.33;5613.67;5613.67;918;5.93;4;0.57
NA;17;3;414.67;615;615;615;354;66.67;100;503.33;5613.67;5613.67;918;5.93;5;0.62
NA;18;4;331;399;399;396.5;366;100;100;496;4447.96;4447.96;827;5.11;5;0.56
NA;19;4;439.75;554;554;529.5;427.5;100;100;331.5;2472.86;2472.86;771.25;3.73;3;0.43
NA;20;4;454.25;554;554;529.5;432;100;100;279.75;2582.44;2582.44;734;3.81;4;0.5
