vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;4211.23;965.97;3245.26;965.97
drtB3;0;0;0;0
drtB16;28025.14;25477.58;2547.57;25477.58
drtB0;0;0;0;0
drtB1;39381.99;37336.53;2045.46;37336.53
drtB8;14722.62;5323.95;9398.68;5323.95
drtB9;0;0;0;0
drtB6;40614.82;38375.55;2239.28;38375.55
drtB7;3416.23;1440.59;1975.64;1440.59
drtB4;0;0;0;0
drtB5;2387.98;557.5;1830.48;557.5
drtB10;0;0;0;0
drtB11;0;0;0;0
drtB12;0;0;0;0
drtB13;4668.07;1067.68;3600.4;1067.68
drtB14;0;0;0;0
