runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;227;227;227;227;227;100;100;196;3060.13;3060.13;423;4.14;0;0
NA;2;7;245.57;403;403;313;232;100;100;437.86;6546.55;6546.55;683.43;6.58;1;0.12
NA;3;11;279.18;403;403;335;263;100;100;505.45;7392.74;7265.37;784.64;7.09;1;0.08
NA;4;10;312.5;414;414;403.25;320;100;100;475.7;5280.35;5140.24;788.2;5.6;1;0.09
NA;5;12;290.17;412;412;343.25;312.5;100;100;513.58;5915.37;5899.27;803.75;6.13;1;0.08
NA;6;14;270.86;523;523;337.75;248.5;100;100;429.07;5153.69;5139.89;699.93;5.6;1;0.07
NA;7;17;311.94;556;556;437.5;297;100;100;484.59;5601.96;5166.32;796.53;5.62;1;0.06
NA;8;21;278.81;485;483.2;372;284;100;100;482.9;5332.17;4980.66;761.71;5.49;1;0.05
NA;9;17;307.94;463;463;434;297;100;100;448.59;5106.18;4671.97;756.53;5.27;1;0.06
NA;10;16;285.81;504;504;356.25;296.5;100;100;463.5;5369.55;5221.91;749.31;5.66;1;0.06
NA;11;19;305.58;498;498;423;335;100;100;490.84;5781.46;5360.28;796.42;5.77;1;0.05
NA;12;15;321.93;407;407;399;354;100;100;392.4;4809.89;4797.01;714.33;5.38;1;0.06
NA;13;15;363.87;545;545;498;365;100;100;472.93;6041.09;6028.2;836.8;6.24;1;0.06
NA;14;15;283.87;592;592;406;235;100;100;417.07;5177.34;5171.23;700.93;5.62;1;0.06
NA;15;16;289.5;618;618;387.75;222.5;93.75;100;481.44;6196.85;6191.12;770.94;6.33;1;0.06
NA;16;23;323.91;695;673.8;427;372;95.65;100;440.87;5675.41;5671.42;764.78;5.97;1;0.04
NA;17;23;295.57;526;522.4;399;266;100;100;546.57;7268.24;7023.67;842.13;6.92;1;0.04
NA;18;18;260.5;526;526;385;231;100;100;503.39;6547.46;6542.37;763.89;6.58;1;0.05
NA;19;16;254.38;468;468;338.75;250;100;100;455.75;5944.21;5938.49;710.12;6.16;2;0.11
NA;20;15;285.87;523;523;358;265;100;100;545.8;7315.74;7309.63;831.67;7.12;2;0.12
