runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;2;309.5;330;330;330;309.5;100;100;1651.5;19469.5;19469.5;1961;15.63;0;0
NA;2;4;338;482;482;444;328;100;100;1571.5;18874.31;18874.31;1909.5;15.21;0;0
NA;3;7;270.57;396;396;329;252;100;100;1529.14;17375.65;17372.02;1799.71;14.16;2;0.22
NA;4;7;297.57;461;461;338;289;100;100;1578.86;18178.48;18174.84;1876.43;14.72;3;0.3
NA;5;12;327.25;684;684;407.75;309;91.67;100;1234.42;14137.63;14123.13;1561.67;11.9;2;0.14
NA;6;12;339.5;482;482;449.75;333.5;100;100;1185.58;13453.99;13436.55;1525.08;11.42;3;0.2
NA;7;11;331.09;463;463;431;338;100;100;1235.82;14083.13;14069.62;1566.91;11.86;4;0.27
NA;8;10;336.6;482;482;457.75;342;100;100;1614.9;18623.56;18621.01;1951.5;15.03;3;0.23
NA;9;12;363.75;644;644;475.5;349.5;91.67;100;1369.33;15710.45;15698.07;1733.08;12.99;4;0.25
NA;10;15;391.4;724;724;545;412;93.33;100;1304.93;14963.89;14953.23;1696.33;12.47;3;0.17
NA;11;13;336.15;565;565;467.5;338;100;100;1446.54;16823.19;16810.89;1782.69;13.79;7;0.35
NA;12;14;371.5;631;631;479.75;333.5;85.71;100;1375.21;15842.71;15831.29;1746.71;13.1;8;0.36
NA;13;12;398.33;631;631;462;393;91.67;100;1584.92;18289.38;18286.32;1983.25;14.81;6;0.33
NA;14;10;355;482;482;452.25;333.5;100;100;1863.6;21688.23;21672.24;2218.6;17.17;5;0.33
NA;15;12;333.67;482;482;441.25;333.5;100;100;1809.17;21296.7;21281.26;2142.83;16.9;7;0.37
NA;16;11;318.91;485;485;448;326;100;100;1956.73;23187.72;23170.88;2275.64;18.22;7;0.39
NA;17;10;382.1;776;776;460.25;362;90;100;1804.5;20278.53;20219.53;2186.6;16.15;5;0.33
NA;18;8;400.12;776;776;477;362;87.5;100;1926.5;21450.71;21362.96;2326.62;16.95;7;0.47
NA;19;10;366.4;776;776;423.5;368.5;90;100;1374.9;14532.31;14468.29;1741.3;12.13;5;0.33
NA;20;9;354.56;581;581;426;318;100;100;1449.22;16739.17;16726.7;1803.78;13.71;4;0.31
