runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;3;366.67;402;402;402;369;100;100;117.33;945.42;945.42;484;2.77;0;0
NA;2;3;329.33;409;409;409;369;100;100;70.67;615.53;615.53;400;2.59;0;0
NA;3;3;329.33;409;409;409;369;100;100;70.67;615.53;615.53;400;2.59;2;0.4
NA;4;3;399;618;618;618;369;66.67;100;805.67;7682.17;7682.17;1204.67;7.54;3;0.5
NA;5;3;298;369;369;369;362;100;100;633;5613.43;5613.43;931;6.09;5;0.62
NA;6;4;326.75;396;396;393.5;374;100;100;1235;9908.77;9908.77;1561.75;8.98;6;0.6
NA;7;6;350.5;627;627;453.75;374;83.33;100;1715.17;12711.19;10755.32;2065.67;9.56;4;0.4
NA;8;5;353;452;452;424;386;100;100;1348.8;9355.02;9355.02;1701.8;8.55;7;0.58
NA;9;5;407;452;452;445.5;396;100;100;1374.6;9978.03;9978.03;1781.6;8.98;9;0.64
NA;10;8;509.62;728;728;622;496.5;75;100;1784.38;13724.59;10528.4;2294;9.37;8;0.5
NA;11;6;419.83;658;658;493.75;391;83.33;100;1677.17;13617.54;12698.62;2097;10.89;6;0.5
NA;12;5;384.4;572;572;505.5;386;100;100;1097.4;9133.3;9133.3;1481.8;8.43;8;0.62
NA;13;7;427.71;746;746;572;386;85.71;100;897.29;7739.38;7730.33;1325;7.41;7;0.5
NA;14;6;497.83;746;746;615.5;450.5;83.33;100;1063;8944.17;8944.17;1560.83;8.26;10;0.62
NA;15;5;485.8;746;746;621;405;80;100;1222.6;9915.07;9915.07;1708.4;8.94;10;0.67
NA;16;6;473.83;696;696;546;434.5;83.33;100;948.33;8285.18;8285.18;1422.17;7.83;5;0.45
NA;17;7;465;623;623;496;464;85.71;100;832.14;7769.99;7769.99;1297.14;7.47;3;0.3
NA;18;7;479.29;623;623;566;483;85.71;100;1307;10507.07;10507.07;1786.29;9.35;6;0.46
NA;19;8;513;696;696;607.25;501.5;75;100;1211;9494.23;9259.56;1724;8.48;5;0.38
NA;20;7;462.71;566;566;507;483;100;100;1230.86;10422.54;10422.54;1693.57;9.3;6;0.46
