vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;16456.43;15313.44;1142.99;15313.44
drtA27;0;0;0;0
drtA2;26212.87;20534.94;5677.94;20534.94
drtA28;1630.83;1419.78;211.05;1419.78
drtA29;0;0;0;0
drtA0;0;0;0;0
drtA9;0;0;0;0
drtA7;0;0;0;0
drtA8;0;0;0;0
drtA5;0;0;0;0
drtA6;17615.05;12287.86;5327.19;12287.86
drtA3;0;0;0;0
drtA4;0;0;0;0
drtA30;0;0;0;0
drtA31;9082.29;4346.76;4735.52;4346.76
drtA10;13054.11;10377.8;2676.32;10377.8
drtA32;0;0;0;0
drtA11;4491.67;3702.99;788.68;3702.99
drtA33;0;0;0;0
drtA12;5148.68;3922.09;1226.58;3922.09
drtA34;5340.45;4088.22;1252.23;4088.22
drtA13;0;0;0;0
drtA35;38159.08;31235.91;6923.18;31235.91
drtA14;0;0;0;0
drtA36;0;0;0;0
drtA15;0;0;0;0
drtA37;0;0;0;0
drtA16;0;0;0;0
drtA38;0;0;0;0
drtA17;0;0;0;0
drtA39;0;0;0;0
drtA18;0;0;0;0
drtA19;6126.88;2506.26;3620.62;2506.26
drtA40;0;0;0;0
drtA41;0;0;0;0
drtA20;0;0;0;0
drtA42;0;0;0;0
drtA21;0;0;0;0
drtA22;0;0;0;0
drtA23;0;0;0;0
drtA24;0;0;0;0
drtA25;0;0;0;0
